name,icao_code
Aero Servicios Regiomontanos,ERI
Aero Servicios Vanguardia,VNG
Aero Siete,ETE
Aero Silza,SIZ
Aero Slovakia,ASO
Aero Soga,SOG
Aero Sudpacifico,SDP
Aero Sudpacífico,M-MX-3444
Aero Survey,IKM
Aero Tanala,TON
Aero Taxi Autlan,TLD
Aero Taxi Aviation,QKC
Aero Taxi de Los Cabos,TBO
Aero Taxi del Centro de Mexico,TME
Aero Taxi del Potosi,TPO
Aero Taxi Los Valles,VAD
Aero Taxis Cessna,TND
Aero Taxis Y Servicios Alfe,FES
Aero Toluca Internactional,TLU
Aero Tomza,TZA
Aero Trades Western,ATW
Aero Transporte S.A. (ATSA),AMP
Aero Transportes Del Humaya,HUY
Aero Transportes Empresariales,EPL
Aero Tropical,TKX
Aero Turbo Panama,M-PA-3871
Aero Turismo y Publicidad,M-PE-3894
Aero Uruguay,M-UY-5280
Aero Util,TLE
Aero Vics,ARI
Aero Vilamoura,VMR
Aero Virel,VLS
Aero Vodochody,AOD
Aero Yaqui Mayo,MYS
Aero Zambia,RZL
Aero Zano,RZN
Aéro-Africaine,
Aero-Dienst GmbH,M-DE-1361
Aero-Dyne,M-US-5203
Aero-Kamov,MSV
Aero-Pioneer Group,M-KE-2905
Aero-Pyrenees,EAP
Aero-Rent,REN
Aero-Rey,REY
Aero-Service,M-CG-931
Aero4M,M-SI-4621
Aeroalas Colombia,ALE
Aeroalpin,
Aeroamerica,M-US-5204
AeroAndinas,M-VE-5307
AerOasis,M-CO-1213
Aeroatlantico Colombia,AOK
Aeroatlas,AQA
Aerobanana,OBA
Aerobona,BOC
Aerobusinessservice,LSM
Aerocancun,M-MX-3445
Aerocargo Peruana,M-PE-3895
Aerocaribe,M-MX-3446
Aerocenter,ACR
Aerocer,RCE
Aerocesar,AEC
Aerochaco,M-AR-146
Aerochago Airlines,AHG
Aerocharter,MRM
Aerocheyenne,CYE
Aerochiapas,AHP
Aeroclub Flaps,FLP
Aeroclub International,M-US-5205
Aerocom Aviation Oy,M-FI-1833
Aerocon,AEK
Aerocondor,M-PT-4076
Aerocondor Colombia,M-CO-1215
Aerocontinente (Priv),
Aerocopter OÜ,M-EE-1574
Aerocorp,ORP
Aerocorp,RCP
Aerocosta Colombia,M-CO-1216
Aerocuahonte,CUO
Aerodan,ROD
Aerodata Flight Inspection,FII
AeroDesierto (ADA),M-CL-1038
Aerodin,DIN
Aerodinamica de Monterrey,DMC
Aerodiplomatic,ADP
Aerodromo De La Mancha,MAM
Aerodynamics Incorporated,DNJ
Aerodynamics Malaga,M-ES-1707
Aerodyne Charter Company,AQZ
AeroEjecutiva,M-CL-1039
Aeroejecutiva Nieto,NIE
Aeroejecutivo,AJO
Aeroejecutivos Colombia,AJS
Aeroel Airways,ROL
Aeroenlaces Nacionales,VIV
Aeroenlaces Nacionales,AEN
Aeroeste,ROE
Aeroexpreso Interamericano,AEI
Aerofan,CFF
AeroFast Airlines,M-CR-1271
Aeroferinco,FEO
Aeroflot - Russian Airlines,M-RU-4252
Aeroflot-Cargo,RCF
Aeroflot-Don,DNV
Aeroflot-Nord,M-RU-4255
Aeroflota Del Noroeste,FNO
Aeroflug,M-DE-1328
Aerofreight Airlines,FRT
Aerofrisco,FCO
Aerofumigaciones Sam,AEG
AeroGal,M-EC-1533
Aerogala,AGQ
Aerogaucho,GAU
Aerogaviota,
Aerogem Cargo,GCK
Aerogisa,OGI
Aerogroup 98 Limited,RWY
Aerohein,IFI
AEROHELI International GmbH & Co. KG,M-DE-1362
Aeroingenieria,ING
Aeroitalia,ROO
Aeroitalia Regional,M-RO-4127
Aerojal,JAD
Aerojet de Costa Rica,ARJ
Aerojobeni,JOB
Aerokaluz,KLZ
Aerokuzbass,NKZ
Aerol,MSO
Aerol,ANQ
Aerolaguna,LGN
Aeroland,
Aerolatino,M-MX-3449
Aerolesen,M-MX-3450
Aerolift,LFT
Aerolima,LMA
Aerolinea Muri,MUR
Aerolínea Principal,M-CL-1040
Aerolineas Aereas Ejecutivas De Durango,LDG
Aerolineas Africanas,AA1
Aerolíneas Anahuac,M-MX-3451
Aerolineas Chihuahua,PFI
Aerolineas Comerciales,ECM
Aerolineas De El Salvador,SZA
Aerolineas De Morelia,MOR
Aerolineas Del Pacifico,RPC
Aerolineas Del Sur,DLU
Aerolíneas del Sur,M-CL-1041
Aerolineas Del Sureste,SUE
Aerolineas Dominicanas,ADM
Aerolineas Ejecutivas,LET
Aerolineas Ejecutivas Del Sureste,ESU
Aerolineas heredas santa maria,SZB
Aerolineas Internacionales,LNT
Aerolineas Latinas,M-VE-5308
Aerolineas Marcos,MCO
Aerolíneas Mas,M-DO-1490
Aerolineas Medellin,AMD
Aerolineas Mexicanas J S,LMX
Aerolineas Nacionales Del Ecuador,EDA
Aerolineas Olve,OLV
Aerolineas Regionales,RCQ
Aerolineas Sol,SOD
Aerolíneas Sudamericanas,M-BO-549
Aerolineas Turisticas del Caribe,TTB
Aerolineas Uruguayas,AUY
Aerolineas Villaverde,VLR
Aerologic,LDL
Aerologic GmbH,M-DE-1363
AeroLyon,M-FR-1905
Aeromaan,ERM
Aeromagar,MGS
Aeromar,TAO
Aeromar Airlines,M-DO-1491
Aéromaritime International,M-FR-1906
Aeromarket Express,ARM
Aeromas,MSM
Aeromaster Airways,M-EC-1534
Aeromaster del Peru,M-PE-3896
Aeromax,AXP
Aeromech Airlines,M-US-5206
Aeromedica,DIC
Aeromedicare Ltd.,AMQ
Aeromega,OMG
Aeromet,M-CL-1042
Aeromet Linea Aerea,MTE
Aeromet Servicios,ARS
Aeromexhaga,AXH
Aeroméxico,M-MX-3456
Aeroméxico Travel,M-MX-3457
Aeromextour,M-MX-3458
Aeromilenio,MNI
Aeromist-Kharkiv,M-UA-5021
Aeromonterrey,M-MX-3459
Aeromorelos,MRL
Aeromover,OVE
Aeromundo Ejecutivo,MUN
Aeron International Airlines,AXI
Aeronautica,GGL
Aeronautica Castellana,ECL
Aeronautica Le Esperanza,ESZ
Aeronautical Academy of Europe,EVR
Aeronautical Radio Inc,XAA
Aeronautical Radio of Thailand,AET
Aeronaves Alimentadoras,M-MX-3460
Aeronaves Borinquena,M-DO-1492
Aeronaves de México,M-MX-3461
Aeronaves Del Centro,AGA
Aeronaves Del Noreste,DRO
Aeronaves Del Noroeste,ENW
Aeronaves del Perú,M-PE-3897
Aeronaves del Sur,M-MX-3462
Aeronaves Dominicanas,M-DO-1493
Aeronavigaciya,KTN
Aeronem Air Cargo,RNM
Aeroni,NID
Aeronica,M-NI-3689
Aeronor,GCF
Aeronord-Grup,NRP
Aeronorte,RTE
Aeropac,STK
Aeropelican Air Services,PEL
Aeroperlas,M-PA-3872
Aeroperú,M-PE-3898
Aeropesca Colombia,M-CO-1219
Aeropiloto,AOP
Aeroposta,M-AR-149
Aeropostal Cargo de Mexico,PCG
Aeropro,APO
Aeropublicitaria De Angola,MOP
Aeropuma,APU
Aeroput,PUT
Aeroputul International Marculesti,AMM
Aeropycsa,PYC
Aeroquetzal,M-GT-2214
AeroRescue,M-AU-273
Aerosaab,SBH
Aerosaba,ESB
Aerosafin,FIC
Aerosan,OSN
Aerosec,ERK
Aerosegovia,SGV
Aeroserivios Del Bajio,RBJ
Aeroservices Corporate,CJE
Aeroservicio Sipse,PSE
Aeroservicios California Pacifico,PIF
Aeroservicios Corporativos De San Luis,PSL
Aeroservicios de California,M-MX-3464
Aeroservicios De Nuevo Leon,NUL
Aeroservicios De San Luis,SUO
Aeroservicios Dinamicos,DMI
Aeroservicios Ecuatorianos,EAE
Aeroservicios Ejecutivos Corporativos,EJP
Aeroservicios Ejecutivos Del Occidente,AEO
Aeroservicios Ejecutivos Del Pacifico,SPO
Aeroservicios Empresariales de Durango,M-MX-3466
Aeroservicios Gama,M-MX-3467
Aeroservicios Intergrados de Norte,INO
Aeroservicios Jet,RJS
Aeroservicios Monterrey,SVM
Aerosiyusa,SIY
Aerosmith Aviation,JPR
Aerospace One,
Aerostar,M-US-5208
Aerostar Airlines,UAR
Aerosud Aviation,SYT
Aerosud Charter,MDX
Aerosun International,ASI
Aerosur,RSU
Aerosur,M-BO-550
Aerosur Paraguay,M-PY-4110
AeroSvit Airlines,M-UA-5023
Aerosvit Airlines,AEW
Aerosweet Airlines,M-UA-5024
Aerosynchro Aviation,M-SE-4506
AeroTACA,ATK
AeroTal Colombia,M-CO-1221
Aerotaxi,ITE
Aerotaxi del Cabo,CBO
Aerotaxi Del Valle,AOX
Aerotaxi Grupo Tampico,GTP
Aerotaxi Mexicano,MXO
Aerotaxi Monse,M-MX-3468
Aerotaxi Villa Rica,VRI
Aerotaxis Albatros,BTS
Aerotaxis Alfe,TXF
Aerotaxis Cimarron,IMN
Aerotaxis de Aguascalientes,GUA
Aerotaxis De La Bahia,BHC
Aerotaxis del Noroeste,TXD
Aerotaxis Guamuchil,GMM
Aerotaxis Latinoamericanos,LTI
Aerotec,AEP
Aerotech Australia,M-AU-274
Aerotecnica,M-VE-5311
Aerotour,M-FR-1907
Aerotours Dominicana,ATD
Aerotours GmbH,M-DE-1364
AEROTRANSCARGO SRL,M-MD-3237
Aerotranscolombina de Carga,TCO
Aerotransporte Peruanos Internacionales,M-PE-3899
Aerotransporte Petrolero,PET
Aerotransportes Corporativos,CRP
Aerotransportes Entre Rios,M-AR-151
Aerotransportes Huitzilin,HUT
Aerotransportes Internacionales De Torreon,RRE
Aerotransportes Privados,PRI
Aerotransportes Privados,PVA
Aerotrebol,TBL
Aerotropical,TOC
Aerotucan,RTU
Aerotur-Air,RAI
Aeroturquesa,TQS
Aerovallarta,ALL
Aerovaradero,AVY
Aerovega,VEG
Aeroventas,AEV
Aerovías,M-GT-2215
Aerovias Bueno,ABU
Aerovias Caribe,CBE
Aerovias Castillo,CLL
Aerovias De Lagos,LAG
Aerovias del Golfo,GFO
Aerovias Ejecutivas,OVI
Aerovias Montes Azules,MZL
Aerovías Quisqueyana,M-DO-1495
Aerovic,OVC
Aerovilla,VVG
Aerovip,
Aerovis Airlines,VIZ
Aerovista,M-AE-73
Aerovista Airlines,AAP
Aerovista Gulf Express,VGF
Aerovitro,VRO
Aerovolga,M-RU-4257
Aerovuelos Colombia,M-CO-1222
Aeroway,AWY
aeroways GmbH,M-DE-1365
Aerowest GmbH,M-DE-1366
Aerowings,AWG
AeroWorld,WER
Aeroxtra,RXT
Aeroynamics Malaga,DNC
Aerro Direkt,M-RO-4128
Aex Air,DST
AF-Air International,FAN
Affretair,M-ZW-5476
Afit,KIE
Afra Airlines,UAG
AFREK,
Afric Air,
Afric'air Express,AAX
Africa Air Links,AFK
Africa Charter Services,M-NG-3593
Africa Chartered Services,AFY
Africa Freight Services,AFZ
Africa One,AZL
Africa West,M-TG-4754
Africair Service,FFB
African Air Safaris,
African Airlines International Limited,AIK
African International Airways,AIN
African International Airways,M-ZA-5388
African Lines,M-CF-923
African Medical and Research Foundation,FDS
African Safari Airways (ASA),M-KE-2910
African Star Airways,ASG
African Transport Trading and Investment Company,
African West Air,AFC
Africaone,AFI
Afrijet Airlines,FRJ
Afrika Aviation Handlers,FRK
Afrinat International Airlines,M-GH-2118
Afrique Airlines,M-BJ-528
Afrique CArgo Service Senegal,NFS
Afrique Chart'air,FRQ
Afro International Ent. Limited,AOR
AG Air,M-GE-2081
Agence Nationale des Aerodromes et de la Meteorologie,ZZM
Agni Air,M-NP-3793
Agrarflug Helilift GmbH & Co Kommanditgesellschaft,M-DE-1367
Agroar - Trabalhos Aereos,GRR
Agrocentr-Avia,GSV
Agrolet-Mci,AGZ
Aguilar Connect,GUI
Aguilas Mayas Internacional,GME
AH Fleet Services,M-FR-1908
aha!,M-US-5210
AIM AIR SRL,M-MD-3238
Air 2000 Canada,M-CA-787
Air 26,DCD
Air 500,BRM
Air Aceh,M-ID-2331
Air Ada,RDM
Air Adriatic,AHR
Air Affaires Afrique,M-CM-1071
Air Affaires Tchad,FTC
Air Afrique,M-CI-1027
Air Afrique Vacancies,AFV
Air Aland,M-FI-1802
Air Albatros,M-HR-2268
Air Alfa,LFA
Air Alize,RLZ
Air Alliance,M-CA-788
Air ALM,ALM
Air Alma,AAJ
Air Almaty,LMY
Air Almaty ZK,LMZ
Air Alpes,M-CH-946
Air Alpes,M-FR-1911
Air Alps,M-AT-203
Air Alsace,M-FR-1912
Air Amazonia,M-BR-567
Air Ambar,AMY
Air Amder,RMD
Air America,M-US-5211
Air America,M-US-5212
Air Anastasia,RUD
Air Anatolia,NTL
Air and Sea Transport,ASN
Air Andaman,ADW
Air Andes Internacional,M-CO-1223
Air Anglia,M-GB-2047
Air Annobón,M-GQ-2175
Air Antwerp,M-BE-420
Air Arabia Abu Dhabi,
Air Arabia Jordan,M-JO-2833
Air Archipels,RHL
Air Asiatic,M-IN-2543
Air Asturias,M-ES-1710
Air Atlanta,M-US-5213
Air Atlantic,M-CA-790
Air Atlantic (Nig) Limited,ANI
Air Atlantic Cargo,M-NG-3595
Air Atlantic Dominicana,ADC
Air Atlantic Uruguay,AUM
Air Atlantique,M-FR-1913
Air Atlantique,M-GB-2056
Air Atlas Express,M-MA-3213
Air Atonabee,OUL
Air Australia,M-AU-276
Air Baffin,BFF
Air Bagan,M-MM-3276
Air Ban,LZP
Air Bandama,BDM
Air Bangladesh,M-BD-403
Air Bashkortostan,M-RU-4258
Air Batumi,BTM
Air BC,M-CA-792
