IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
CKG,ZUCK,,Chongqing Jiangbei International Airport,China,Chongqing,"1,365 feet",29.7192001343,106.6419982910,/charts/ZUCK.pdf,,https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,Large Airport,CN
COK,VOCI,,Cochin International Airport,India,Kochi,30 feet,10.1520004272,76.4019012451,,https://cial.aero,https://en.wikipedia.org/wiki/Cochin_International_Airport,Large Airport,IN
CCK,YPCC,,Cocos (Keeling) Islands Airport,Cocos (Keeling) Islands,West Island,10 feet,-12.1883001328,96.8339004517,,,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands_Airport,Large Airport,CC
CJB,VOCB,,Coimbatore Airport (Peelamedu Airport),India,Coimbatore,"1,324 feet",11.0299997330,77.0434036255,,,https://en.wikipedia.org/wiki/Coimbatore_International_Airport,Large Airport,IN
DAD,VVDN,,Da Nang International Airport,Viet Nam,Da Nang,33 feet,16.0438995361,108.1989974976,,,https://en.wikipedia.org/wiki/Da_Nang_International_Airport,Large Airport,VN
GOI,VOGO,,Dabolim Airport,India,Vasco da Gama,184 feet,15.3808002472,73.8313980103,,https://www.aai.aero/en/airports/goa,https://en.wikipedia.org/wiki/Dabolim_Airport,Large Airport,IN
DLC,ZYTL,,Dalian Zhoushuizi International Airport,China,Dalian (Ganjingzi),133 feet,38.9656982422,121.5390014648,/charts/ZYTL.pdf,,https://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,Large Airport,CN
DRW,YPDN,,Darwin International Airport,Australia,Darwin,103 feet,-12.4146995544,130.8769989014,,,https://en.wikipedia.org/wiki/Darwin_International_Airport,Large Airport,AU
DYG,ZGDY,,Dayong Airport,China,Zhangjiajie (Yongding),8530 feet,29.1028003693,110.4430007935,/charts/ZGDY.pdf,,https://en.wikipedia.org/wiki/Zhangjiajie_Hehua_International_Airport,Large Airport,CN
DAT,ZBDT,,Desierto de Atacama Airport,Chile,Datong,3442 feet,-27.2611999512,-70.7791976929,,,,Large Airport,CN
URC,ZWWW,,Diwopu Airport,China,Ürümqi,"2,125 feet",43.9071006775,87.4741973877,/charts/ZWWW.pdf,,https://en.wikipedia.org/wiki/Urumqi_Diwopu_International_Airport,Large Airport,CN
DMK,VTBD,,Don Mueang International Airport,Thailand,Bangkok,9 feet,13.9125995636,100.6070022583,,http://www2.airportthai.co.th/airportnew/bangkok/index.asp,https://en.wikipedia.org/wiki/Don_Mueang_Airport,Large Airport,TH
DNH,ZLDH,,Dunhuang Airport,China,Dunhuang,,40.1610984802,94.8091964722,,,https://en.wikipedia.org/wiki/Dunhuang_Mogao_International_Airport,Large Airport,CN
FOC,ZSFZ,,Fuzhou Changle International Airport,China,Fuzhou (Changle),46 feet,25.9351005554,119.6630020142,/charts/ZSFZ.pdf,,https://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport,Large Airport,CN
GAN,VRMG,,Gan Island Airport,Maldives,Gan,6 feet,-0.6933419704,73.1556015015,,,https://en.wikipedia.org/wiki/Gan_International_Airport,Large Airport,MV
BWA,VNBW,,Gautam Buddha Airport,Nepal,Siddharthanagar (Bhairahawa),344 feet,27.5056991577,83.4162979126,,https://airports.caanepal.gov.np/gbia/,https://en.wikipedia.org/wiki/Gautam_Buddha_Airport,Large Airport,NP
OOL,YBCG,,Gold Coast Airport,Australia,Gold Coast,21 feet,-28.1644001007,153.5050048830,,,https://en.wikipedia.org/wiki/Gold_Coast_Airport,Large Airport,AU
CAN,ZGGG,,Guangzhou Baiyun International Airport,China,Guangzhou (Huadu),50 feet,23.3924007416,113.2990036011,/charts/ZGGG.pdf,,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,Large Airport,CN
KWL,ZGKL,,Guilin Liangjiang International Airport,China,Guilin (Lingui),570 feet,25.2180995941,110.0390014648,/charts/ZGKL.pdf,,https://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,Large Airport,CN
KWE,ZUGY,,Guiyang Longdongbao Airport,China,Guiyang (Nanming),"3,736 feet",26.5384998322,106.8010025024,/charts/ZUGY.pdf,,https://en.wikipedia.org/wiki/Guiyang_Longdongbao_International_Airport,Large Airport,CN
HAK,ZJHK,,Haikou Meilan International Airport,China,Haikou (Meilan),75 feet,19.9349002838,110.4589996338,/charts/ZJHK.pdf,,https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport,Large Airport,CN
HLD,ZBLA,,Hailar Dongshan Airport,China,Hailar,"2,169 feet",49.2050018311,119.8249969480,/charts/ZBLA.pdf,,https://en.wikipedia.org/wiki/Hulunbuir_Hailar_Airport,Large Airport,CN
HLP,WIHH,,Halim Perdanakusuma International Airport,Indonesia,Jakarta,84 feet,-6.2666101456,106.8909988403,,,https://en.wikipedia.org/wiki/Halim_Perdanakusuma_International_Airport,Large Airport,ID
BTH,WIDD,,Hang Nadim Airport,Indonesia,Batam,126 feet,1.1210299730,104.1190032959,,,https://en.wikipedia.org/wiki/Hang_Nadim_International_Airport,Large Airport,ID
HGH,ZSHC,,Hangzhou Xiaoshan International Airport,China,Hangzhou,23 feet,30.2294998169,120.4339981079,/charts/ZSHC.pdf,,https://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,Large Airport,CN
HAQ,VRMH,,Hanimaadhoo Airport,Maldives,Haa Dhaalu Atoll,4 feet,6.7442297935,73.1705017090,,,https://en.wikipedia.org/wiki/Hanimaadhoo_Airport,Large Airport,MV
HRB,ZYHB,,Harbin Taiping International Airport,China,Harbin,457 feet,45.6234016418,126.2500000000,/charts/ZYHB.pdf,,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,Large Airport,CN
UPG,WAAA,,Hasanuddin International Airport,Indonesia,Makassar,47 feet,-5.0616297722,119.5540008545,,,https://en.wikipedia.org/wiki/Sultan_Hasanuddin_International_Airport,Large Airport,ID
HDY,VTSS,,Hat Yai International Airport,Thailand,Hat Yai,90 feet,6.9332098961,100.3929977420,,,https://en.wikipedia.org/wiki/Hat_Yai_International_Airport,Large Airport,TH
DAC,VGHS,,Hazrat Shahjalal International Airport,Bangladesh,Dhaka,27 feet,23.8433470000,90.3977830000,,http://caab.gov.bd/airports/shahjalal.html,https://en.wikipedia.org/wiki/Shahjalal_International_Airport,Large Airport,BD
HFE,ZSOF,,Hefei Luogang International Airport,China,Hefei,207 feet,31.7800006866,117.2979965210,/charts/ZSOF.pdf,,https://en.wikipedia.org/wiki/Hefei_Xinqiao_International_Airport,Large Airport,CN
HSS,VIHR,,Hissar Airport,India,Hisar,700 feet,29.1793994904,75.7553024292,,,,Large Airport,IN
HBA,YMHB,,Hobart International Airport,Australia,Hobart (Cambridge),13 feet,-42.8361015320,147.5099945070,,,https://en.wikipedia.org/wiki/Hobart_Airport,Large Airport,AU
HKG,VHHH,,Hong Kong International Airport,Hong Kong,Hong Kong,28 feet,22.3089008331,113.9150009160,,https://www.hongkongairport.com,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,Large Airport,HK
IMF,VEIM,,Imphal Airport,India,Imphal,2540 feet,24.7600002289,93.8966979980,,,https://en.wikipedia.org/wiki/Imphal_Airport,Large Airport,IN
