IATA,ICAO,FAA,Name,Country,Location,Elevation,Latitude,Longitude,Chart,Website,Wikipedia,Airport Type,ISO Country
KJI,ZWKN,,,,Burqin,3921 feet,,,,,,Medium Airport,CN
DHH,ZWLK,,,,Barkol,5720 feet,,,,,,Medium Airport,CN
NLT,ZWNL,,,,Xinyuan,3050 feet,,,,,,Medium Airport,CN
RQA,ZWRQ,,,,Ruoqiang Town,2916 feet,,,,,,Medium Airport,CN
QSZ,ZWSC,,,,Shache,4232 feet,,,,,,Medium Airport,CN
TLQ,ZWTL,,,,Turpan,934 feet,,,,,,Medium Airport,CN
DBC,ZYBA,,,,Baicheng,480 feet,,,,,,Medium Airport,CN
DTU,ZYDU,,,,Heihe,984 feet,,,,,,Medium Airport,CN
JSJ,ZYJS,,,,Jiansanjiang,,,,,,,Medium Airport,CN
JXA,ZYJX,,,,Jixi,760 feet,,,,,,Medium Airport,CN
LDS,ZYLD,,,,Yichun,791 feet,,,,,,Medium Airport,CN
YSQ,ZYSQ,,,,Qian Gorlos Mongol Autonomous County,459 feet,,,,,,Medium Airport,CN
XEN,ZYXC,,,,Huludao (Xingcheng),30 feet,,,,,,Medium Airport,CN
YKH,ZYYK,,,,Yingkou (Laobian),,,,,,,Medium Airport,CN
RIZ,ZSRZ,,,,Rizhao (Donggang),121 feet,,,,,,Medium Airport,CN
SQJ,ZSSM,,,,Sanming (Sha),830 feet,,,,,,Medium Airport,CN
WHA,ZSWA,,,,Wuhu,80 feet,,,,,,Medium Airport,CN
YTY,ZSYA,,,,Yangzhou,7 feet,,,,,,Medium Airport,CN
YIC,ZSYC,,,,Yichun,430 feet,,,,,,Medium Airport,CN
DZH,ZUDA,,,,Dazhou (Dachuan),1342 feet,,,,,,Medium Airport,CN
DCY,ZUDC,,,,Garzê (Daocheng),14472 feet,,,,,,Medium Airport,CN
DEJ,ZUDJ,,,,Tongren,3542 feet,,,,,,Medium Airport,CN
GHN,ZUGH,,,,Deyang (Guanghan),1531 feet,,,,,,Medium Airport,CN
AHJ,ZUHY,,,,Ngawa (Hongyuan),11600 feet,,,,,,Medium Airport,CN
KGT,ZUKD,,,,Garzê (Kangding),14042 feet,,,,,,Medium Airport,CN
KJH,ZUKJ,,,,Kaili  (Huangping),3115 feet,,,,,,Medium Airport,CN
WMT,ZUMT,,,,Zunyi,4068 feet,,,,,,Medium Airport,CN
HZH,ZUNP,,,,Liping,1620 feet,,,,,,Medium Airport,CN
LPF,ZUPS,,,,Liupanshui (Zhongshan),,,,,,,Medium Airport,CN
CQW,ZUWL,,,,Wulong,1747 feet,,,,,,Medium Airport,CN
ACX,ZUYI,,,,Xingyi,4150 feet,,,,,,Medium Airport,CN
PZI,ZUZH,,,,Panzhihua (Renhe),1620 feet,,,,,,Medium Airport,CN
FYN,ZWFY,,,,Fuyun,3081 feet,,,,,,Medium Airport,CN
WOS,ZKWS,,,,Wonsan,7 feet,,,,,,Medium Airport,KP
GMQ,ZLGL,,,,Golog (Maqên),12426 feet,,,,,,Medium Airport,CN
HTT,ZLHX,,,,Mengnai,2945 feet,,,,,,Medium Airport,CN
THQ,ZLTS,,,,Tianshui (Maiji),3590 feet,,,,,,Medium Airport,CN
GXH,ZLXH,,,,Gannan (Xiahe),10510 feet,,,,,,Medium Airport,CN
ZHY,ZLZW,,,,Zhongwei (Shapotou),4088 feet,,,,,,Medium Airport,CN
UMB,,,,,Kalumbila,4354 feet,,,,,,Medium Airport,ZM
CWJ,ZPCW,,,,Lincang (Cangyuan),,,,,,,Medium Airport,CN
JMJ,ZPJM,,,,Pu'er (Lancang),,,,,,,Medium Airport,CN
LNJ,ZPLC,,,,Lincang,6230 feet,,,,,,Medium Airport,CN
YUA,ZPYM,,,,Chuxiong (Yuanmou),3810 feet,,,,,,Medium Airport,CN
DOY,ZSDY,,,,Dongying (Kenli),15 feet,,,,,,Medium Airport,CN
HZA,ZSHZ,,,,Heze (Dingtao),,,,,,,Medium Airport,CN
YIE,ZBES,,,,Arxan,2925 feet,,,,,,Medium Airport,CN
HUO,ZBHZ,,,,Holingol,,,,,,,Medium Airport,CN
LFQ,ZBLF,,,,Linfen (Yaodu),1483 feet,,,,,,Medium Airport,CN
LLV,ZBLL,,,,Lüliang,,,,,,,Medium Airport,CN
UCB,ZBUC,,,,Ulanqab,,,,,,,Medium Airport,CN
WUA,ZBUH,,,,Wuhai,3650 feet,,,,,,Medium Airport,CN
RLK,ZBYZ,,,,Bayannur,3400 feet,,,,,,Medium Airport,CN
ZQZ,ZBZJ,,,,Zhangjiakou,2347 feet,,,,,,Medium Airport,CN
NZL,ZBZL,,,,Zhalantun,928 feet,,,,,,Medium Airport,CN
HCZ,ZGCZ,,,,Chenzhou,1071 feet,,,,,,Medium Airport,CN
HCJ,ZGHC,,,,Hechi (Jinchengjiang),2221 feet,,,,,,Medium Airport,CN
LLF,ZGLG,,,,Yongzhou,340 feet,,,,,,Medium Airport,CN
WGN,ZGSY,,,,Shaoyang (Wugang),1444 feet,,,,,,Medium Airport,CN
YLX,ZGYL,,,,Yulin,328 feet,,,,,,Medium Airport,CN
YYA,ZGYY,,,,Yueyang (Yueyanglou),230 feet,,,,,,Medium Airport,CN
HPG,ZHSN,,,,Shennongjia (Hongping),8365 feet,,,,,,Medium Airport,CN
WDS,ZHSY,,,,Shiyan (Maojian),,,,,,,Medium Airport,CN
XAI,ZHXY,,,,Xinyang,312 feet,,,,,,Medium Airport,CN
BAR,ZJQH,,,,Qionghai (Basuo),30 feet,,,,,,Medium Airport,CN
RGO,ZKHM,,,,Hoemun-ri,12 feet,,,,,,Medium Airport,KP
MJK,YSHK,,,,Denham,111 feet,,,,,,Medium Airport,AU
XRH,YSRI,,,,Richmond,67 feet,,,,,,Medium Airport,AU
WHB,YEWA,,,,,1576 feet,,,,,,Medium Airport,AU
DNQ,YDLQ,,,,Deniliquin,316 feet,,,,,,Medium Airport,AU
DCN,YCIN,,,,Derby,300 feet,,,,,,Medium Airport,AU
KJT,WICA,,,,Kertajati,134 feet,,,,,,Medium Airport,ID
FLZ,WIMS,,,,Sibolga (Pinangsori),33 feet,,,,,,Medium Airport,ID
TXE,WITK,,,,Takengon,4648 feet,,,,,,Medium Airport,ID
WNI,WAWD,,,,Wangi-wangi Island,88 feet,,,,,,Medium Airport,ID
KXB,WAWP,,,,Kolaka,40 feet,,,,,,Medium Airport,ID
TRT,WAFB,,,,Toraja,2884 feet,,,,,,Medium Airport,ID
KDT,VTBK,,,,Nakhon Pathom,30 feet,,,,,,Medium Airport,TH
PXR,VTUJ,,,,Surin,478 feet,,,,,,Medium Airport,TH
VDO,VVVD,,,,Van Don,24 feet,,,,,,Medium Airport,VN
IXX,VOBR,,,,Bidar,2178 feet,,,,,,Medium Airport,IN
BPM,VOHY,,,,Hyderabad,1742 feet,,,,,,Medium Airport,IN
KJB,VOKU,,,,Orvakal,920 feet,,,,,,Medium Airport,IN
PUT,VOPN,,,,Puttaparthi,1558 feet,,,,,,Medium Airport,IN
KQH,VIKG,,,,Ajmer (Kishangarh),,,,,,,Medium Airport,IN
RDP,VEDG,,,,Durgapur,300 feet,,,,,,Medium Airport,IN
DBR,VEDH,,,,Darbhanga,156 feet,,,,,,Medium Airport,IN
KBK,VEKI,,,,Kushinagar,266 feet,,,,,,Medium Airport,IN
UKE,VEUK,,,,Bhawanipatna,685 feet,,,,,,Medium Airport,IN
MLG,WARA,,Abdul Rachman Saleh Airport,Indonesia,Malang,"1,726 feet",-7.9265599251,112.7149963380,,,https://en.wikipedia.org/wiki/Abdul_Rachman_Saleh_Airport,Medium Airport,ID
JOG,WAHH,,Adi Sutjipto International Airport,Indonesia,Yogyakarta,379 feet,-7.7881798744,110.4319992065,,,,Medium Airport,ID
AEG,WIME,,Aek Godang Airport,Indonesia,Padang Sidempuan,"5,837 feet",1.4000999928,99.4304962158,,,https://en.wikipedia.org/wiki/Aek_Godang_Airport,Medium Airport,ID
AGX,VOAT,,Agatti Island Airport,India,Agatti,14 feet,10.8236999512,72.1760025024,,,,Medium Airport,IN
AJL,VELP,,Aizawl Airport,India,Aizawl (Lengpui),"1,001 feet",23.7466030000,92.8027670000,,,,Medium Airport,IN
AKU,ZWAK,,Aksu Airport,China,Aksu (Onsu),3816 feet,41.2625007629,80.2917022705,,,https://en.wikipedia.org/wiki/Aksu_Onsu_Airport,Medium Airport,CN
BPL,ZWBL,,Alashankou Bole (Bortala) airport,China,Bole,1253 feet,44.8950000000,82.3000000000,,,https://en.wikipedia.org/wiki/Bole_Alashankou_Airport,Medium Airport,CN
ALH,YABA,,Albany Airport,Australia,Albany,233 feet,-34.9432983398,117.8089981079,,,https://en.wikipedia.org/wiki/Albany_Airport_(Western_Australia),Medium Airport,AU
ABX,YMAY,,Albury Airport,Australia,East Albury,539 feet,-36.0677986145,146.9579925537,,,https://en.wikipedia.org/wiki/Albury_Airport,Medium Airport,AU
ASP,YBAS,,Alice Springs Airport,Australia,Alice Springs,"1,789 feet",-23.8066997528,133.9019927979,,,https://en.wikipedia.org/wiki/Alice_Springs_Airport,Medium Airport,AU
IXD,VEAB,,Allahabad Airport / Bamrauli Air Force Base,India,Allahabad,"1,087 feet",25.4400997162,81.7339019775,,,,Medium Airport,IN
IXV,VEAN,,Along Airport,India,,900 feet,28.1753005981,94.8020019531,,,https://en.wikipedia.org/wiki/Along_Airport,Medium Airport,IN
LTI,ZMAT,,Altai Airport,China,Altai,7260 feet,46.3763999939,96.2210998535,,,https://en.wikipedia.org/wiki/Altai_Airport,Medium Airport,MN
AAT,ZWAT,,Altay Airport,China,Altay,"4,378 feet",47.7498855591,88.0858078003,,,https://en.wikipedia.org/wiki/Altay_Airport,Medium Airport,CN
,VIAM,,Ambala Air Force Station,India,Ambala,909 feet,,,,,,Medium Airport,IN
AAP,WALS,,Andrau Airpark,United States,Samarinda,82 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",,,,Medium Airport,ID
AQG,ZSAQ,,Anqing Airport,China,Anqing,,30.5821990967,117.0500030518,,,https://en.wikipedia.org/wiki/Anqing_Tianzhushan_Airport,Medium Airport,CN
AOG,ZYAS,,Anshan Airport,China,Anshan,,41.1053009033,122.8539962769,,,https://en.wikipedia.org/wiki/Anshan_Teng'ao_Airport,Medium Airport,CN
AVA,ZUAS,,Anshun Huangguoshu Airport,China,Anshun (Xixiu),4812 feet,26.2605555556,105.8733333330,,,https://en.wikipedia.org/wiki/Anshun_Huangguoshu_Airport,Medium Airport,CN
ARY,YARA,,Ararat Airport,Australia,Ararat,"1,008 feet",-37.3093986511,142.9889984131,,,https://en.wikipedia.org/wiki/Ararat_Airport,Medium Airport,AU
ARM,YARM,,Armidale Airport,Australia,Armidale,100 feet,-30.5280990601,151.6170043950,,,https://en.wikipedia.org/wiki/Armidale_Airport,Medium Airport,AU
AVK,ZMAH,,Arvaikheer Airport,China,Arvaikheer,"1,474 feet",46.2503013611,102.8020019531,,,https://en.wikipedia.org/wiki/Arvaikheer_Airport,Medium Airport,MN
AYQ,YAYE,,Ayers Rock Airport,Australia,Yulara,"1,626 feet",-25.1861000061,130.9759979248,,,https://en.wikipedia.org/wiki/Ayers_Rock_Airport,Medium Airport,AU
BFJ,ZUBJ,,Ba Airport,,Bijie,4751 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",,,,Medium Airport,CN
BXB,WASO,,Babo Airport,Indonesia,Babo,10 feet,-2.5322399139,133.4389953613,,,https://en.wikipedia.org/wiki/Babo_Airport,Medium Airport,ID
BPE,ZBDH,,Bagan Airport,Myanmar (Burma),Qinhuangdao (Changli),312 feet,21.1788005829,94.9301986694,,,https://en.wikipedia.org/wiki/Nyaung_U_Airport,Medium Airport,CN
LZH,ZGZH,,Bailian Airport,China,Liuzhou (Liujiang),295 feet,24.2075004578,109.3909988403,,,https://en.wikipedia.org/wiki/Liuzhou_Bailian_Airport,Medium Airport,CN
BSJ,YBNS,,Bairnsdale Airport,Australia,Bairnsdale,165 feet,-37.8875007629,147.5679931641,,,https://en.wikipedia.org/wiki/Bairnsdale_Airport,Medium Airport,AU
BNK,YBNA,,Ballina Airport,Australia,Ballina,7 feet,-28.8339004517,153.5619964600,,,https://en.wikipedia.org/wiki/Ballina_Byron_Gateway_Airport,Medium Airport,AU
BZD,YBRN,,Balranald Airport,Australia,,210 feet,-34.6236000061,143.5780029297,,,https://en.wikipedia.org/wiki/Balranald_Airport,Medium Airport,AU
BWU,YSBK,,Bankstown Airport,Australia,Sydney,29 feet,-33.9244003296,150.9880065918,,,https://en.wikipedia.org/wiki/Bankstown_Airport,Medium Airport,AU
BSD,ZPBS,,Baoshan Airport,China,Baoshan (Longyang),5453 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",,,https://en.wikipedia.org/wiki/Baoshan_Yunrui_Airport,Medium Airport,CN
BCI,YBAR,,Barcaldine Airport,Australia,Barcaldine,878 feet,-23.5652999878,145.3070068360,,,https://en.wikipedia.org/wiki/Barcaldine_Airport,Medium Airport,AU
BEK,VIBY,,Bareli Airport,India,Bareilly,580 feet,28.4221000671,79.4507980347,,,https://en.wikipedia.org/wiki/No._35_Squadron_IAF,Medium Airport,IN
BBN,WBGZ,,Bario Airport,Malaysia,Bario,3350 feet,3.7338900566,115.4789962769,,,https://en.wikipedia.org/wiki/Bario_Airport,Medium Airport,MY
BZL,VGBR,,Barisal Airport,Bangladesh,Barisal,23 feet,22.8010005951,90.3012008667,,,https://en.wikipedia.org/wiki/Barisal_Airport,Medium Airport,BD
UUN,ZMBU,,Baruun Urt Airport,Mongolia,,3205 feet,46.6603012085,113.2850036621,,,https://en.wikipedia.org/wiki/Baruun-Urt_Airport,Medium Airport,MN
BHS,YBTH,,Bathurst Airport,Australia,Bathurst,"2,435 feet",-33.4094009399,149.6519927980,,,https://en.wikipedia.org/wiki/Bathurst_Airport_(New_South_Wales),Medium Airport,AU
BRT,YBTI,,Bathurst Island Airport,Australia,Wurrumiyanga,67 feet,-11.7692003250,130.6199951172,,,https://en.wikipedia.org/wiki/Bathurst_Island_Airport,Medium Airport,AU
BYN,ZMBH,,Bayankhongor Airport,China,Bayankhongor,"6,085 feet",46.1632995605,100.7040023804,,,https://en.wikipedia.org/wiki/Bayankhongor_Airport,Medium Airport,MN
BEU,YBIE,,Bedourie Airport,Australia,Bedourie,300 feet,-24.3460998535,139.4600067139,,,https://en.wikipedia.org/wiki/Bedourie_Airport,Medium Airport,AU
BHY,ZGBH,,Beihai Airport,China,Beihai,75 feet,21.5394001007,109.2939987183,,,https://en.wikipedia.org/wiki/Beihai_Fucheng_Airport,Medium Airport,CN
,ZBBB,,Beijing Xijiao Airport,China,Beijing,164 feet,,,,,,Medium Airport,CN
BEP,VOBI,,Bellary Airport,India,Bellary,30 feet,15.1627998352,76.8827972412,,,https://en.wikipedia.org/wiki/Bellary_Airport,Medium Airport,IN
BLN,YBLA,,Benalla Airport,Australia,Benalla,569 feet,-36.5518989563,146.0070037842,,,https://en.wikipedia.org/wiki/Benalla_Airport,Medium Airport,AU
BFU,ZSBB,,Bengbu Airport,China,Bengbu,100 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",,,https://en.wikipedia.org/wiki/Bengbu_Airport,Medium Airport,CN
BEJ,WAQT,,Berau Airport (Kalimaru Airport),Indonesia,Tanjung Redeb - Borneo Island,59 feet,2.1554999352,117.4319992065,,,,Medium Airport,ID
BUP,VIBT,,Bhisiana Air Force Base,India,,662 feet,30.2700996399,74.7557983398,,,,Medium Airport,IN
KUU,VIBR,,Bhuntar Airport,India,Bhuntar,"3,573 feet",31.8766994476,77.1544036865,,,https://en.wikipedia.org/wiki/Bhuntar_Airport,Medium Airport,IN
PAB,VEBU,,Bilaspur Airport,India,Bilaspur,899 feet,21.9883995056,82.1110000610,,,,Medium Airport,IN
BMU,WADB,,Bima Airport,Indonesia,Bima,3 feet,-8.5396499634,118.6869964600,,,https://en.wikipedia.org/wiki/Sultan_Muhammad_Salahudin_Airport,Medium Airport,ID
GNS,WIMB,,Binaka Airport,Indonesia,Gunungsitoli,20 feet,1.1663800478,97.7046966553,,,https://en.wikipedia.org/wiki/Binaka_Airport,Medium Airport,ID
BTU,WBGB,,Bintulu Airport,Malaysia,Bintulu,74 feet,3.1238501072,113.0199966430,,,https://en.wikipedia.org/wiki/Bintulu_Airport,Medium Airport,MY
BIR,VNVT,,Biratnagar Airport,Nepal,Biratnagar,236 feet,26.4815006256,87.2639999390,,,https://en.wikipedia.org/wiki/Biratnagar_Airport,Medium Airport,NP
BVI,YBDV,,Birdsville Airport,Australia,,"1,253 feet",-25.8974990845,139.3480072021,,,https://en.wikipedia.org/wiki/Birdsville_Airport,Medium Airport,AU
IXR,VERC,,Birsa Munda Airport,India,Ranchi,"2,148 feet",23.3143005371,85.3217010498,,https://www.aai.aero/en/airports/ranchi,https://en.wikipedia.org/wiki/Birsa_Munda_Airport,Medium Airport,IN
BKQ,YBCK,,Blackall Airport,Australia,Blackall,928 feet,-24.4277992249,145.4290008540,,,https://en.wikipedia.org/wiki/Blackall_Airport,Medium Airport,AU
BLT,YBTR,,Blackwater Airport,Australia,,657 feet,-23.6030998230,148.8070068359,,,https://en.wikipedia.org/wiki/Blackwater_Airport,Medium Airport,AU
BQL,YBOU,,Boulia Airport,Australia,,542 feet,-22.9132995605,139.8999938965,,,https://en.wikipedia.org/wiki/Boulia_Airport,Medium Airport,AU
BRK,YBKE,,Bourke Airport,Australia,,352 feet,-30.0391998291,145.9519958496,,,https://en.wikipedia.org/wiki/Bourke_Airport,Medium Airport,AU
BWQ,YBRW,,Brewarrina Airport,Australia,,414 feet,-29.9738998413,146.8170013428,,,https://en.wikipedia.org/wiki/Brewarrina_Airport,Medium Airport,AU
BHQ,YBHI,,Broken Hill Airport,Australia,Broken Hill,958 feet,-32.0013999939,141.4720001220,,,https://en.wikipedia.org/wiki/Broken_Hill_Airport,Medium Airport,AU
LUW,WAFW,,Bubung Airport,Indonesia,Luwok,56 feet,-1.0389200449,122.7720031738,,,https://en.wikipedia.org/wiki/Syukuran_Aminuddin_Amir_Airport,Medium Airport,ID
UGA,ZMBN,,Bulgan Airport,China,Bulgan,4311 feet,48.8549995422,103.4759979248,,,https://en.wikipedia.org/wiki/Bulgan_Airport,Medium Airport,MN
BDB,YBUD,,Bundaberg Airport,Australia,Bundaberg,107 feet,-24.9039001465,152.3190002440,,,https://en.wikipedia.org/wiki/Bundaberg_Airport,Medium Airport,AU
BFV,VTUO,,Buriram Airport,Thailand,Buriram,590 feet,15.2294998169,103.2529983521,,,https://en.wikipedia.org/wiki/Buriram_Airport,Medium Airport,TH
CAH,VVCM,,Ca Mau Airport,Viet Nam,Ca Mau City,5 feet,9.1774640000,105.1778580000,,,https://en.wikipedia.org/wiki/Cà_Mau_Airport,Medium Airport,VN
BCH,WPEC,,Cakung Airport,Timor-Leste,Baucau,"1,777 feet",-8.4890298843,126.4010009770,,,https://en.wikipedia.org/wiki/Baucau_Airport,Medium Airport,TL
CDU,YSCN,,Camden Airport,Australia,Cobbitty,230 feet,-34.0402984619,150.6869964600,,,https://en.wikipedia.org/wiki/Camden_Airport_(New_South_Wales),Medium Airport,AU
,VOBX,,Campbell Bay Airport / INS Baaz,India,Campbell Bay,16 feet,,,,,,Medium Airport,IN
CBR,YSCB,,Canberra International Airport,Australia,Canberra,"1,886 feet",-35.3069000244,149.1950073242,,,https://en.wikipedia.org/wiki/Canberra_Airport,Medium Airport,AU
CDE,ZBCD,,Cape Decision Coast Guard Heliport,United States,Chengde,34 feet,65.5737991300,-144.7830048000,,,https://en.wikipedia.org/wiki/Central_Airport,Medium Airport,CN
CBD,VOCX,,Car Nicobar Air Force Base,India,IAF Camp,5 feet,9.1525096893,92.8196029663,,,https://en.wikipedia.org/wiki/Car_Nicobar_Air_Force_Base,Medium Airport,IN
CVQ,YCAR,,Carnarvon Airport,Australia,Carnarvon,13 feet,-24.8805999756,113.6719970703,,,https://en.wikipedia.org/wiki/Carnarvon_Airport_(Western_Australia),Medium Airport,AU
CED,YCDU,,Ceduna Airport,Australia,,77 feet,-32.1305999756,133.7100067139,,,https://en.wikipedia.org/wiki/Ceduna_Airport,Medium Airport,AU
,VTSN,,Cha Eian Airport,Thailand,Nakhon Si Thammarat,44 feet,,,,,,Medium Airport,TH
NBS,ZYBS,,Changbaishan Airport,China,Baishan,2874 feet,42.0669444444,127.6022222220,,,https://en.wikipedia.org/wiki/Changbaishan_Airport,Medium Airport,CN
CGD,ZGCD,,Changde Airport,China,Changde (Dingcheng),128 feet,28.9188995361,111.6399993900,,,https://en.wikipedia.org/wiki/Changde_Taohuayuan_Airport,Medium Airport,CN
,WSAC,,Changi Air Base (East),Singapore,Singapore,22 feet,,,,,,Medium Airport,SG
CZX,ZSCG,,Changzhou Benniu Airport,China,Changzhou,33 feet,31.9197006226,119.7789993286,,,https://en.wikipedia.org/wiki/Changzhou_Benniu_International_Airport,Medium Airport,CN
CHG,ZYCY,,Chaoyang Airport,China,"Shuangta, Chaoyang",568 feet,41.5381011963,120.4349975586,,,https://en.wikipedia.org/wiki/Chaoyang_Airport,Medium Airport,CN
CTL,YBCV,,Charleville Airport,Australia,Charleville,1003 feet,-26.4132995605,146.2619934080,,,https://en.wikipedia.org/wiki/Charleville_Airport,Medium Airport,AU
CIF,ZBCF,,Chifeng Airport,China,Chifeng,2018 feet,42.2350006104,118.9079971313,,,https://en.wikipedia.org/wiki/Chifeng_Yulong_Airport,Medium Airport,CN
CCL,YCCA,,Chinchilla Airport,Australia,Chinchilla,"1,028 feet",-26.7749996185,150.6170043945,,,https://en.wikipedia.org/wiki/Chinchilla_Airport,Medium Airport,AU
COQ,ZMCD,,Choibalsan Airport,Mongolia,,2457 feet,48.1357002258,114.6460037231,,,https://en.wikipedia.org/wiki/Choibalsan_Airport,Medium Airport,MN
XCH,YPXM,,Christmas Island Airport,Christmas Island,Flying Fish Cove,916 feet,-10.4505996704,105.6900024414,,,https://en.wikipedia.org/wiki/Christmas_Island_Airport,Medium Airport,CX
CJM,VTSE,,Chumphon Airport,Thailand,Chumphon,18 feet,10.7111997604,99.3617019653,,,https://en.wikipedia.org/wiki/Chumphon_Airport,Medium Airport,TH
CMQ,YCMT,,Clermont Airport,Australia,,908 feet,-22.7730998993,147.6210021973,,,https://en.wikipedia.org/wiki/Clermont_Airport,Medium Airport,AU
CVC,YCEE,,Cleve Airport,Australia,,589 feet,-33.7097015381,136.5050048828,,,https://en.wikipedia.org/wiki/Cleve_Airport,Medium Airport,AU
CNJ,YCCY,,Cloncurry Airport,Australia,Cloncurry,616 feet,-20.6686000824,140.5039978030,,,https://en.wikipedia.org/wiki/Cloncurry_Airport,Medium Airport,AU
VCS,VVCS,,Co Ong Airport,Viet Nam,Con Dao,20 feet,8.7318296433,106.6330032350,,,https://en.wikipedia.org/wiki/Con_Dao_Airport,Medium Airport,VN
CAZ,YCBA,,Cobar Airport,Australia,,724 feet,-31.5382995605,145.7940063477,,,https://en.wikipedia.org/wiki/Cobar_Airport,Medium Airport,AU
CUQ,YCOE,,Coen Airport,Australia,Coen,532 feet,-13.7608003616,143.1139984131,,,https://en.wikipedia.org/wiki/Coen_Airport,Medium Airport,AU
CFS,YCFS,,Coffs Harbour Airport,Australia,Coffs Harbour,18 feet,-30.3205560000,153.1163890000,,,https://en.wikipedia.org/wiki/Coffs_Harbour_Airport,Medium Airport,AU
CPD,YCBP,,Coober Pedy Airport,Australia,Coober Pedy,740 feet,-29.0400009155,134.7209930420,,,https://en.wikipedia.org/wiki/Coober_Pedy_Airport,Medium Airport,AU
CTN,YCKN,,Cooktown Airport,Australia,,26 feet,-15.4447002411,145.1840057373,,,https://en.wikipedia.org/wiki/Cooktown_Airport,Medium Airport,AU
OOM,YCOM,,Cooma Snowy Mountains Airport,Australia,Cooma,3088 feet,-36.3005981445,148.9739990230,,,https://en.wikipedia.org/wiki/Cooma_-_Snowy_Mountains_Airport,Medium Airport,AU
COJ,YCBB,,Coonabarabran Airport,Australia,,2117 feet,-31.3325004578,149.2669982910,,,https://en.wikipedia.org/wiki/Coonabarabran_Airport,Medium Airport,AU
CNB,YCNM,,Coonamble Airport,Australia,,604 feet,-30.9832992554,148.3760070801,,,https://en.wikipedia.org/wiki/Coonamble_Airport,Medium Airport,AU
CMD,YCTM,,Cootamundra Airport,Australia,,1110 feet,-34.6239013672,148.0279998779,,,https://en.wikipedia.org/wiki/Cootamundra_Airport,Medium Airport,AU
CWW,YCOR,,Corowa Airport,Australia,,469 feet,-35.9947013855,146.3569946289,,,https://en.wikipedia.org/wiki/Corowa_Airport,Medium Airport,AU
CYG,YCRG,,Corryong Airport,Australia,,963 feet,-36.1828002930,147.8880004883,,,https://en.wikipedia.org/wiki/Corryong_Airport,Medium Airport,AU
CWT,YCWR,,Cowra Airport,Australia,,966 feet,-33.8446998596,148.6490020752,,,https://en.wikipedia.org/wiki/Cowra_Airport,Medium Airport,AU
CXB,VGCB,,Cox's Bazar Airport,Bangladesh,Cox's Bazar,12 feet,21.4521999359,91.9638977051,,,https://en.wikipedia.org/wiki/Cox's_Bazar_Airport,Medium Airport,BD
CDP,VOCP,,Cuddapah Airport,India,Kadapa,430 feet,14.5100002289,78.7727966309,,,https://en.wikipedia.org/wiki/Kadapa_Airport,Medium Airport,IN
CMA,YCMU,,Cunnamulla Airport,Australia,,77 feet,-28.0300006866,145.6219940186,,,https://en.wikipedia.org/wiki/Cunnamulla_Airport,Medium Airport,AU
DLZ,ZMDZ,,Dalanzadgad Airport,Mongolia,Dalanzadgad,4787 feet,43.5917015076,104.4300003052,,,https://en.wikipedia.org/wiki/Dalanzadgad_Airport,Medium Airport,MN
DLU,ZPDL,,Dali Airport,China,Dali (Xiaguan),7050 feet,25.6494007111,100.3190002441,,,https://en.wikipedia.org/wiki/Dali_Huangcaoba_Airport,Medium Airport,CN
DDG,ZYDD,,Dandong Airport,China,Dandong (Zhenxing),30 feet,40.0247001648,124.2860031130,,,https://en.wikipedia.org/wiki/Dandong_Langtou_Airport,Medium Airport,CN
TVY,VYDW,,Dawei Airport,Myanmar (Burma),Dawei,84 feet,14.1038999557,98.2035980225,,,https://en.wikipedia.org/wiki/Dawei_Airport,Medium Airport,MM
DED,VIDN,,Dehradun Airport,India,Dehradun (Jauligrant),79 feet,30.1896991730,78.1802978516,,,https://en.wikipedia.org/wiki/Dehradun_Airport,Medium Airport,IN
DRB,YDBY,,Derby Airport,Australia,Derby,24 feet,-17.3700008392,123.6610031128,,,https://en.wikipedia.org/wiki/Derby_Airport_(Australia),Medium Airport,AU
DPO,YDPO,,Devonport Airport,Australia,Devonport,33 feet,-41.1697006226,146.4299926760,,,https://en.wikipedia.org/wiki/Devonport_Airport,Medium Airport,AU
DBD,VEDB,,Dhanbad Airport,India,,847 feet,23.8339996338,86.4253005981,,,https://en.wikipedia.org/wiki/Dhanbad_Airport,Medium Airport,IN
DIB,VEMN,,Dibrugarh Airport,India,Dibrugarh,362 feet,27.4839000702,95.0168991089,,,https://en.wikipedia.org/wiki/Dibrugarh_Airport,Medium Airport,IN
DIN,VVDB,,Dien Bien Phu Airport,Viet Nam,Dien Bien Phu,1611 feet,21.3974990845,103.0080032350,,,https://en.wikipedia.org/wiki/Dien_Bien_Phu_Airport,Medium Airport,VN
DMU,VEMR,,Dimapur Airport,India,Dimapur,487 feet,25.8838996887,93.7711029053,,,https://en.wikipedia.org/wiki/Dimapur_Airport,Medium Airport,IN
DIG,ZPDQ,,Diqing Airport,China,Diqing (Shangri-La),10761 feet,27.7936000824,99.6772003174,,,https://en.wikipedia.org/wiki/Diqing_Shangri-La_Airport,Medium Airport,CN
