Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
Akasa Air,QP,AKJ,"Mumbai , Maharashtra, India",Kempegowda International Airport ( Bengaluru ) ; Chhatrapati Shivaji Maharaj International Airport ( Mumbai ),30,AKASA AIR,,akasaair .com,Vinay Dube ( MD & CEO ),, 46.36 billion (US$480 million) (FY 2024-25), 19.83 billion (US$210 million) (FY 2024-25),38,,Port Blair (IXZ)  Veer Savarkar International Airport; Guwahati (GAU)  Lokpriya Gopinath Bordoloi International Airport; Darbhanga (DBR)  Darbhanga Airport; New Delhi (DEL)  Indira Gandhi International Airport; Mopa (GOX)  Manohar International Airport; Ahmedabad (AMD)  Sardar Vallabhbhai Patel International Airport; Srinagar (SXR)  Srinagar Airport; Bengaluru (BLR)  Kempegowda International Airport; Kochi (COK)  Cochin International Airport; Gwalior (GWL)  Gwalior Airport; Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Bhubaneswar (BBI)  Biju Patnaik Airport; Chennai (MAA)  Chennai International Airport; Hyderabad (HYD)  Rajiv Gandhi International Airport; Agartala (IXA)  Maharaja Bir Bikram Airport; Ayodhya (AYJ)  Maharishi Valmiki International Airport; Noida International Airport  Begins 16 June 2026; Bagdogra (IXB)  Bagdogra Airport; Kuwait City (KWI)  Kuwait International Airport; Doha (DOH)  Hamad International Airport; Jeddah (JED)  King Abdulaziz International Airport; Phuket (HKT)  Phuket International Airport; Abu Dhabi (AUH)  Zayed International Airport; Hanoi (HAN)  Noi Bai International Airport,,,,,22 December 2021 ( 2021-12-22 ); 7 August 2022 ( 2022-08-07 ),Kempegowda International Airport ( Bengaluru ) ; Chhatrapati Shivaji Maharaj International Airport ( Mumbai ),,,,,https://en.wikipedia.org/wiki/Akasa_Air
Aklak Air,6L,AKK,"Inuvik , Northwest Territories",,0,AKLAK,,www .aklakair .ca,,,,,0,,,,,,,1977,,,,,,https://en.wikipedia.org/wiki/Aklak_Air
Alaska Airlines,AS,ASA,"SeaTac, Washington , United States",Anchorage ; Los Angeles ; Portland (OR) ; San Diego ; San Francisco ; Seattle/Tacoma; Boise (ID),143,ALASKA,,www .alaskaair .com,Ben Minicucci (group CEO ) ; Jason Berry ( COO ),"22,377 (2025)",US$ 9.1 billion (2025),US$526 million (2025),321,,"Mexico ( Guerrero ): Acapulco (ACA)  Acapulco International Airport; United States ( Alaska ): Adak (ADK)  Adak Airport; United States ( New Mexico ): Albuquerque (ABQ)  Albuquerque International Sunport; United States ( Alaska ): Anchorage (ANC)  Ted Stevens Anchorage International Airport; United States ( California ): Arcata / Eureka (ACV)  ArcataEureka Airport; United States ( Georgia ): Atlanta (ATL)  Hartsfield-Jackson Atlanta International Airport; United States ( Texas ): Austin (AUS)  Austin-Bergstrom International Airport; United States ( Maryland ): Baltimore (BWI)  Baltimore-Washington International Airport; Belize: Belize City (BZE)  Philip S. W. Goldson International Airport; United States ( Washington ): Bellingham (BLI)  Bellingham International Airport; United States ( Alaska ): Bethel (BET)  Bethel Airport; United States ( Montana ): Billings (BIL)  Billings Logan International Airport; United States ( Idaho ): Boise (BOI)  Boise Airport; United States ( Massachusetts ): Boston (BOS)  Logan International Airport; United States ( Montana ): Bozeman (BZN)  Bozeman Yellowstone International Airport; United States ( California ): Burbank (BUR)  Hollywood Burbank Airport; Canada ( Alberta ): Calgary (YYC)  Calgary International Airport; Mexico ( Quintana Roo ): Cancn (CUN)  Cancn International Airport; United States ( South Carolina ): Charleston (CHS)  Charleston International Airport; United States ( Illinois ): Chicago (ORD)  O'Hare International Airport; United States ( Kentucky ): Cincinnati / Covington (CVG)  Cincinnati/Northern Kentucky International Airport; United States ( Ohio ): Cleveland (CLE)  Cleveland Hopkins International Airport; United States ( Alaska ): Cold Bay (CDB)  Cold Bay Airport; United States ( Colorado ): Colorado Springs (COS)  Colorado Springs Municipal Airport; United States ( Ohio ): Columbus (CMH)  John Glenn Columbus International Airport; United States ( Alaska ): Cordova (CDV)  Merle K. (Mudhole) Smith Airport; United States ( Texas ): Dallas-Fort Worth (DFW)  Dallas/Fort Worth International Airport; United States ( Texas ): Dallas (DAL)  Dallas Love Field; United States ( Alaska ): Deadhorse / Prudhoe Bay (SCC)  Deadhorse Airport; United States ( Colorado ): Denver (DEN)  Denver International Airport; United States ( Michigan ): Detroit (DTW)  Detroit Metropolitan Airport; United States ( Alaska ): Dillingham (DLG)  Dillingham Airport; United States ( Alaska ): Dutch Harbor (DUT)  Unalaska Airport; Canada ( Alberta ): Edmonton (YEG)  Edmonton International Airport; United States ( Texas ): El Paso (ELP)  El Paso International Airport; United States ( Oregon ): Eugene (EUG)  Eugene Airport; United States ( Washington ): Everett (PAE)  Paine Field; United States ( Alaska ): Fairbanks (FAI)  Fairbanks International Airport; United States ( Florida ): Fort Lauderdale (FLL)  Fort Lauderdale-Hollywood International Airport; United States ( Florida ): Fort Myers (RSW)  Southwest Florida International Airport; United States ( California ): Fresno (FAT)  Fresno Yosemite International Airport; United States ( Montana ): Great Falls (GTF)  Great Falls International Airport; Mexico ( Jalisco ): Guadalajara (GDL)  Guadalajara International Airport; Guatemala: Guatemala City (GUA)  La Aurora International Airport; United States ( Alaska ): Gustavus (GST)  Gustavus Airport; Cuba: Havana (HAV)  Jos Mart International Airport; United States ( Montana ): Helena (HLN)  Helena Regional Airport; United States ( Hawaii ): Honolulu (HNL)  Daniel K. Inouye International Airport; United States ( Texas ): Houston (IAH)  George Bush Intercontinental Airport; United States ( Idaho ): Idaho Falls (IDA)  Idaho Falls Regional Airport; United States ( Indiana ): Indianapolis (IND)  Indianapolis International Airport; Mexico ( Guerrero ): Ixtapa (ZIH)  Ixtapa-Zihuatanejo International Airport; United States ( Wyoming ): Jackson Hole (JAC)  Jackson Hole Airport; United States ( Alaska ): Juneau (JNU)  Juneau International Airport; United States ( Hawaii ): Kahului (OGG)  Kahului Airport; United States ( Montana ): Kalispell (FCA)  Glacier Park International Airport; United States ( Missouri ): Kansas City (MCI)  Kansas City International Airport; Canada ( British Columbia ): Kelowna (YLW)  Kelowna International Airport; United States ( Alaska ): Ketchikan (KTN)  Ketchikan International Airport; Russia ( Khabarovsk Krai ): Khabarovsk (KHV)  Khabarovsk Novy Airport; United States ( Alaska ): King Salmon (AKN)  King Salmon Airport; United States ( Alaska ): Kodiak (ADQ)  Kodiak Airport; United States ( Hawaii ): Kona (KOA)  Kona International Airport; United States ( Alaska ): Kotzebue (OTZ)  Ralph Wien Memorial Airport; Mexico ( Baja California Sur ): La Paz (LAP)  Manuel Mrquez de Len International Airport; United States ( Nevada ): Las Vegas (LAS)  Harry Reid International Airport; Costa Rica: Liberia (LIR)  Daniel Oduber Quirs International Airport; United States ( Hawaii ): Lihue (LIH)  Lihue Airport; United Kingdom ( England ): London (LHR)  Heathrow Airport; United States ( California ): Long Beach (LGB)  Long Beach Airport; Mexico ( Baja California Sur ): Loreto (LTO)  Loreto International Airport; United States ( California ): Los Angeles (LAX)  Los Angeles International Airport; Russia ( Magadan Oblast ): Magadan (GDX)  Sokol Airport; Mexico ( Colima ): Manzanillo (ZLO)  Playa de Oro International Airport; Mexico ( Sinaloa ): Mazatln (MZT)  Mazatln International Airport; United States ( Oregon ): Medford (MFR)  Rogue Valley InternationalMedford Airport; Mexico ( Federal District ): Mexico City (MEX)  Mexico City International Airport; United States ( Florida ): Miami (MIA)  Miami International Airport; United States ( Wisconsin ): Milwaukee (MKE)  Milwaukee Mitchell International Airport; United States ( Minnesota ): Minneapolis (MSP)  Minneapolis-Saint Paul International Airport; United States ( Montana ): Missoula (MSO)  Missoula Montana Airport; United States ( California ): Monterey (MRY)  Monterey Regional Airport; Mexico ( Nuevo Len ): Monterrey (MTY)  Monterrey International Airport; United States ( Tennessee ): Nashville (BNA)  Nashville International Airport; Bahamas: Nassau (NAS)  Lynden Pindling International Airport; United States ( Louisiana ): New Orleans (MSY)  Louis Armstrong New Orleans International Airport; United States ( New York ): New York City (JFK)  John F. Kennedy International Airport (Terminal 7); United States ( New York ): New York City (LGA)  LaGuardia Airport; United States ( New Jersey ): Newark (EWR)  Newark Liberty International Airport; United States ( Alaska ): Nome (OME)  Nome Airport; United States ( California ): Oakland (OAK)  Oakland San Francisco Bay Airport; United States ( Oklahoma ): Oklahoma City (OKC)  Will Rogers World Airport; United States ( Nebraska ): Omaha (OMA)  Eppley Airfield; United States ( California ): Ontario (ONT)  Ontario International Airport; United States ( California ): Orange County/Santa Ana (SNA)  John Wayne Airport; United States ( Florida ): Orlando (MCO)  Orlando International Airport; United States ( California ): Palm Springs (PSP)  Palm Springs International Airport; United States ( Washington ): Pasco (PSC)  Tri-Cities Airport; United States ( Alaska ): Petersburg (PSG)  Petersburg James A. Johnson Airport; Russia ( Kamchatka Oblast ): Petropavlovsk-Kamchatsky (PKC)  Petropavlovsk-Kamchatsky Airport; United States ( Pennsylvania ): Philadelphia (PHL)  Philadelphia International Airport; United States ( Arizona ): Phoenix (PHX)  Phoenix Sky Harbor International Airport; United States ( Pennsylvania ): Pittsburgh (PIT)  Pittsburgh International Airport; United States ( Oregon ): Portland (PDX)  Portland International Airport; Mexico ( Jalisco ): Puerto Vallarta (PVR)  Licenciado Gustavo Daz Ordaz International Airport; United States ( Washington ): Pullman (PUW)  PullmanMoscow Regional Airport; United States ( North Carolina ): Raleigh (RDU)  Raleigh-Durham International Airport; United States ( California ): Redding (RDD)  Redding Municipal Airport; United States ( Oregon ): Redmond (RDM)  Roberts Field; United States ( Nevada ): Reno (RNO)  RenoTahoe International Airport; Iceland: Reykjavk ; Begins 17 June 2026 (KEF)  Keflavk International Airport; Italy ( Lazio ): Rome (FCO)  Rome Fiumicino Airport; United States ( California ): Sacramento (SMF)  Sacramento International Airport; United States ( Utah ): Salt Lake City (SLC)  Salt Lake City International Airport; United States ( Texas ): San Antonio (SAT)  San Antonio International Airport; United States ( California ): San Diego (SAN)  San Diego International Airport; United States ( California ): San Francisco (SFO)  San Francisco International Airport; United States ( California ): San Jose (SJC)  San Jose International Airport; Costa Rica: San Jos (SJO)  Juan Santamara International Airport; Mexico ( Baja California Sur ): San Jos del Cabo (SJD)  Los Cabos International Airport; United States ( California ): San Luis Obispo (SBP)  San Luis Obispo County Regional Airport; United States ( California ): Santa Barbara (SBA)  Santa Barbara Municipal Airport; United States ( Washington ): Seattle (SEA)  SeattleTacoma International Airport; South Korea ( Incheon ): Seoul (ICN)  Incheon International Airport; United States ( Alaska ): Sitka (SIT)  Sitka Rocky Gutierrez Airport; United States ( Washington ): Spokane (GEG)  Spokane International Airport; United States ( California ): Sonoma County (STS)  Charles M. SchulzSonoma County Airport; United States ( Missouri ): St. Louis (STL)  St. Louis Lambert International Airport; United States ( Colorado ): Steamboat Springs (HDN)  Yampa Valley Airport; United States ( Idaho ): Sun Valley (SUN)  Friedman Memorial Airport; United States ( Florida ): Tampa (TPA)  Tampa International Airport; Japan ( Chiba ): Tokyo (NRT)  Narita International Airport; Canada ( Ontario ): Toronto (YYZ)  Toronto Pearson International Airport; United States ( Arizona ): Tucson (TUS)  Tucson International Airport; United States ( Oklahoma ): Tulsa (TUL)  Tulsa International Airport; United States ( Alaska ): Utqiavik (BRW)  Wiley PostWill Rogers Memorial Airport; United States ( Colorado ): Vail (EGE)  Eagle County Regional Airport; Canada ( British Columbia ): Vancouver (YVR)  Vancouver International Airport; Russia ( Primorsky Krai ): Vladivostok (VVO)  Vladivostok International Airport; Canada ( British Columbia ): Victoria (YYJ)  Victoria International Airport; United States ( Washington ): Walla Walla (ALW)  Walla Walla Regional Airport; United States ( Virginia ): Washington, D.C. (DCA)  Ronald Reagan Washington National Airport; United States ( Virginia ): Washington, D.C. (IAD)  Washington Dulles International Airport; United States ( Washington ): Wenatchee (EAT)  Pangborn Memorial Airport; United States ( Kansas ): Wichita (ICT)  Wichita Eisenhower National Airport; United States ( Alaska ): Wrangell (WRG)  Wrangell Airport; United States ( Washington ): Yakima (YKM)  Yakima Air Terminal; United States ( Alaska ): Yakutat (YAK)  Yakutat Airport; Russia ( Sakhalin Oblast ): Yuzhno-Sakhalinsk (UUS)  Yuzhno-Sakhalinsk Airport",Oneworld,Atmos Rewards,,,"April 14, 1932 ( 1932-04-14 ) (as McGee Airways ); June 6, 1944 ( 1944-06-06 )",Anchorage ; Los Angeles ; Portland (OR) ; San Diego ; San Francisco ; Seattle/Tacoma; Boise (ID),,,,,https://en.wikipedia.org/wiki/Alaska_Airlines
Alaska Central Express,KO,AER,"Anchorage, Alaska",Ted Stevens Anchorage International Airport,19,ACE AIR,,www.aceaircargo.com,,,,,21,,,,,,,1996 ( 1996 ),Ted Stevens Anchorage International Airport,,,,,https://en.wikipedia.org/wiki/Alaska_Central_Express
AlbaStar,AP,LAV,"Palma de Mallorca , Balearic Islands , Spain",MilanMalpensa ; Bergamo ; Palma de Mallorca ; Trapani,2,ALBASTAR,,www .albastar .es,Pino D'Urso,200,,,5,,,,,,,30 November 2009 ( 2009-11-30 ); 31 July 2010 ( 2010-07-31 ),MilanMalpensa ; Bergamo ; Palma de Mallorca ; Trapani,,,,,https://en.wikipedia.org/wiki/AlbaStar
Albatros Airlines,G2,GAL,,,0,ALBATROS,,,,,,,0,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Albatros_Airlines
Albawings,2B,AWT,"Tirana , Albania",,0,ALBAWINGS,,www .albawings .com /en,Dritan Shakohoxha CEO,72,,,0,,,,,,,February 2015; September 2016,,,,,,https://en.wikipedia.org/wiki/Albawings
Alexandria Airlines,DQ,KHH,"Cairo, Egypt",Cairo International Airport,0,,,alexandriaairlines .com,,,,,1,,Egypt: Alexandria (HBE)  Borg El Arab International Airport; Sharm El Sheikh: Sharm El Sheikh International Airport  Seasonal Charter; Jordan: Amman (AMM)  Queen Alia International Airport; Kuwait: Kuwait City (KWI)  Kuwait International Airport; Morocco: Casablanca (CMN)  Mohammed V International Airport; Marrakesh: Marrakesh Menara Airport  Seasonal Charter; Tangier: Tangier Ibn Battouta Airport  Seasonal Charter; Russia: Moscow (DME)  Moscow Domodedovo Airport; Saudi Arabia: Jeddah (JED)  King Abdulaziz International Airport,,,,,2007 ( 2007 ),Cairo International Airport,,,,,https://en.wikipedia.org/wiki/Alexandria_Airlines
Alidaunia,D4,LID,"Foggia , Italy",Gino Lisa Airport,0,ALIDA,,alidaunia.it,,,,,0,,,,,,,1976 ( 1976 ),Gino Lisa Airport,,,,,https://en.wikipedia.org/wiki/Alidaunia
Alkan Air,-,AKN,"Whitehorse , Yukon, Canada","Whitehorse, Yukon ; Nanaimo , British Columbia; Mayo, Yukon",0,ALKAN AIR,,alkanair .com,,,,,23,,,,,,,1977,"Whitehorse, Yukon ; Nanaimo , British Columbia; Mayo, Yukon",,,,,https://en.wikipedia.org/wiki/Alkan_Air
All Nippon Airways (ANA),NH,ANA,"Shiodome City Center , Minato, Tokyo, Japan",TokyoHaneda ; TokyoNarita; OsakaItami ; OsakaKansai; Fukuoka ; NagoyaCentrair ; Naha ; SapporoChitose,174,ALL NIPPON,,ana.co.jp,"Shinya Katanozaka ( chairman , ANA Holdings) ; Koji Shibata (ANA chairman & ANA Holdings president & CEO) ; Shinichi Inoue (ANA president & CEO )","42,196 (2022)", 1.020 trillion (2022),142.239 billion (2022),221,,"Perth: Perth Airport  Passenger; Sydney: Sydney Airport  Passenger; Austria: Vienna (VIE)  Vienna International Airport; Belgium: Brussels (BRU)  Brussels Airport; Vancouver: Vancouver International Airport  Passenger; China: Beijing (PEK)  Beijing Capital International Airport; Chengdu: Chengdu Shuangliu International Airport  Suspended; Dalian: Dalian Zhoushuizi International Airport  Passenger + Cargo; Guangzhou: Guangzhou Baiyun International Airport  Passenger + Cargo; Hangzhou: Hangzhou Xiaoshan International Airport  Passenger; Qingdao: Qingdao Jiaodong International Airport  Passenger + Cargo; Shanghai: Shanghai Hongqiao International Airport  Passenger; Shenyang: Shenyang Taoxian International Airport  Suspended; Shenzhen: Shenzhen Bao'an International Airport  Passenger; Tianjin: Tianjin Binhai International Airport  Terminated; Wuhan: Wuhan Tianhe International Airport  Passenger; Xiamen: Xiamen Gaoqi International Airport  Cargo; France: Paris (CDG)  Charles de Gaulle Airport; Frankfurt: Frankfurt Airport  Passenger; Munich: Munich Airport  Passenger; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport; Delhi: Indira Gandhi International Airport  Passenger; Mumbai: Chhatrapati Shivaji Maharaj International Airport  Passenger; Jakarta: SoekarnoHatta International Airport  Passenger; Italy: Milan (MXP)  Milan Malpensa Airport; Rome: Rome Fiumicino Airport  Terminated; Japan ( Chbu region ): Komatsu (KMQ)  Komatsu Airport; Nagoya: Chubu Centrair International Airport  Passenger; Niigata: Niigata Airport  Passenger; Shizuoka: Shizuoka Airport  Passenger; Toyama: Toyama Airport  Passenger; Wajima: Noto Airport  Passenger; Japan ( Chgoku ): Hiroshima (HIJ)  Hiroshima Airport; Iwakuni: Iwakuni Kintaikyo Airport  Passenger; Okayama: Okayama Airport  Passenger; nan: Iwami Airport  Passenger; Tottori: Tottori Airport  Passenger; Yamaguchi - Ube: Yamaguchi Ube Airport  Passenger; Yonago: Miho-Yonago Airport  Passenger; Japan ( Hokkaid ): Asahikawa (AKJ)  Asahikawa Airport; Kushiro: Kushiro Airport  Passenger; Hakodate: Hakodate Airport  Passenger; Monbetsu: Monbetsu Airport  Passenger; Nakashibetsu: Nakashibetsu Airport  Passenger; zora: Memanbetsu Airport  Passenger; Rishiri Island: Rishiri Airport  Passenger; Sapporo: New Chitose Airport  Passenger; Wakkanai: Wakkanai Airport  Passenger; Japan ( Kansai region ): Kobe (UKB)  Kobe Airport; Osaka: Kansai International Airport  Hub; Japan ( Kant region ): Hachij-jima (HAC)  Hachijojima Airport; Miyakejima: Miyakejima Airport  Terminated; shima: Oshima Airport  Terminated; Tokyo: Haneda Airport  Hub; Japan ( Kysh ): Fukuoka (FUK)  Fukuoka Airport; Ishigaki: New Ishigaki Airport  Passenger; Kagoshima: Kagoshima Airport  Passenger; Kumamoto: Kumamoto Airport  Passenger; Miyakojima: Miyako Airport  Passenger; Miyazaki: Miyazaki Airport  Passenger; Nagasaki: Nagasaki Airport  Passenger; Okinawa: Naha Airport  Passenger; ita: Oita Airport  Passenger; Saga: Saga Airport  Passenger; Tsushima Island: Tsushima Airport  Passenger; Japan ( Shikoku ): Kchi (KCZ)  Kchi Airport; Matsuyama: Matsuyama Airport  Passenger; Takamatsu: Takamatsu Airport  Passenger; Tokushima: Tokushima Airport  Passenger; Japan ( Thoku region ): Akita (AXT)  Akita Airport; Aomori: Aomori Airport  Passenger; Fukushima: Fukushima Airport  Passenger; Odate: Odate-Noshiro Airport  Passenger; Sendai: Sendai Airport  Passenger; Shnai: Shonai Airport  Passenger; Malaysia: Kuala Lumpur (KUL)  Kuala Lumpur International Airport; Mexico: Mexico City (MEX)  Mexico City International Airport; Yangon: Yangon International Airport  Suspended; Clark: Clark International Airport  Terminated; Manila: Ninoy Aquino International Airport  Passenger + Cargo; Vladivostok: Vladivostok International Airport  Suspended; Singapore: Singapore (SIN)  Changi Airport; South Korea: Seoul (GMP)  Gimpo International Airport; Sweden: Stockholm (ARN)  Stockholm Arlanda Airport; Taiwan: Taipei (TSA)  Songshan Airport; Samut Prakan: Suvarnabhumi Airport  Passenger + Cargo; Turkey: Istanbul (IST)  Istanbul Airport; United Kingdom: London (LHR)  Heathrow Airport; United States: Chicago (ORD)  O'Hare International Airport; Honolulu: Daniel K. Inouye International Airport  Passenger; Houston: George Bush Intercontinental Airport  Passenger; Los Angeles: Los Angeles International Airport  Passenger + Cargo; Miami: Miami International Airport  Terminated; New York City: John F. Kennedy International Airport  Passenger; San Francisco: San Francisco International Airport  Passenger; San Jose, CA: San Jose International Airport  Suspended; Seattle: SeattleTacoma International Airport  Passenger; Washington, D.C.: Dulles International Airport  Passenger; Vietnam: Hanoi (HAN)  Noi Bai International Airport; Ho Chi Minh City: Tan Son Nhat International Airport  Passenger + Cargo",Star Alliance,ANA Mileage Club,,,27 December 1952 ( 1952-12-27 ) (as Japan Helicopter and Aeroplane ); February 1953 ( 1953-02 ) (as Japan Helicopter and Aeroplane ) ; December 1957 ( 1957-12 ) (as All Nippon Airways ),TokyoHaneda ; TokyoNarita; OsakaItami ; OsakaKansai; Fukuoka ; NagoyaCentrair ; Naha ; SapporoChitose,,,,,https://en.wikipedia.org/wiki/All_Nippon_Airways
Allegiant Air,G4,AAY,"1201 North Town Center Drive ; Las Vegas , Nevada, United States",Allentown ; Appleton ; Asheville ; Bellingham (ends November 2026) ; Cincinnati ; Destin/Fort Walton Beach ; Des Moines ; Flint ; Fort Lauderdale ; Grand Rapids ; Indianapolis ; Knoxville ; Las Vegas ; Nashville ; Orlando/Sanford ; Phoenix/Mesa ; Pittsburgh ; Provo ; Punta Gorda ; Sarasota ; Savannah (ends November 2026) ; St. Petersburg/Clearwater,126,ALLEGIANT,,allegiantair.com,Gregory C. Anderson ( CEO ),,,,124,,Akron / Canton (CAK)  AkronCanton Airport; Albany (ALB)  Albany International Airport; Allentown (ABE)  Lehigh Valley International Airport; Appleton (ATW)  Appleton International Airport; Asheville (AVL)  Asheville Regional Airport; Atlantic City (ACY)  Atlantic City International Airport; Austin (AUS)  AustinBergstrom International Airport; Bangor (BGR)  Bangor International Airport; Belleville / St. Louis (BLV)  MidAmerica St. Louis Airport; Bellingham (BLI)  Bellingham International Airport; Billings (BIL)  Billings Logan International Airport; Bismarck (BIS)  Bismarck Municipal Airport; Bloomington (BMI)  Central Illinois Regional Airport; Boise (BOI)  Boise Airport; Boston (BOS)  Logan International Airport; Bozeman (BZN)  Bozeman Yellowstone International Airport; Bristol (TRI)  Tri-Cities Regional Airport; Burbank (BUR)  Hollywood Burbank Airport; Cedar Rapids (CID)  Eastern Iowa Airport; Charleston (CHS)  Charleston International Airport; Charlotte (USA)  Concord Regional Airport; Chattanooga (CHA)  Chattanooga Metropolitan Airport; Chicago (MDW)  Midway International Airport; Chicago / Rockford (RFD)  Chicago Rockford International Airport; Cincinnati (CVG)  Cincinnati/Northern Kentucky International Airport; Clarksburg (CKB)  North Central West Virginia Airport; Colorado Springs (COS)  Colorado Springs Airport; Columbia (COU)  Columbia Regional Airport; Columbia (CAE)  Columbia Metropolitan Airport; Columbus (LCK)  Rickenbacker International Airport; Dayton (DAY)  Dayton International Airport; Denver (DEN)  Denver International Airport; Des Moines (DSM)  Des Moines International Airport; Destin / Fort Walton Beach (VPS)  DestinFort Walton Beach Airport; Elmira (ELM)  Elmira/Corning Regional Airport; Eugene (EUG)  Eugene Airport; Evansville (EVV)  Evansville Regional Airport; Fargo (FAR)  Hector International Airport; Fayetteville (XNA)  Northwest Arkansas Regional Airport; Flint (FNT)  Bishop International Airport; Fort Lauderdale (FLL)  Fort LauderdaleHollywood International Airport; Fort Myers (RSW)  Southwest Florida International Airport; Fort Wayne (FWA)  Fort Wayne International Airport; Fresno (FAT)  Fresno Yosemite International Airport; Grand Forks (GFK)  Grand Forks International Airport; Grand Island (GRI)  Central Nebraska Regional Airport; Grand Rapids (GRR)  Gerald R. Ford International Airport; Great Falls (GTF)  Great Falls International Airport; Greensboro (GSO)  Piedmont Triad International Airport; Greenville (GSP)  GreenvilleSpartanburg International Airport; Gulf Shores (GUF)  Jack Edwards Airport; Hagerstown (HGR)  Hagerstown Regional Airport; Harrisburg (MDT)  Harrisburg International Airport; Houston (HOU)  William P. Hobby Airport; Huntington (HTS)  Tri-State Airport; Huntsville (HSV)  Huntsville International Airport; Idaho Falls (IDA)  Idaho Falls Regional Airport; Indianapolis (IND)  Indianapolis International Airport; Jacksonville (JAX)  Jacksonville International Airport; Kalispell (FCA)  Glacier Park International Airport; Kansas City (MCI)  Kansas City International Airport; Key West (EYW)  Key West International Airport; Knoxville (TYS)  McGhee Tyson Airport; La Crosse (LSE)  La Crosse Regional Airport; Laredo (LRD)  Laredo International Airport; Las Vegas (LAS)  Harry Reid International Airport; Lexington (LEX)  Blue Grass Airport; Little Rock (LIT)  Clinton National Airport; Louisville (SDF)  Louisville International Airport; McAllen (MFE)  McAllen Miller International Airport; Medford (MFR)  Rogue Valley InternationalMedford Airport; Melbourne / Orlando (MLB)  Melbourne Orlando International Airport; Memphis (MEM)  Memphis International Airport; Minneapolis / St. Paul (MSP)  MinneapolisSaint Paul International Airport; Minot (MOT)  Minot International Airport; Missoula (MSO)  Missoula International Airport; Moline (MLI)  Quad Cities International Airport; Monterey (MRY)  Monterey Regional Airport; Myrtle Beach (MYR)  Myrtle Beach International Airport; Nashville (BNA)  Nashville International Airport; New Orleans (MSY)  Louis Armstrong New Orleans International Airport; Newark (EWR)  Newark Liberty International Airport; Newburgh (SWF)  Stewart International Airport; Niagara Falls (IAG)  Niagara Falls International Airport; Norfolk (ORF)  Norfolk International Airport; Oakland (OAK)  Oakland San Francisco Bay Airport; Oklahoma City (OKC)  Will Rogers World Airport; Omaha (OMA)  Eppley Airfield; Orange County/Santa Ana (SNA)  John Wayne Airport; Orlando (MCO)  Orlando International Airport; Orlando / Sanford (SFB)  Orlando Sanford International Airport; Owensboro (OWB)  OwensboroDaviess County Regional Airport; Palm Springs (PSP)  Palm Springs International Airport; Pasco (PSC)  Tri-Cities Airport; Peoria (PIA)  General Wayne A. Downing Peoria International Airport; Philadelphia (PHL)  Philadelphia International Airport; Phoenix (PHX)  Phoenix Sky Harbor International Airport; Phoenix / Mesa (AZA)  PhoenixMesa Gateway Airport; Pittsburgh (PIT)  Pittsburgh International Airport; Plattsburgh (PBG)  Plattsburgh International Airport; Portland (PDX)  Portland International Airport; Portsmouth (PSM)  Portsmouth International Airport at Pease; Providence (PVD)  T. F. Green Airport; Provo (PVU)  Provo Municipal Airport; Punta Gorda (PGD)  Punta Gorda Airport; Rapid City (RAP)  Rapid City Regional Airport; Richmond (RIC)  Richmond International Airport; Roanoke (ROA)  RoanokeBlacksburg Regional Airport; Rochester (ROC)  Greater Rochester International Airport; Santa Maria (SMX)  Santa Maria Public Airport; Sarasota (SRQ)  SarasotaBradenton International Airport; Savannah (SAV)  Savannah/Hilton Head International Airport; Shreveport (SHV)  Shreveport Regional Airport; Sioux Falls (FSD)  Sioux Falls Regional Airport; South Bend (SBN)  South Bend International Airport; Spokane (GEG)  Spokane International Airport; Springfield (SPI)  Abraham Lincoln Capital Airport; Springfield (SGF)  SpringfieldBranson National Airport; St. Cloud (STC)  St. Cloud Regional Airport; St. Petersburg (PIE)  St. PeteClearwater International Airport; Stockton (SCK)  Stockton Metropolitan Airport; Syracuse (SYR)  Syracuse Hancock International Airport; Toledo (TOL)  Toledo Express Airport; Traverse City (TVC)  Cherry Capital Airport; Trenton (TTN)  TrentonMercer Airport; Tulsa (TUL)  Tulsa International Airport; Washington D.C. / Northern Virginia (IAD)  Dulles International Airport; West Palm Beach (PBI)  Palm Beach International Airport; Wichita (ICT)  Wichita Dwight D. Eisenhower National Airport,,Allways Rewards,,,January 1997 ( 1997-01 ); June 1998 ( 1998-06 ),Allentown ; Appleton ; Asheville ; Bellingham (ends November 2026) ; Cincinnati ; Destin/Fort Walton Beach ; Des Moines ; Flint ; Fort Lauderdale ; Grand Rapids ; Indianapolis ; Knoxville ; Las Vegas ; Nashville ; Orlando/Sanford ; Phoenix/Mesa ; Pittsburgh ; Provo ; Punta Gorda ; Sarasota ; Savannah (ends November 2026) ; St. Petersburg/Clearwater,,,,,https://en.wikipedia.org/wiki/Allegiant_Air
