Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Air France,F-GMZE,Airbus A321 (321-111),544,Update,Parked since 10/2021
Air France,F-GZCN,Airbus A330 (330-203),584,Update,Parked since 10/2021
Air France,F-GZCO,Airbus A330 (330-203),657,Update,Parked since 10/2021
Air France,F-HTYJ,Airbus A350 (350-941),500,Update,Back in service 10/2021
Air France,F-GSPI,Boeing 777 (777-228ER),29008 (258),Update,Back in service 10/2021
Air France,F-GSPU,Boeing 777 (777-228ER),32309 (383),Update,Back in service 11/2021
Air France,F-GSQD,Boeing 777 (777-328ER),32726 (490),Update,Back in service 10/2021
Air France,F-GZNO,Boeing 777 (777-328ER),38665 (1007),Update,Back in service 10/2021
Air France,F-GZNL,Boeing 777 (777-328ER),40063 (1001),Update,Parked since 10/2021
Air France,F-GZNU,Boeing 777 (777-328ER),61701 (1393),Update,Back in service 10/2021
Air France,F-HZUB,Airbus A220 (220-371),55139,New,Delivery 09/11/2021
Air France,F-HZUC,Airbus A220 (220-371),55140,New,Delivery 06/11/2021
Air Georgian,C-GZGA,Beech 1900D (),UE306,Delete,To Panorama Foxed Wings as C-GZGA 21/09/2021
Air Hamburg,D-AVOS,Embraer 135/145 (135BJ),1165,Update,Parked since 09/2021
Air Hamburg,D-AHOI,Embraer 135/145 (135BJ),1171,Update,Back in service 11/2021
Air Hamburg,D-AWIN,Embraer 135/145 (135EJ),1231,Update,Parked since 09/2021
Air Incheon,HL8503,Boeing 737 NG / Max (737-85P),28535 (480),New,Delivery 22/10/2021  Ex Corendon Air TC-TJN
Air India,VT-EDC,Airbus A320 (320-214),4201,Update,Parked since 10/2021
Air India,VT-PPA,Airbus A321 (321-211),3130,Update,Parked since 10/2021
Air India,VT-PPT,Airbus A321 (321-211),4078,Update,Parked since 09/2021
Air India,VT-ALP,Boeing 777 (777-337ER),36314 (804),Update,Parked since 10/2021
Air India,VT-ALQ,Boeing 777 (777-337ER),36315 (809),Update,Back in service 10/2021
Air New Zealand,ZK-NHE,Airbus A320 (320-271N),10569,New,Delivery 06/11/2021
Air New Zealand,ZK-NHF,Airbus A320 (320-271N),10589,New,Delivery 30/10/2021
Air Nostrum,EC-NCD,ATR 42/72 (72-600),1059,Update,Back in service 11/2021
Air Peace,5N-BYH,Embraer 190/195 (195-E2),20044,Update,Back in service 11/2021
Air Senegal,YR-AMD,Boeing 737 (737-530),25271 (2117),New,Delivery 28/10/2021  Ex Blue Air YR-AMD
Air Serbia,YU-APJ,Airbus A319 (319-132),1159,Update,Parked since 10/2021
Air Transat,C-GEZX,Airbus A321 (321-211),7237,Update,Back in service 11/2021
Air Transat,C-GUFR,Airbus A330 (330-243),251,Update,Back in service 11/2021
Air Transat,C-GUBT,Airbus A330 (330-243),732,Update,Back in service 11/2021
Air Transat,C-GTSR,Airbus A330 (330-243),966,Update,Back in service 10/2021
Air Transport International N762CX,N257AZ,Boeing 767 (767-323ER),29605 (748),New,Delivery 01/12/2021  Ex American Airlines N398AN
Air Urga,UR-ELJ,Saab 340 (340B),259,Update,Parked since 10/2021
Air Urga,UR-ELZ,Saab 340 (340B),359,Update,Parked since 09/2021
Air Wisconsin,N411ZW,Canadair RJ (CRJ-200ER),7569,Update,Parked since 10/2021
Air Wisconsin,N427ZW,Canadair RJ (CRJ-200ER),7685,Update,Back in service 11/2021
Air Wisconsin,N439AW,Canadair RJ (CRJ-200ER),7753,Update,Back in service 11/2021
Air X Charter,9H-LFC,Airbus A340 (340-642),440,Delete,To Air Atlanta Icelandic as TF-LFC 03/11/2021
Air X Charter,9H-YOU,Canadair RJ (CRJ-200),8085,Update,Parked since 10/2021
Air41 Airways,9A-SHO,Airbus A320 (320-214),3840,New,Delivery 19/11/2021  Ex Air Cairo SU-BSN
AirAsia,9M-AQB,Airbus A320 (320-216),4458,Update,Back in service 10/2021
AirAsia,9M-AQM,Airbus A320 (320-216),5149,Update,Back in service 10/2021
AirAsia,9M-AGT,Airbus A320 (320-216),8022,Update,Back in service 11/2021
AirAsia,9M-RAL,Airbus A320 (320-251N),8707,Update,Back in service 11/2021
AirAsia,9M-RAV,Airbus A320 (320-216),8746,New,Delivery 04/11/2021  Ex AirAsia Japan JA03DJ
AirAsia,9M-RAP,Airbus A320 (320-251N),8874,Update,Back in service 11/2021
AirAsia,9M-RAQ,Airbus A320 (320-251N),8991,Update,Back in service 10/2021
AirAsia India,VT-BKK,Airbus A320 (320-214),4314,Update,Parked since 10/2021
AirAsia India,VT-SXR,Airbus A320 (320-214),4562,Update,Parked since 10/2021
AirAsia Japan,JA03DJ,Airbus A320 (320-216),8746,Delete,To AirAsia as 9M-RAV 04/11/2021
AirBlue,AP-EDA,Airbus A320 (320-214),3974,Update,Stored 01/2021
Airbus Industrie,F-WNEO,Airbus A320 (320-271N),6101,Update,Back in service 11/2021
Airbus Industrie,F-GXLH,Airbus A330 (330-743L),1853,Update,Parked since 10/2021
Airhub Airlines,9H-GTS,Airbus A320 (320-232),4384,New,Delivery 29/10/2021
Airhub Airlines,9H-ZMK,Airbus A340 (340-313X),668,New,Delivery 22/10/2021
Airlink South Africa,ZS-YAS,Embraer 190/195 (190IGW),218,Update,Correct registration
Alaska Airlines,N635VA,Airbus A320 (320-214),3398,Update,Parked since 10/2021
Alaska Airlines,N765AS,Boeing 737 (737-4Q8C),25102 (2350),Delete,To Aviation Horizons as P4-JAG 29/10/2021
Alaska Airlines,N307AS,Boeing 737 NG / Max (737-990),30015 (838),Update,Back in service 10/2021
Alaska Airlines,N924AK,Boeing 737 NG / Max (737-9MAX) 43333 (8131),New,Delivery 02/11/2021,
Alexandria Airlines,SX-ACP,Airbus A321 (321-231),1015,Delete,To Olympus Airways as SX-ACP 02/11/2021
Alitalia,EI-IMP,Airbus A319 (319-111),4859,Delete,To Bul Air as LZ-MAA 17/11/2021
Alitalia,EI-DTD,Airbus A320 (320-216),3846,Update,Stored 11/2021
All Nippon Airways,JA01VA,Airbus A320 (320-216),5844,Update,Stored 11/2021
All Nippon Airways,JA03VA,Airbus A320 (320-216),5926,Update,Parked since 10/2021
All Nippon Airways,JA147A,Airbus A321 (321-272N),10773,New,Delivery 17/11/2021
All Nippon Airways,JA383A,Airbus A380 (380-841),266,Update,Parked since 10/2021
All Nippon Airways,JA925A,Boeing 787 (787-9),61526 (1056),Update,Parked since 10/2021
All Nippon Airways,JA936A,Boeing 787 (787-9),66523 (1094),Update,Parked since 10/2021
Allegiant Air,N327NV,Airbus A319 (319-111),2556,Update,Parked since 10/2021
Allegiant Air,N326NV,Airbus A319 (319-111),2586,Update,Back in service 11/2021
Allegiant Air,N298NV,Airbus A320 (320-214),2800,New,Delivery 15/09/2021
Allegiant Air,N289NV,Airbus A320 (320-214),4574,New,Delivery 18/10/2021
Allegiant Air,N203NV,Airbus A320 (320-214),5384,New,Delivery 13/11/2021  Ex Peach Aviation JA806P
Allegiant Air,N205NV,Airbus A320 (320-214),5724,New,Delivery 11/11/2021  Ex Peach Aviation JA810P
Alliance Airlines,VH-FKA,Fokker 70/100 (F28-0100),11345,Update,Back in service 11/2021
Aloha Air Cargo,N301KH,Boeing 737 (737-330F),27904 (2691),Update,Back in service 11/2021
Amazon Prime Air,N967AZ,ATR 42/72 (72-212AF),714,On order,Delivery 09/11/2021  Ex Silver Airways N967AZ
Amazon Prime Air,N929AZ,ATR 42/72 (72-212A),727,On order,Delivery 09/11/2021  Ex Silver Airways N929AZ
Amazon Prime Air,N919AZ,ATR 42/72 (72-212AF),853,New,Delivery 19/10/2021
Amazon Prime Air,EI-AZB,Boeing 737 NG / Max (737-8ASSF)29925 (588),New,Delivery 23/10/2021  Ex ASL Airlines Ireland EI-AZB,
American Airlines,N601AW,Airbus A320 (320-232),1935,Update,Parked since 10/2021
American Airlines,N649AW,Airbus A320 (320-232),803,Update,Parked since 10/2021
American Airlines,N652AW,Airbus A320 (320-232),953,Update,Parked since 10/2021
American Airlines,N439AN,Airbus A321 (321-253NX),10623,New,Delivery 02/11/2021
American Airlines,N539UW,Airbus A321 (321-231),4082,Update,Back in service 11/2021
American Airlines,N540UW,Airbus A321 (321-231),4107,Update,Back in service 11/2021
American Airlines,N542UW,Airbus A321 (321-231),4134,Update,Back in service 11/2021
American Airlines,N154AA,Airbus A321 (321-231),6928,Update,Parked since 10/2021
American Airlines,N817NN,Boeing 737 NG / Max (737-823),29558 (3107),Update,Parked since 10/2021
American Airlines,N398AN,Boeing 767 (767-323ER),29605 (748),Delete,To Air Transport International as N257AZ 01/12/2021
American Airlines,N349AN,Boeing 767 (767-323ER),33088 (913),Delete,To DHL International Aviation as A9C-DHY 01/11/2021
American Airlines,N788AN,Boeing 777 (777-223ER),30011 (283),Update,Parked since 10/2021
American Airlines,N791AN,Boeing 777 (777-223ER),30254 (289),Update,Back in service 10/2021
American Airlines,N796AN,Boeing 777 (777-223ER),30796 (316),Update,Back in service 11/2021
American Airlines,N813AN,Boeing 787 (787-8),40631 (387),Update,Parked since 10/2021
Ameriflight,N201YW,Embraer 120 Brasilia (120RT),201,Update,Back in service 11/2021
Amerijet International,N373CM,Boeing 767 (767-338ERBDSF),24929 (343),Update,Back in service 10/2021
AMK Aircraft Ltd,M-AAMK,Boeing 737 NG / Max (737-8MAX BBJ),63431 (7819),Update,Parked since 09/2021
AnadoluJet,TC-JHA,Boeing 737 NG / Max (737-8F2),35740 (2673),New,Delivery 06/03/2021  Ex THY Turkish Airlines TC-JHA
Anda Air,UR-COU,Douglas MD-80/90 (MD-83),49662 (1429),Update,Parked since 10/2021
ARAMCO,N801XA,Boeing 737 NG / Max (737-8AL),61781 (6353),Update,Parked since 10/2021
ARAMCO,N805XA,Boeing 737 NG / Max (737-8AL),61785 (6604),Update,Parked since 10/2021
Ariana Afghan Airlines,YA-PID,Boeing 737 (737-4Y0),26085 (2468),Update,Parked since 08/2021
Armenia Airways,EK-73792,Boeing 737 NG / Max (737-8FH),35092 (2160),New,Delivery 05/11/2021  Ex Georgian Airways 4L-TGC
Asiana Airlines,HL7415,Boeing 747 (747-48EBDSF),25777 (946),Update,Back in service 10/2021
ASL Airlines Belgium,OE-IXC,Boeing 737 NG / Max (737-8ASBCF),29940 (1265),New,Delivery 03/11/2021 Converted to freighter
ASL Airlines France,F-GZTX,Boeing 737 (737-4Y0SF),25180 (2201),Update,Back in service 11/2021
ASL Airlines France,F-GZTB,Boeing 737 (737-33VQC),29336 (3102),Update,Parked since 10/2021
ASL Airlines Hungary,HA-FAZ,Boeing 737 (737-476SF),24446 (2569),Delete,To ASL Airlines Ireland as EI-STC 22/10/2021
ASL Airlines Ireland,EI-HEC,Airbus A330 (330-322P2F),231,Update,Back in service 10/2021
ASL Airlines Ireland,EI-FXC,ATR 42/72 (42-300F),310,Update,Back in service 11/2021
ASL Airlines Ireland,EI-SOP,ATR 42/72 (72-212AF),583,Update,Parked since 10/2021
ASL Airlines Ireland,EI-STC,Boeing 737 (737-476SF),24446 (2569),New,Delivery 22/10/2021  Ex ASL Airlines Hungary HA-FAZ
ASL Airlines Ireland,EI-AZB,Boeing 737 NG / Max (737-8ASSF)29925 (588),Delete,To Amazon Prime Air as EI-AZB 23/10/2021,
Atlas Air,N465MC,Boeing 747 (747-446),24784 (798),Update,Parked since 10/2021
Atlas Air,N487MC,Boeing 747 (747-45EFSCD),30609 (1309),New,Delivery 06/01/2021  Ex El Al Israel Airlines N487MC
Atlas Air,N650GT,Boeing 767 (767-231BDSF),22566 (29),Delete,To ABX Air as N650GT 02/10/2021
Aura Airlines,EC-NOZ,Airbus A320 (320-232),4113,Delete,To Surinam Airways as EC-NOZ 12/11/2021
Austrian Airlines,OE-LXD,Airbus A320 (320-216),3515,Update,Back in service 10/2021
Austrian Airlines,OE-LZF,Airbus A320 (320-214),5841,Update,Parked since 09/2021
Austrian Airlines,OE-LAW,Boeing 767 (767-3Z9ER),26417 (448),Delete,Stored 11/201 - To be scrapped
Avcon Jet,OE-IBK,Embraer 135/145 (135BJ),1110,Update,Parked since 10/2021
Avianca,N691AV,Airbus A319 (319-115),3691,Update,Back in service 11/2021
Avianca,N422AV,Airbus A319 (319-115LR),4200,Update,Back in service 11/2021
Avianca,N695AV,Airbus A319 (319-132),6099,Update,Back in service 10/2021
Avianca,N951AV,Airbus A320 (320-214),3574,New,Delivery 18/11/2021
Avianca,N955AV,Airbus A320 (320-214),3835,On order,Delivery 09/11/2021  Ex Aeroflot VQ-BBC
Avianca,N956AV,Airbus A320 (320-214),6050,New,Delivery 05/11/2021  Ex Azul Linhas Aereas PR-AJE
Avianca,N957AV,Airbus A320 (320-214),6057,New,Delivery 05/11/2021  Ex Avianca Brasil PR-ONX
Avianca,N742AV,Airbus A320 (320-214),6692,Update,Parked since 10/2021
Avianca,HK-5273,Airbus A320 (320-214),8519,Update,Back in service 11/2021
Avianca,N725AV,Airbus A321 (321-231),6219,Delete,To VivaAeroBus as XA-VBV 01/12/2021
Avianca,N975AV,Airbus A330 (330-243),1224,Update,Back in service 11/2021
Avianca Brasil,PR-ONX,Airbus A320 (320-214),6057,Delete,To Avianca as N957AV 05/11/2021
Avianca El Salvador,N685TA,Airbus A320 (320-233),5068,Update,Back in service 11/2021
Avianca El Salvador,N692AV,Airbus A321 (321-231),5936,Update,Parked since 09/2021
Avianca Express,HK-5040,ATR 42/72 (72-600),1151,Update,Back in service 11/2021
Aviation Horizons,P4-JAG,Boeing 737 (737-4Q8C),25102 (2350),On order,Delivery 29/10/2021  Ex Alaska Airlines N765AS
Avion Express,LY-TKT,Airbus A319 (319-112),1102,Update,Stored 10/2021
Avion Express,LY-VEC,Airbus A321 (321-211),3267,Update,Parked since 09/2021
Avion Express Malta,9H-AMU,Airbus A320 (320-232),4174,New,Delivery 18/11/2021  Ex Wizz Air HA-LPZ
Azul Linhas Aereas,PR-AJE,Airbus A320 (320-214),6050,Delete,To Avianca as N956AV 05/11/2021
Azul Linhas Aereas,PR-AQN,ATR 42/72 (72-600),1115,Update,Back in service 10/2021
Azur Air,VQ-BKF,Boeing 757 (757-2Q8),26268 (590),Update,Back in service 11/2021
Azur Air Ukraine,UR-AZN,Boeing 757 (757-3CQ),32241 (960),New,Delivery 17/10/2021 Lsd From Bcc
BA CityFlyer,G-LCAG,Embraer 190/195 (190SR),560,Update,Parked since 09/2021
BA CityFlyer,G-LCAH,Embraer 190/195 (190SR),564,Update,Back in service 11/2021
Badr Airlines,C5-BDC,Boeing 737 (737-55S),28475 (3096),Update,Back in service 11/2021
Badr Airlines,4L-MWA,Boeing 737 NG / Max (737-8AL),35073 (2197),Delete,To MyWay Airlines as 4L-MWA 04/11/2021
Bahrain Air Force,A9C-KAS,BAe 146 / Avro RJ (Bae Avro RJ100),3380 (380),New,Delivery 30/10/2021
Bamboo Airways,VN-A586,Airbus A320 (320-232),2934,Update,Back in service 11/2021
Bamboo Airways,VN-A583,Airbus A320 (320-232),3902,Update,Back in service 10/2021
Bamboo Airways,VN-A591,Airbus A321 (321-251N),8312,Update,Back in service 11/2021
Bamboo Airways,VN-A819,Boeing 787 (787-9),62736 (936),Update,Back in service 10/2021
Bangkok Airways,HS-PPN,Airbus A319 (319-132),2362,Update,Back in service 10/2021
Bangkok Airways,HS-PGU,Airbus A320 (320-232),2254,Update,Back in service 11/2021
Bangkok Airways,HS-PGW,Airbus A320 (320-232),2509,Update,Back in service 11/2021
Bangkok Airways,HS-PZE,ATR 42/72 (72-600),1303,Update,Back in service 10/2021
Bangkok Airways,HS-PZH,ATR 42/72 (72-600),1377,Update,Back in service 11/2021
Batik Air,PK-LAF,Airbus A320 (320-214),6164,Update,Back in service 11/2021
Batik Air,PK-LAP,Airbus A320 (320-214),6697,Update,Stored 06/2021
Batik Air,PK-LUV,Airbus A320 (320-214),7673,Update,Back in service 11/2021
Batik Air,PK-LZY,Boeing 737 NG / Max (737-8GP),38309 (5375),Update,Back in service 10/2021
Batik Air,PK-LDH,Boeing 737 NG / Max (737-8GP),39826 (5122),Update,Back in service 10/2021
Batik Air Malaysia,9M-LND,Boeing 737 NG / Max (737-8GP),38316 (6159),Update,Returned to lessor 10/2021
Belavia,EW-555PO,Embraer 190/195 (195-E2),20042,Update,Stored 10/2021
Belavia,EW-563PO,Embraer 190/195 (195-E2),20049,Update,Stored 10/2021
Bering Air,N148SK,Beech 1900D (1900D),UE148,Update,Parked since 10/2021
Berkut Air,UP-A2002,Airbus A320 (320-251NACJ),8638,Update,Parked since 10/2021
Berkut Air,UP-A2101,Airbus A321 (321-231CJ),5538,Update,Back in service 11/2021
Berry Aviation,N428MS,Dash 8 (DHC-8 201),428,Update,Parked since 10/2021
Bighorn Airways,N990BH,Dash 8 (DHC-8 106),265,Update,Parked since 10/2021
Biman Bangladesh,S2-ADE,Airbus A310 (310-325),698,Update,Scrapped 08/2008
Binter Canarias,EC-NJK,ATR 42/72 (72-600),1635,Update,Parked since 10/2021
Binter Canarias,EC-LFA,ATR 42/72 (72-212A),902,Update,Back in service 11/2021
Blue Air,YR-AMD,Boeing 737 (737-530),25271 (2117),Delete,To Air Senegal as YR-AMD 28/10/2021
Blue Air,YR-BMS,Boeing 737 NG / Max (737-8Q8),30702 (1953),Update,Parked since 10/2021
Blue Air,YR-BMT,Boeing 737 NG / Max (737-808),34710 (2144),Update,Parked since 10/2021
Blue Bird Airways,9H-NOA,Boeing 737 (737-33A),27457 (2756),Update,Parked since 10/2021
Blue Bird Airways,9H-AJW,Boeing 737 (737-3U3),28733 (2969),Update,Parked since 10/2021
Blue Islands,G-ISLH,ATR 42/72 (42-300),173,Update,Parked since 10/2021
Blue Panorama Airlines,9H-FSJ,Boeing 737 NG / Max (737-86N),29888,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,9H-FRA,Boeing 737 NG / Max (737-85F),30007,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,9H-GAW,Boeing 737 NG / Max (737-8Z0),30072,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,9H-GAX,Boeing 737 NG / Max (737-8Z0),30073,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,EI-GIM,Boeing 737 NG / Max (737-86Q),30289,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,9H-CRI,Boeing 737 NG / Max (737-85F),30567,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,I-LCFC,Boeing 737 NG / Max (737-86N),35210,Update,Suspended operations on 27 oct 21
Blue Panorama Airlines,I-BPAD,Boeing 767 (767-3X2ER),26260,Update,Suspended operations on 27 oct 21
Blue Square Aviation,9H-BGK,Canadair RJ (CRJ-200),8092,Update,Parked since 09/2021
Boeing,N835BA,Boeing 737 NG / Max (737-7BCBBJ)30572 (491),Update,Parked since 10/2021,
Boeing,N779XY,Boeing 777 (777-9),65799 (1581),Update,Parked since 10/2021
British Airways,G-EUPG,Airbus A319 (319-131),1222,Update,Back in service 11/2021
British Airways,G-EUPK,Airbus A319 (319-131),1236,Update,Back in service 11/2021
British Airways,G-EUPL,Airbus A319 (319-131),1239,Update,Parked since 09/2021
British Airways,G-EUPR,Airbus A319 (319-131),1329,Update,Parked since 09/2021
British Airways,G-EUPS,Airbus A319 (319-131),1338,Update,Back in service 11/2021
British Airways,G-EUPT,Airbus A319 (319-131),1380,Update,Parked since 09/2021
British Airways,G-EUPU,Airbus A319 (319-131),1384,Update,Back in service 11/2021
British Airways,G-EUPW,Airbus A319 (319-131),1440,Update,Parked since 09/2021
British Airways,G-EUOF,Airbus A319 (319-131),1590,Update,Back in service 10/2021
British Airways,G-DBCA,Airbus A319 (319-131),2098,Update,Back in service 11/2021
British Airways,G-DBCF,Airbus A319 (319-131),2466,Update,Back in service 11/2021
British Airways,G-DBCJ,Airbus A319 (319-131),2981,Update,Back in service 10/2021
British Airways,G-TTNP,Airbus A320 (320-251N),10548,New,Delivery 10/11/2021
British Airways,G-GATM,Airbus A320 (320-233),1892,Update,Parked since 10/2021
British Airways,G-EUUM,Airbus A320 (320-232),1907,Update,Parked since 09/2021
British Airways,G-EUYC,Airbus A320 (320-232),3721,Update,Parked since 09/2021
British Airways,G-XLEF,Airbus A380 (380-841),151,Update,Back in service 11/2021
British Airways,G-XLEG,Airbus A380 (380-841),161,Update,Back in service 11/2021
British Airways,G-VIIJ,Boeing 777 (777-236ER),27492 (111),Update,Back in service 10/2021
British Airways,G-YMMG,Boeing 777 (777-236ER),30308 (301),Update,Parked since 10/2021
British Airways,G-YMML,Boeing 777 (777-236ER),30313 (334),Update,Parked since 10/2021
British Airways,G-ZBJB,Boeing 787 (787-8),38610 (111),Update,Back in service 11/2021
Brunei Gvmt,V8-OAS,Boeing 787 (787-8BBJ),44572 (325),Update,Back in service 11/2021
Bul Air,LZ-MAA,Airbus A319 (319-111),4859,New,Delivery 17/11/2021  Ex Alitalia EI-IMP
Bulgaria Air,LZ-FBC,Airbus A320 (320-214),2540,Update,Back in service 11/2021
Bulgaria Air,LZ-BRU,BAe 146 / Avro RJ (Bae Avro RJ70)1258 (258),New,Delivery 19/10/2021  Ex Bulgaria Air LZ-TIM,
Bulgaria Air,LZ-TIM,BAe 146 / Avro RJ (Bae Avro RJ70)1258 (258),Delete,To Bulgaria Air as LZ-BRU 19/10/2021,
Bulgaria Air,LZ-SOF,Embraer 190/195 (190AR),492,Update,Back in service 11/2021
Cactus Jack Airlines,N713TS,Embraer 190/195 (190ECJ),632,Update,Parked since 10/2021
Camair Co,TJ-QDF,Dash 8 (DHC-8 402),4319,New,Delivery 04/11/2021
Canadian North,C-GZCN,Boeing 737 (737-36N),28594 (3107),Update,Back in service 11/2021
Canadian North,C-GCNW,Boeing 737 (737-36Q),28760 (2989),Update,Back in service 10/2021
Capital Airlines Beijing,B-1691,Airbus A320 (320-232),6580,Update,Parked since 09/2021
Capital Airlines Beijing,B-8551,Airbus A321 (321-231),7191,Update,Back in service 10/2021
Caribbean Airlines,9Y-CAL,Boeing 737 NG / Max (737-8MAX) 43385 (7947),New,Delivery 17/11/2021,
Caribbean Coast Guard,PH-CGA,Dash 8 (DHC-8 102A),275,Update,Parked since 10/2021
Carpatair,YR-ABA,Airbus A319 (319-111),3041,New,Delivery 09/11/2021
Cathay Dragon,B-LBF,Airbus A330 (330-343E),1545,Delete,To Cathay Pacific as B-LBF 24/10/2021
Cathay Dragon,B-LBG,Airbus A330 (330-343E),1557,Delete,To Cathay Pacific as B-LBG 04/11/2021
Cathay Dragon,B-LBH,Airbus A330 (330-343E),1567,Delete,To Cathay Pacific as B-LBH 13/11/2021
Cathay Pacific,B-LAZ,Airbus A330 (330-343X),1387,Update,Back in service 09/2021
Cathay Pacific,B-LBF,Airbus A330 (330-343E),1545,New,Delivery 24/10/2021  Ex Cathay Dragon B-LBF
Cathay Pacific,B-LBG,Airbus A330 (330-343E),1557,New,Delivery 04/11/2021  Ex Cathay Dragon B-LBG
Cathay Pacific,B-LBH,Airbus A330 (330-343E),1567,New,Delivery 13/11/2021  Ex Cathay Dragon B-LBH
Cathay Pacific,B-LRT,Airbus A350 (350-941),137,Update,Back in service 11/2021
Cathay Pacific,B-HNW,Boeing 777 (777-31H),32697 (396),Update,Back in service 11/2021
Cathay Pacific,B-HNQ,Boeing 777 (777-367),34244 (567),Update,Back in service 10/2021
Cayman Airways,VP-CKZ,Boeing 737 (737-36E),27626 (2792),Update,Returned to lessor 10/2021
Cayman Airways,VP-CIY,Boeing 737 NG / Max (737-8MAX) 43308 (7785),Update,Back in service 10/2021,
Cebu Pacific Airlines,RP-C4102,Airbus A320 (320-214),6418,Update,Back in service 11/2021
Cebu Pacific Airlines,RP-C7285,ATR 42/72 (72-600),1443,Update,Back in service 10/2021
Cebu Pacific Airlines,RP-C7286,ATR 42/72 (72-600),1453,Update,Back in service 10/2021
Cebu Pacific Airlines,RP-C7287,ATR 42/72 (72-600),1468,Update,Back in service 10/2021
Cebu Pacific Airlines,RP-C7289,ATR 42/72 (72-600),1499,Update,Back in service 11/2021
Cebu Pacific Airlines,RP-C7251,ATR 42/72 (72-212A),784,Update,Stored 10/2021
Central Mountain Air,C-GJBU,Dash 8 (DHC-8 314),531,New,Delivery 01/11/2021  Ex CommutAir N857CA
Chalair Aviation,F-HBCS,ATR 42/72 (42-320),333,Delete,To Zimex Aviation as OE-HZB 13/10/2021
Chalair Aviation,F-HAPL,ATR 42/72 (72-212A),654,Update,Parked since 09/2021
Champion Air,N500DE,Embraer 135/145 (145EP),84,Update,Parked since 10/2021
Champion Air LLC,N138DE,Embraer 135/145 (145LR),129,Update,Parked since 10/2021
China Airlines,B-18658,Boeing 737 NG / Max (737-8SH),41335 (5560),Update,Back in service 11/2021
China Eastern Airlines,B-325S,Airbus A320 (320-251N),10262,New,Delivery 14/10/2021
China Eastern Airlines,B-327E,Airbus A320 (320-251N),10378,New,Delivery 17/11/2021
China Eastern Airlines,B-325V,Airbus A320 (320-251N),10398,New,Delivery 18/11/2021
China Eastern Airlines,B-326Z,Airbus A320 (320-251N),10491,New,Delivery 27/10/2021
China Eastern Airlines,B-9970,Airbus A320 (320-214),5759,Update,Parked since 09/2021
China Eastern Airlines,B-1678,Airbus A320 (320-232),6578,Update,Parked since 09/2021
China Eastern Airlines,B-1029,Airbus A320 (320-214),7869,Update,Parked since 09/2021
China Express Airlines,B-324E,Airbus A320 (320-271N),10383,Update,Back in service 11/2021
China Postal Airlines,B-2825,Boeing 757 (757-21BPCF),25890 (585),Update,Back in service 11/2021
China Southern Airlines,B-6786,Airbus A320 (320-232),4782,Update,Parked since 09/2021
China Southern Airlines,B-9912,Airbus A320 (320-232),5561,Update,Parked since 09/2021
China Southern Airlines,B-9916,Airbus A320 (320-232),5564,Update,Parked since 09/2021
China Southern Airlines,B-1828,Airbus A320 (320-232),6078,Update,Parked since 09/2021
China Southern Airlines,B-1829,Airbus A320 (320-232),6106,Update,Parked since 09/2021
China Southern Airlines,B-2287,Airbus A321 (321-231),2080,Update,Parked since 09/2021
China Southern Airlines,B-6267,Airbus A321 (321-231),2741,Update,Parked since 09/2021
China Southern Airlines,B-6580,Airbus A321 (321-231),3951,Update,Parked since 09/2021
China Southern Airlines,B-6660,Airbus A321 (321-231),4299,Update,Parked since 09/2021
China Southern Airlines,B-6686,Airbus A321 (321-231),4387,Update,Parked since 09/2021
China Southern Airlines,B-6979,Airbus A321 (321-231),5655,Update,Parked since 09/2021
China Southern Airlines,B-8997,Airbus A321 (321-211),8054,Update,Back in service 10/2021
China Southern Airlines,B-303X,Airbus A321 (321-271N),8610,Update,Parked since 09/2021
China Southern Airlines,B-2473,Boeing 747 (747-41BFSCD),32803 (1306),Update,Parked since 09/2021
Chinese Government,B-2479,Boeing 747 (747-89L),41193 (1510),Update,Parked since 09/2021
CityJet,EI-FPA,Canadair RJ (CRJ-900LR),15398,Update,Back in service 10/2021
Colorful Guizhou Airlines,B-326E,Airbus A320 (320-251N),10612,New,Delivery 03/11/2021
Comair,ZS-ZWP,Boeing 737 NG / Max (737-86N),28612 (455),Update,Parked since 10/2021
Comair,ZS-ZWM,Boeing 737 NG / Max (737-8KN),40248 (3768),Update,Parked since 09/2021
COMCO,N610G,Boeing 757 (757-22L),29304 (870),Update,Parked since 10/2021
Comlux Aviation Malta,9H-AVK,Airbus A320 (320-251NACJ),9455,New,Delivery 25/10/2021
CommutAir,N857CA,Dash 8 (DHC-8 314),531,Delete,To Central Mountain Air as C-GJBU 01/11/2021
CommutAir,N13132,Embraer 135/145 (145XR),708,Update,Stored 10/2021
CommutAir,N11137,Embraer 135/145 (145XR),721,Update,Parked since 10/2021
CommutAir,N14143,Embraer 135/145 (145XR),739,Update,Parked since 10/2021
CommutAir,N21144,Embraer 135/145 (145XR),741,Update,Back in service 11/2021
CommutAir,N11165,Embraer 135/145 (145XR),819,Update,Back in service 11/2021
