Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
United Airlines,N663UA,Boeing 767 (767-322ER),27160 (514),Update,Back in service 11/2021
United Airlines,N76065,Boeing 767 (767-424ER),29460 (876),Update,Back in service 10/2021
United Airlines,N773UA,Boeing 777 (777-222),26929 (4),Update,Back in service 11/2021
United Airlines,N771UA,Boeing 777 (777-222),26932 (3),Update,Parked since 10/2021
United Airlines,N776UA,Boeing 777 (777-222),26937 (27),Update,Parked since 10/2021
United Airlines,N786UA,Boeing 777 (777-222ER),26938 (52),Update,Parked since 10/2021
United Airlines,N779UA,Boeing 777 (777-222),26941 (35),Update,Back in service 11/2021
United Airlines,N788UA,Boeing 777 (777-222ER),26942 (82),Update,Back in service 10/2021
United Airlines,N780UA,Boeing 777 (777-222),26944 (36),Update,Parked since 10/2021
United Airlines,N793UA,Boeing 777 (777-222ER),26946 (97),Update,Back in service 11/2021
United Airlines,N794UA,Boeing 777 (777-222ER),26953 (105),Update,Parked since 10/2021
United Airlines,N218UA,Boeing 777 (777-222ER),30222 (317),Update,Parked since 10/2021
United Airlines,N223UA,Boeing 777 (777-222ER),30224 (357),Update,Back in service 11/2021
United Airlines,N224UA,Boeing 777 (777-222ER),30225 (375),Update,Parked since 10/2021
United Airlines,N226UA,Boeing 777 (777-222ER),30226 (380),Update,Parked since 10/2021
United Airlines,N225UA,Boeing 777 (777-222ER),30554 (377),Update,Parked since 10/2021
United Airlines,N228UA,Boeing 777 (777-222ER),30556 (384),Update,Back in service 11/2021
United Airlines,N229UA,Boeing 777 (777-222ER),30557 (388),Update,Back in service 11/2021
United Airlines,N36962,Boeing 787 (787-9),35880 (365),Update,Back in service 10/2021
United Airlines,N19951,Boeing 787 (787-9),36402 (223),Update,Back in service 10/2021
United Airlines,N17963,Boeing 787 (787-9),37812 (390),Update,Parked since 10/2021
Unknown,N660MW,Beech 1900D (1900D),UE215,Update,Parked since 10/2021
Unknown,N650RJ,Embraer 135/145 (135EJ),1174,Update,Back in service 11/2021
UPS,N146UP,Airbus A300 (300F4-622R),829,Update,Back in service 10/2021
UPS,N630UP,Boeing 747 (747-8F),65777 (1567),New,Delivery 26/10/2021
UPS,N259UP,Douglas MD-11 (MD-11 F),48417 (467),Update,Back in service 10/2021
US Air Force,87-0117,Douglas DC-10 (DC10-KCA),48303 (427),Update,Back in service 11/2021
US Department of State,N568AW,Dash 8 (DHC-8 315),568,Update,Parked since 09/2021
UTair,VP-BYL,Boeing 737 (737-524),28920 (3048),Update,Back in service 10/2021
