Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
AlMasria Universal Airlines,UJ,LMU,SU,8,2,ALMASRIA,https://images.planefinder.net/api/logo/LMU/w/256,http://en.wikipedia.org/wiki/AlMasria_Universal_Airlines
Aloha Air Cargo,KH,AAH,N,4,5,ALOHA,https://images.planefinder.net/api/logo/AAH/w/256,http://en.wikipedia.org/wiki/Aloha_Air_Cargo
AlpAvia,AL,APP,S5,0,0,ALPAVIA,https://images.planefinder.net/api/logo/APP/w/256,https://alpavia.si/
Alphaland Aviation,-,BIC,RP,2,0,BALESIN,https://images.planefinder.net/api/logo/BIC/w/256,
Alpine Air Express,5A,AIP,N,64,3,ALPINE AIR,https://images.planefinder.net/api/logo/AIP/w/256,https://en.m.wikipedia.org/wiki/Alpine_Air_Express
Alrosa Air Company,6R,DRU,RA,37,10,MIRNY,https://images.planefinder.net/api/logo/DRU/w/256,https://en.wikipedia.org/wiki/ALROSA_(airline)
ALS Ltd,K4,ALW,5Y,0,3,,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/ALS_%E2%80%93_Aircraft_Leasing_Services
Alsie Express,6I,MMD,OY,19,7,,https://images.planefinder.net/api/logo/MMD/w/256,https://en.wikipedia.org/wiki/Alsie_Express
Amakusa Airlines,MZ,AHX,JA,1,4,AMAKUSA AIR,https://images.planefinder.net/api/logo/AHX/w/256,http://en.wikipedia.org/wiki/Amakusa_Airlines
Amapola Flyg,HP,APF,SE,6,10,AMAPOLA,https://images.planefinder.net/api/logo/APF/w/256,https://en.wikipedia.org/wiki/Amapola_Flyg
Amaszonas,Z8,AZN,CP,0,0,AMASZONAS,https://images.planefinder.net/api/logo/AZN/w/256,http://en.wikipedia.org/wiki/L%C3%ADnea_A%C3%A9rea_Amaszonas
Amazon Air,-,MZN,N,95,0,AMAZON,https://images.planefinder.net/api/logo/MZN/w/256,https://en.wikipedia.org/wiki/Amazon_Air
AMC Airlines,YJ,AMV,SU,0,0,AMER AIR,https://images.planefinder.net/api/logo/AMV/w/256,http://en.wikipedia.org/wiki/AMC_Airlines
Amelia,8R,AIA,S5,0,2,VEGA,https://images.planefinder.net/api/logo/AIA/w/256,https://www.planespotters.net/airline/Amelia-International
Amelia International,NL,AEH,S5,0,0,VEGA,https://images.planefinder.net/api/logo/AEH/w/256,https://fr.wikipedia.org/wiki/Amelia_International
American Airlines,AA,AAL,N,1031,422,AMERICAN,https://images.planefinder.net/api/logo/AAL/w/256,http://en.wikipedia.org/wiki/American_Airlines
Ameriflight,A8,AMF,N,126,4,AMFLIGHT,https://images.planefinder.net/api/logo/AMF/w/256,http://en.wikipedia.org/wiki/Ameriflight
Amerijet International,M6,AJT,N,12,65,AMERIJET,https://images.planefinder.net/api/logo/AJT/w/256,http://en.wikipedia.org/wiki/Amerijet_International
ANA Wings,EH,AKX,JA,26,0,ALFA WING,https://images.planefinder.net/api/logo/AKX/w/256,http://en.wikipedia.org/wiki/ANA_Wings
Andes Líneas Aéreas,OY,ANS,LV,4,0,ANDES,https://images.planefinder.net/api/logo/ANS/w/256,https://en.wikipedia.org/wiki/Andes_L%C3%ADneas_A%C3%A9reas
Angara Airlines,2G,AGU,RA,23,0,SARMA,https://images.planefinder.net/api/logo/AGU/w/256,http://en.wikipedia.org/wiki/Angara_Airlines
Anguilla Air Services,Q3,AXL,D2,0,5,,https://images.planefinder.net/api/logo/AXL/w/256,http://www.anguillaairservices.com/
Animawings,A2,AWG,YR,7,36,ANIMA WINGS,https://images.planefinder.net/api/logo/AWG/w/256,https://en.wikipedia.org/wiki/Animawings
Antonov Airlines,-,ADB,UR,7,0,ANTONOV BUREAU,https://images.planefinder.net/api/logo/ADB/w/256,http://en.wikipedia.org/wiki/Antonov_Airlines
APG Airlines,GP,RIV,F,1,2,RIVIERA,https://images.planefinder.net/api/logo/RIV/w/256,https://en.wikipedia.org/wiki/APG_Airlines
Arajet,DM,DWI,,16,28,DOMINICAN,https://images.planefinder.net/api/logo/DWI/w/256,https://en.wikipedia.org/wiki/Arajet
Arcus-Air,ZE,AZE,D,4,27,ARCUS AIR,https://images.planefinder.net/api/logo/AZE/w/256,https://en.wikipedia.org/wiki/Arcus-Air
Ariana Afghan Airlines,FG,AFG,YA,7,1,ARIANA,https://images.planefinder.net/api/logo/AFG/w/256,http://en.wikipedia.org/wiki/Ariana_Afghan_Airlines
Arik Air,W3,ARA,5N,6,7,ARIK AIR,https://images.planefinder.net/api/logo/ARA/w/256,http://en.wikipedia.org/wiki/Arik_Air
Arkia Israeli Airlines,IZ,AIZ,4X,8,41,ARKIA,https://images.planefinder.net/api/logo/AIZ/w/256,http://en.wikipedia.org/wiki/Arkia_Israel_Airlines
Armenia Aircompany,RM,NGT,EK,0,0,NIKA,https://images.planefinder.net/api/logo/NGT/w/256,https://en.wikipedia.org/wiki/Armenia_Aircompany
Army Air Corps,-,AAC,G,93,0,ARMYAIR,https://images.planefinder.net/api/logo/AAC/w/256,https://en.wikipedia.org/wiki/Army_Air_Corps_(United_Kingdom)
Aruba Airlines,AG,ARU,P4,1,0,ARUBA,https://images.planefinder.net/api/logo/ARU/w/256,http://en.wikipedia.org/wiki/Aruba_Airlines
Ascend Airways,YD,SYG,G,0,0,SYNERGY,https://images.planefinder.net/api/logo/SYG/w/256,https://ascendairways.aero/
Asiana Airlines,OZ,AAR,HL,68,291,ASIANA,https://images.planefinder.net/api/logo/AAR/w/256,http://en.wikipedia.org/wiki/Asiana_Airlines
ASKY Airlines,KP,SKK,,10,30,ASKY AIRLINE,https://images.planefinder.net/api/logo/SKK/w/256,http://en.wikipedia.org/wiki/ASKY_Airlines
ASL Airlines Belgium,3V,TAY,OO,34,3,QUALITY,https://images.planefinder.net/api/logo/TAY/w/256,https://en.wikipedia.org/wiki/ASL_Airlines_Belgium
ASL Airlines France,5O,FPO,F,19,16,FRENCH POST,https://images.planefinder.net/api/logo/FPO/w/256,https://en.wikipedia.org/wiki/ASL_Airlines_France
ASL Airlines Ireland,5H,ABR,EI,24,0,CONTRACT,https://images.planefinder.net/api/logo/ABR/w/256,https://en.wikipedia.org/wiki/ASL_Airlines_Ireland
ASTA Linhas Aéreas,0A,SUL,PP/PT,2,0,ASTA,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/ASTA_Linhas_A%C3%A9reas
Astral Aviation,8V,ACP,5Y,3,28,ASTRAL CARGO,https://images.planefinder.net/api/logo/ACP/w/256,http://en.wikipedia.org/wiki/Astral_Aviation
ATA Airlines,I3,TBZ,EP,21,0,ATALAR,https://images.planefinder.net/api/logo/TBZ/w/256,http://en.wikipedia.org/wiki/Ata_Airlines
Atlantic Airways,RC,FLI,OY,6,13,FAROELINE,https://images.planefinder.net/api/logo/FLI/w/256,http://en.wikipedia.org/wiki/Atlantic_Airways
Atlas Air,5Y,GTI,N,70,12,GIANT,https://images.planefinder.net/api/logo/GTI/w/256,http://en.wikipedia.org/wiki/Atlas_Air
Atlas Air Service AG,-,ATL,D,9,0,AIR BREMEN,https://images.planefinder.net/api/logo/ATL/w/256,https://de.wikipedia.org/wiki/Atlas_Air_Service
ATRAN,V8,VAS,RA,8,5,ATRAN,https://images.planefinder.net/api/logo/VAS/w/256,http://en.wikipedia.org/wiki/ATRAN
Aura Airlines,-,GWR,N,0,0,,https://images.planefinder.net/api/logo/GWR/w/256,http://www.flyaura.com/
Auric Air Services,UI,AUK,5H,22,9,AURIC SERVICES,https://images.planefinder.net/api/logo/AUK/w/256,http://en.wikipedia.org/wiki/Auric_Air
Aurigny Air Services,GR,AUR,G,9,15,AYLINE,https://images.planefinder.net/api/logo/AUR/w/256,http://en.wikipedia.org/wiki/Aurigny_Air_Services
Aurora,HZ,SHU,RA,19,38,AURORA,https://images.planefinder.net/api/logo/SHU/w/256,http://en.wikipedia.org/wiki/Aurora_(airline)
Austral Líneas Aéreas,AU,AUT,LV,0,0,AUSTRAL,https://images.planefinder.net/api/logo/AUT/w/256,http://en.wikipedia.org/wiki/Austral_L%C3%ADneas_A%C3%A9reas
Austrian Airlines,OS,AUA,OE,66,138,AUSTRIAN,https://images.planefinder.net/api/logo/AUA/w/256,http://en.wikipedia.org/wiki/Austrian_Airlines
Avanti Air,-,ATV,D,2,0,AVANTI AIR,https://images.planefinder.net/api/logo/ATV/w/256,https://en.wikipedia.org/wiki/Avanti_Air
Avelo Airlines,XP,VXP,N,16,32,CASINO EXPRESS,https://images.planefinder.net/api/logo/VXP/w/256,https://en.wikipedia.org/wiki/Avelo_Airlines
Avia Traffic Company,YK,AVJ,EX,6,8,ATOMIC,https://images.planefinder.net/api/logo/AVJ/w/256,http://en.wikipedia.org/wiki/Avia_Traffic_Company
Aviacon Zitotrans,ZR,AZS,RA,5,0,ZITOTRANS,https://images.planefinder.net/api/logo/AZS/w/256,http://en.wikipedia.org/wiki/Aviacon_Zitotrans
Avianca,AV,AVA,HK,151,83,AVIANCA,https://images.planefinder.net/api/logo/AVA/w/256,http://en.wikipedia.org/wiki/Avianca
Avianca Cargo,QT,TPA,HK,8,20,TAMPA,https://images.planefinder.net/api/logo/TPA/w/256,https://en.wikipedia.org/wiki/Avianca_Cargo
Avianca Costa Rica,LR,LRC,TI,0,0,LACSA,https://images.planefinder.net/api/logo/LRC/w/256,http://en.wikipedia.org/wiki/Avianca_Costa_Rica
Avianca Ecuador,2K,GLG,HC,0,0,AEROGAL,https://images.planefinder.net/api/logo/GLG/w/256,http://en.wikipedia.org/wiki/Avianca_Ecuador
Avianca El Salvador,TA,TAI,YS,2,0,TACA,https://images.planefinder.net/api/logo/TAI/w/256,https://en.wikipedia.org/wiki/Avianca_El_Salvador
Avianca Guatemala,GU,GUG,TG,0,0,AVIATECA,https://images.planefinder.net/api/logo/GUG/w/256,https://en.wikipedia.org/wiki/Aviateca
Avianca Honduras,WC,ISV,,0,0,ISLENA,https://images.planefinder.net/api/logo/ISV/w/256,http://en.wikipedia.org/wiki/Isle%C3%B1a_Airlines
Aviastar,MV,VIT,PK,0,0,AVIASTAR,https://images.planefinder.net/api/logo/VIT/w/256,http://en.wikipedia.org/wiki/Aviastar_(Indonesia)
Aviastar-TU,4B,TUP,RA,10,4,TUPOLEVAIR,https://images.planefinder.net/api/logo/TUP/w/256,http://en.wikipedia.org/wiki/Aviastar-TU
Avion Express,X9,NVD,LY,13,0,NORDVIND,https://images.planefinder.net/api/logo/NVD/w/256,http://en.wikipedia.org/wiki/Avion_Express
Avion Express Malta,4X,MLH,9H,29,0,SOUTH WIND,https://images.planefinder.net/api/logo/MLH/w/256,https://avionexpress.aero/
Avior Airlines,9V,ROI,YV,10,11,AVIOR,https://images.planefinder.net/api/logo/ROI/w/256,http://en.wikipedia.org/wiki/Avior_Airlines
Azerbaijan Airlines,J2,AHY,4K,36,53,AZAL,https://images.planefinder.net/api/logo/AHY/w/256,http://en.wikipedia.org/wiki/Azerbaijan_Airlines
Azimuth,A4,AZO,RA,19,49,IGAVIA,https://images.planefinder.net/api/logo/AZO/w/256,https://en.wikipedia.org/wiki/Azimuth_(airline)
Azman Air,ZQ,AZM,5N,0,0,AZMAN,https://images.planefinder.net/api/logo/AZM/w/256,https://en.wikipedia.org/wiki/Azman_Air
Azores Airlines,S4,RZO,CS,8,17,AZORES,https://images.planefinder.net/api/logo/RZO/w/256,https://en.wikipedia.org/wiki/Azores_Airlines
Aztec Airways,AJ,AZY,N,10,12,,https://images.planefinder.net/api/logo/AZY/w/256,http://www.aztecairways.com/
Azul,AD,AZU,PP/PT,181,138,AZUL,https://images.planefinder.net/api/logo/AZU/w/256,http://en.wikipedia.org/wiki/Azul_Brazilian_Airlines
Azul Conecta,2F,ACN,PP/PT,22,0,AZUL CONECTA,https://images.planefinder.net/api/logo/ACN/w/256,https://en.wikipedia.org/wiki/Azul_Conecta
Azur Air,ZF,AZV,RA,23,23,AZUR AIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Azur_Air
Azur Air Ukraine,QU,UTN,RA,0,10,UT UKRAINE,https://images.planefinder.net/api/logo/UTN/w/256,https://en.wikipedia.org/wiki/Azur_Air_Ukraine
BA CityFlyer,CJ,CFE,G,20,0,FLYER,https://images.planefinder.net/api/logo/CFE/w/256,http://en.wikipedia.org/wiki/BA_CityFlyer
BA Euroflyer,BA,EFW,G,25,211,GRIFFIN,https://images.planefinder.net/api/logo/EFW/w/256,https://en.wikipedia.org/wiki/British_Airways
Badr Airlines,J4,BDR,ST,8,14,BADR AIR,https://images.planefinder.net/api/logo/BDR/w/256,http://en.wikipedia.org/wiki/Badr_Airlines
BAE Systems,-,BAE,G,8,0,,https://images.planefinder.net/api/logo/BAE/w/256,https://en.wikipedia.org/wiki/BAE_Systems
Bahamasair,UP,BHS,C6,10,22,BAHAMAS,https://images.planefinder.net/api/logo/BHS/w/256,http://en.wikipedia.org/wiki/Bahamasair
Balkan Holidays Air,1B,BGH,LZ,4,0,BALKAN HOLIDAYS,https://images.planefinder.net/api/logo/BGH/w/256,http://en.wikipedia.org/wiki/BH_Air
Bamboo Airways,QH,BAV,VN,5,10,BAMBOO,https://images.planefinder.net/api/logo/BAV/w/256,https://en.wikipedia.org/wiki/Bamboo_Airways
Bangkok Airways,PG,BKP,HS,22,17,BANGKOK AIR,https://images.planefinder.net/api/logo/BKP/w/256,http://en.wikipedia.org/wiki/Bangkok_Airways
Bankair,B4,BKA,N,1,10,,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://www.bankair.com/
Bassaka Air,5B,BSX,XU,1,0,BASSAKA,https://images.planefinder.net/api/logo/BSX/w/256,https://en.wikipedia.org/wiki/Bassaka_Air
Batik Air,ID,BTK,PK,65,48,BATIK,https://images.planefinder.net/api/logo/BTK/w/256,http://en.wikipedia.org/wiki/Batik_Air
Batik Air Malaysia,OD,MXD,9M,46,74,MALINDO,https://images.planefinder.net/api/logo/MXD/w/256,http://en.wikipedia.org/wiki/Malindo_Air
BBN Airlines,B5,BBT,TC,9,0,BIG BLUE,https://images.planefinder.net/api/logo/BBT/w/256,https://www.planespotters.net/airline/BBN-Airlines
Bearskin Airlines,JV,BLS,C,8,15,BEARSKIN,https://images.planefinder.net/api/logo/BLS/w/256,http://en.wikipedia.org/wiki/Bearskin_Airlines
Bees Airlines,E8,BES,YR,0,0,FLOWER BEE,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://beesromania.aero/en
Beijing Capital Airlines,JD,CBJ,B,78,86,CAPITAL JET,https://images.planefinder.net/api/logo/CBJ/w/256,http://en.wikipedia.org/wiki/Beijing_Capital_Airlines
Belavia Belarusian Airlines,B2,BRU,EW,17,45,BELARUS AVIA,https://images.planefinder.net/api/logo/BRU/w/256,http://en.wikipedia.org/wiki/Belavia
Belgian Air Component,-,BAF,OO,109,0,,https://images.planefinder.net/api/logo/BAF/w/256,http://en.wikipedia.org/wiki/Belgian_Air_Component
Bemidji Airlines,CH,BMJ,N,45,3,BEMIDJI,https://images.planefinder.net/api/logo/BMJ/w/256,http://en.wikipedia.org/wiki/Bemidji_Airlines
beOnd,B4,BYD,A6,1,10,BEOND,https://images.planefinder.net/api/logo/BYD/w/256,https://en.wikipedia.org/wiki/BeOnd
Bering Air,8E,BRG,N,39,29,BERING AIR,https://images.planefinder.net/api/logo/BRG/w/256,http://en.wikipedia.org/wiki/Bering_Air
Berjaya Air,J8,BVT,9M,0,3,BERJAYA,https://images.planefinder.net/api/logo/BVT/w/256,http://en.wikipedia.org/wiki/Berjaya_Air
BermudAir,2T,BMA,VQ,4,9,GOSLING,https://images.planefinder.net/api/logo/BMA/w/256,https://en.wikipedia.org/wiki/BermudAir
Berniq Airways,NB,BNL,5A,7,8,MANARA,https://images.planefinder.net/api/logo/BNL/w/256,https://centreforaviation.com/data/profiles/airlines/berniq-airways-nb
Bhutan Airlines,B3,BTN,A5,2,5,BHUTAN AIR,https://images.planefinder.net/api/logo/BTN/w/256,https://en.wikipedia.org/wiki/Bhutan_Airlines
Biman Bangladesh Airlines,BG,BBC,S2,19,31,BANGLADESH,https://images.planefinder.net/api/logo/BBC/w/256,http://en.wikipedia.org/wiki/Biman_Bangladesh_Airlines
Bin Air,-,BID,D,0,0,BINAIR,https://images.planefinder.net/api/logo/BID/w/256,https://en.wikipedia.org/wiki/Bin_Air
Binter Cabo Verde,-,NTB,EC,0,0,BINTER,https://images.planefinder.net/api/logo/NTB/w/256,http://en.wikipedia.org/wiki/Binter_Canarias
Binter Canarias,NT,IBB,EC,0,41,BINTER,https://images.planefinder.net/api/logo/IBB/w/256,http://en.wikipedia.org/wiki/Binter_Canarias
Bismillah Airlines,BH,BML,S2,0,0,BISMILLAH,https://images.planefinder.net/api/logo/BML/w/256,https://en.wikipedia.org/wiki/Bismillah_Airlines
Blue Air,0B,BLA,YR,0,0,BLUE MESSENGER,https://images.planefinder.net/api/logo/BLA/w/256,http://en.wikipedia.org/wiki/Blue_Air
Blue Dart Aviation,BZ,BDA,VT,8,18,BLUE DART,https://images.planefinder.net/api/logo/BDA/w/256,http://en.wikipedia.org/wiki/Blue_Dart_Aviation
Blue Islands,SI,BCI,G,0,0,BLUE ISLAND,https://images.planefinder.net/api/logo/BCI/w/256,http://en.wikipedia.org/wiki/Blue_Islands
Bluebird Airways,BZ,BBG,SX,4,18,BLUEBIRD,https://images.planefinder.net/api/logo/BBG/w/256,https://en.wikipedia.org/wiki/Bluebird_Airways
Bluebird Aviation,-,BBZ,5Y,0,0,COBRA,https://images.planefinder.net/api/logo/BBZ/w/256,http://en.wikipedia.org/wiki/Bluebird_Aviation
Bluebird Nordic,BO,BBD,TF,0,0,BLUE CARGO,https://images.planefinder.net/api/logo/BBD/w/256,http://en.wikipedia.org/wiki/Bluebird_Cargo
Boeing Company,-,BOE,N,52,0,BOEING,https://images.planefinder.net/api/logo/BOE/w/256,http://en.wikipedia.org/wiki/Boeing
planefinder.net,,,,,,,,
Bombardier,-,BBA,C,87,0,,https://images.planefinder.net/api/logo/BBA/w/256,http://en.wikipedia.org/wiki/Bombardier_Aerospace
Bonza,AB,BNZ,VH,0,0,BONZA,https://images.planefinder.net/api/logo/BNZ/w/256,https://en.wikipedia.org/wiki/Bonza_(airline)
Boutique Air,4B,BTQ,N,14,4,BOUTIQUE,https://images.planefinder.net/api/logo/BTQ/w/256,https://en.wikipedia.org/wiki/Boutique_Air
BRA Braathens Regional Airways,DC,BRX,SE,0,0,BRAATHENS,https://images.planefinder.net/api/logo/BRX/w/256,http://en.wikipedia.org/wiki/Braathens_Regional
Braathens International Airways,TT,BIX,SE,0,0,SUN TRIP,https://images.planefinder.net/api/logo/BIX/w/256,https://en.wikipedia.org/wiki/Braathens_International_Airways
Braathens Regional Airlines,TF,SCW,SE,0,0,SCANWING,https://images.planefinder.net/api/logo/SCW/w/256,https://en.wikipedia.org/wiki/Braathens_Regional_Airlines
Brazilian Air Force,-,BRS,PP/PT,118,0,,https://images.planefinder.net/api/logo/BRS/w/256,http://en.wikipedia.org/wiki/Brazilian_Air_Force
Breeze Airways,MX,MXY,N,65,86,MOXY,https://images.planefinder.net/api/logo/MXY/w/256,https://en.wikipedia.org/wiki/Breeze_Airways
Bristow Group,L9,BTZ,N,0,0,BRISTOW,https://images.planefinder.net/api/logo/BTZ/w/256,http://en.wikipedia.org/wiki/Bristow_Helicopters
Bristow Helicopters,UH,BHL,G,44,8,BRISTOW,https://images.planefinder.net/api/logo/BHL/w/256,http://en.wikipedia.org/wiki/Bristow_Helicopters
British Airways,BA,BAW,G,253,211,SPEEDBIRD,https://images.planefinder.net/api/logo/BAW/w/256,http://en.wikipedia.org/wiki/British_Airways
Brussels Airlines,SN,BEL,OO,46,90,BEELINE,https://images.planefinder.net/api/logo/BEL/w/256,http://en.wikipedia.org/wiki/Brussels_Airlines
Buddha Air,U4,BHA,9N,17,15,BUDDHA AIR,https://images.planefinder.net/api/logo/BHA/w/256,http://en.wikipedia.org/wiki/Buddha_Air
Buffalo Airways,J4,BFL,C,42,14,BUFFALO,https://images.planefinder.net/api/logo/BFL/w/256,http://en.wikipedia.org/wiki/Buffalo_Airways
Bul Air,LB,BVL,LZ,0,0,BULGARY,https://images.planefinder.net/api/logo/BVL/w/256,https://www.planespotters.net/airline/Bul-Air
Bulgaria Air,FB,LZB,LZ,16,34,FLYING BULGARIA,https://images.planefinder.net/api/logo/LZB/w/256,http://en.wikipedia.org/wiki/Bulgaria_Air
Bulgarian Air Force,-,AFB,LZ,29,0,,https://images.planefinder.net/api/logo/AFB/w/256,https://en.wikipedia.org/wiki/Bulgarian_Air_Force
Buraq Air,UZ,BRQ,,4,5,BURAQAIR,https://images.planefinder.net/api/logo/BRQ/w/256,https://en.wikipedia.org/wiki/Buraq_Air
Buzz,RR,RYS,SP,87,0,MAGIC SUN,https://images.planefinder.net/api/logo/RYS/w/256,https://en.wikipedia.org/wiki/Buzz_(Ryanair)
Cabo Verde Airlines,VR,TCV,D4,0,8,CABOVERDE,https://images.planefinder.net/api/logo/TCV/w/256,https://en.wikipedia.org/wiki/Cabo_Verde_Airlines
Cabo Verde Express,-,CVE,D4,0,0,KABEX,https://images.planefinder.net/api/logo/CVE/w/256,https://en.wikipedia.org/wiki/Cabo_Verde_Express
Caicos Express Airways,9Q,CXE,VQ-T,6,7,CAICOS,https://images.planefinder.net/api/logo/CXE/w/256,https://en.wikipedia.org/wiki/Caicos_Express_Airways
Cairo Aviation,-,CCE,SU,0,0,,https://images.planefinder.net/api/logo/CCE/w/256,https://en.wikipedia.org/wiki/Cairo_Aviation
CAL Cargo Air Lines,5C,ICL,4X,0,13,CAL,https://images.planefinder.net/api/logo/ICL/w/256,http://en.wikipedia.org/wiki/CAL_Cargo_Air_Lines
Calafia Airlines,A7,CFV,XA,6,2,CALAFIA,https://images.planefinder.net/api/logo/CFV/w/256,https://en.wikipedia.org/wiki/Calafia_Airlines
Calm Air,MO,CAV,C,15,14,CALM AIR,https://images.planefinder.net/api/logo/CAV/w/256,http://en.wikipedia.org/wiki/Calm_Air
Camair-Co,QC,CRC,TJ,3,10,CAMAIRCO,https://images.planefinder.net/api/logo/CRC/w/256,http://en.wikipedia.org/wiki/Camair-Co
Cambodia Airways,KR,KME,XU,6,16,GIANT IBIS,https://images.planefinder.net/api/logo/KME/w/256,https://en.wikipedia.org/wiki/Cambodia_Airways
Cambodia Angkor Air,K6,KHV,XU,0,18,CAMBODIA,https://images.planefinder.net/api/logo/KHV/w/256,http://en.wikipedia.org/wiki/Cambodia_Angkor_Air
Canada Jetlines,-,CJL,C,0,0,JETBUS,https://images.planefinder.net/api/logo/CJL/w/256,https://en.wikipedia.org/wiki/Canada_Jetlines
Canadian North,5T,MPE,C,34,28,EMPRESS,https://images.planefinder.net/api/logo/MPE/w/256,http://en.wikipedia.org/wiki/Canadian_North
Canarias Airlines,NT,RSC,EC,0,41,CANAIR,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://es.wikipedia.org/wiki/Canarias_Airlines
Canaryfly,PM,CNF,EC,5,8,CANARY,https://images.planefinder.net/api/logo/CNF/w/256,https://en.wikipedia.org/wiki/Canaryfly
Cape Air,9K,KAP,N,99,34,CAIR,https://images.planefinder.net/api/logo/KAP/w/256,http://en.wikipedia.org/wiki/Cape_Air
Cardig Air,8F,CAD,PK,3,3,CARDIG AIR,https://images.planefinder.net/api/logo/CAD/w/256,http://en.wikipedia.org/wiki/Cardig_Air
Cargojet Airways,W8,CJT,C,40,33,CARGOJET,https://images.planefinder.net/api/logo/CJT/w/256,https://en.wikipedia.org/wiki/Cargojet
CargoLogicAir,P3,CLU,G,0,0,FIREBIRD,https://images.planefinder.net/api/logo/CLU/w/256,https://en.wikipedia.org/wiki/CargoLogicAir
Cargolux,CV,CLX,LX,26,284,CARGOLUX,https://images.planefinder.net/api/logo/CLX/w/256,http://en.wikipedia.org/wiki/Cargolux
Cargolux Italia,C8,ICV,LX,4,4,CARGOLUX ITALIA,https://images.planefinder.net/api/logo/ICV/w/256,https://en.wikipedia.org/wiki/Cargolux_Italia
Caribbean Airlines,BW,BWA,9Y,20,25,CARIBBEAN AIRLINES,https://images.planefinder.net/api/logo/BWA/w/256,http://en.wikipedia.org/wiki/Caribbean_Airlines
Carpatair,V3,KRP,YR,4,0,CARPATAIR,https://images.planefinder.net/api/logo/KRP/w/256,http://en.wikipedia.org/wiki/Carpatair
Caspian Airlines,IV,CPN,EP,13,31,CASPIAN,https://images.planefinder.net/api/logo/CPN/w/256,http://en.wikipedia.org/wiki/Caspian_Airlines
Cathay Pacific Airways,CX,CPA,B-H,179,100,CATHAY,https://images.planefinder.net/api/logo/CPA/w/256,http://en.wikipedia.org/wiki/Cathay_Pacific_Airways
CAVOK Air,-,CVK,UR,8,0,CARGOLINE,https://images.planefinder.net/api/logo/CVK/w/256,https://en.wikipedia.org/wiki/CAVOK_Air
Cayman Airways,KX,CAY,VP-C,4,14,CAYMAN,https://images.planefinder.net/api/logo/CAY/w/256,http://en.wikipedia.org/wiki/Cayman_Airways
Cebgo,DG,SRQ,RP,16,24,BLUE JAY,https://images.planefinder.net/api/logo/SRQ/w/256,https://en.wikipedia.org/wiki/Cebgo
Cebu Pacific Air,5J,CEB,RP,80,52,CEBU,https://images.planefinder.net/api/logo/CEB/w/256,http://en.wikipedia.org/wiki/Cebu_Pacific
CEIBA Intercontinental,C2,CEL,-,5,0,CEIBA LINE,https://images.planefinder.net/api/logo/CEL/w/256,http://en.wikipedia.org/wiki/Ceiba_Intercontinental_Airlines
CemAir,5Z,KEM,ZS,25,14,CEMAIR,https://images.planefinder.net/api/logo/KEM/w/256,https://en.wikipedia.org/wiki/CemAir
Central Airlines,I9,HLF,B,10,15,HOMELAND,https://images.planefinder.net/api/logo/HLF/w/256,https://www.planespotters.net/airline/China-Central-Airlines
Central Mountain Air,9M,GLR,C,26,18,GLACIER,https://images.planefinder.net/api/logo/GLR/w/256,http://en.wikipedia.org/wiki/Central_Mountain_Air
Centrum Air,C6,MFX,UK,14,52,,https://images.planefinder.net/api/logo/MFX/w/256,https://www.centrum-air.com/
Chabahar Airlines,-,IRU,EP,0,0,CHABAHAR,https://images.planefinder.net/api/logo/IRU/w/256,https://en.wikipedia.org/wiki/Chabahar_Airlines
Chair Airlines,CS,CSW,HB,4,19,EIGER,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Chair_Airlines
Chairman Aviation,-,CHR,N,0,0,CHAIRMAN,https://images.planefinder.net/api/logo/CHR/w/256,https://www.chairmanaviation.com/
Chalair Aviation,CE,CLG,F,12,11,CHALLAIR,https://images.planefinder.net/api/logo/CLG/w/256,http://en.wikipedia.org/wiki/Chalair_Aviation
Challenge Air Cargo,X6,CHZ,OO,0,0,CARGO ROCK,https://images.planefinder.net/api/logo/CHZ/w/256,https://en.wikipedia.org/wiki/Challenge_Airlines
Challenge Airlines,X7,CHG,OO,0,0,CHALLENGE,https://images.planefinder.net/api/logo/CHG/w/256,https://en.wikipedia.org/wiki/Challenge_Airlines
Cham Wings Airlines,6Q,SAW,YK,0,0,SHAMWING,https://images.planefinder.net/api/logo/SAW/w/256,http://en.wikipedia.org/wiki/Cham_Wings_Airlines
CHC Helikopter Service,-,HKS,N,0,0,HELIBUS,https://images.planefinder.net/api/logo/HKS/w/256,https://en.wikipedia.org/wiki/Noordzee_Helikopters_Vlaanderen
Chengdu Airlines,EU,UEA,B,83,100,UNITED EAGLE,https://images.planefinder.net/api/logo/UEA/w/256,http://en.wikipedia.org/wiki/Chengdu_Airlines
China Air Cargo,-,CHY,B,0,0,,https://images.planefinder.net/api/logo/CHY/w/256,
