Name,IATA Code,ICAO Code,Prefix,Fleet Size,Destinations,Callsign,Logo URL,Wikipedia URL
Air Anka,6K,TAH,TC,3,0,AIR ANKA,https://images.planefinder.net/api/logo/TAH/w/256,https://en.wikipedia.org/wiki/Air_Anka
Air Antilles,3S,GUY,F-O,1,0,GREEN BIRD,https://images.planefinder.net/api/logo/GUY/w/256,https://en.wikipedia.org/wiki/Air_Antilles
Air Arabia,G9,ABY,A6,58,90,ARABIA,https://images.planefinder.net/api/logo/ABY/w/256,http://en.wikipedia.org/wiki/Air_Arabia
Air Arabia Abu Dhabi,3L,ADY,A6,12,32,NAWRAS,https://images.planefinder.net/api/logo/ADY/w/256,https://en.wikipedia.org/wiki/Air_Arabia_Abu_Dhabi
Air Arabia Egypt,E5,RBG,SU,4,16,AIR ARABIA,https://images.planefinder.net/api/logo/RBG/w/256,http://en.wikipedia.org/wiki/Air_Arabia_Egypt
Air Arabia Maroc,3O,MAC,CN,10,36,ARABIA MAROC,https://images.planefinder.net/api/logo/MAC/w/256,http://en.wikipedia.org/wiki/Air_Arabia_Maroc
Air Armenia,QN,ARR,EK,0,20,AIR ARMENIA,https://images.planefinder.net/api/logo/ARR/w/256,http://en.wikipedia.org/wiki/Air_Armenia
Air Astana,KC,KZR,UN,36,39,ASTANALINE,https://images.planefinder.net/api/logo/KZR/w/256,http://en.wikipedia.org/wiki/Air_Astana
Air Astra,2A,AWA,S2,4,5,CAPELLA,https://images.planefinder.net/api/logo/AWA/w/256,https://en.wikipedia.org/wiki/Air_Astra
Air Atlanta Icelandic,CC,ABD,FT,6,1,ATLANTA,https://images.planefinder.net/api/logo/ABD/w/256,http://en.wikipedia.org/wiki/Air_Atlanta_Icelandic
Air Austral,UU,REU,F-O,8,13,REUNION,https://images.planefinder.net/api/logo/REU/w/256,http://en.wikipedia.org/wiki/Air_Austral
Air Belgium,KF,ABB,OO,1,0,AIR BELGIUM,https://images.planefinder.net/api/logo/ABB/w/256,https://en.wikipedia.org/wiki/Air_Belgium
Air Botswana,BP,BOT,A2,4,8,BOTSWANA,https://images.planefinder.net/api/logo/BOT/w/256,http://en.wikipedia.org/wiki/Air_Botswana
Air Bucharest,B1,BUR,YR,0,0,AIR BUCHAREST,https://images.planefinder.net/api/logo/BUR/w/256,http://en.wikipedia.org/wiki/Air_Bucharest
Air Burkina,2J,VBW,XT,2,4,BURKINA,https://images.planefinder.net/api/logo/VBW/w/256,http://en.wikipedia.org/wiki/Air_Burkina
Air Busan,BX,ABL,ZS,21,33,AIR BUSAN,https://images.planefinder.net/api/logo/ABL/w/256,http://en.wikipedia.org/wiki/Air_Busan
Air Cairo,SM,MSC,SU,39,78,AIR CAIRO,https://images.planefinder.net/api/logo/MSC/w/256,http://en.wikipedia.org/wiki/Air_Cairo
Air Calédonie,TY,TPC,F-O,3,6,AIRCAL,https://images.planefinder.net/api/logo/TPC/w/256,http://en.wikipedia.org/wiki/Air_Cal%C3%A9donie
Air Canada,AC,ACA,C,224,283,AIR CANADA,https://images.planefinder.net/api/logo/ACA/w/256,http://en.wikipedia.org/wiki/Air_Canada
Air Canada Rouge,RV,ROU,C,31,0,ROUGE,https://images.planefinder.net/api/logo/ROU/w/256,https://en.wikipedia.org/wiki/Air_Canada_Rouge
Air Caraïbes,TX,FWI,F-O,15,15,FRENCH WEST,https://images.planefinder.net/api/logo/FWI/w/256,http://en.wikipedia.org/wiki/Air_Cara%C3%AFbes
Air Cargo Carriers,2Q,SNC,N,34,19,NIGHT CARGO,https://images.planefinder.net/api/logo/SNC/w/256,http://en.wikipedia.org/wiki/Air_Cargo_Carriers
Air Central,GI,LHA,B,0,19,AIR CANTON,https://images.planefinder.net/api/logo/LHA/w/256,https://en.wikipedia.org/wiki/Longhao_Airlines
Air Century,Y2,CEY,,9,6,CENTURYFLIGHT,https://images.planefinder.net/api/logo/CEY/w/256,https://en.wikipedia.org/wiki/Air_Century
Air Changan,9H,CGN,B,15,46,CHANG AN,https://images.planefinder.net/api/logo/CGN/w/256,https://en.wikipedia.org/wiki/Air_Chang%27an
Air Chathams,3C,CVA,ZK,7,7,CHATHAM,https://images.planefinder.net/api/logo/CVA/w/256,http://en.wikipedia.org/wiki/Air_Chathams
Air China,CA,CCA,B,531,221,AIR CHINA,https://images.planefinder.net/api/logo/CCA/w/256,http://en.wikipedia.org/wiki/Air_China
Air China Cargo,CA,CAO,B,24,221,AIRCHINA FREIGHT,https://images.planefinder.net/api/logo/CAO/w/256,http://en.wikipedia.org/wiki/Air_China_Cargo
Air China Inner Mongolia,CA,CNM,B,0,221,MENGYUAN,https://images.planefinder.net/api/logo/CNM/w/256,https://en.wikipedia.org/wiki/Air_China_Inner_Mongolia
Air Corsica,XK,CCM,F,14,20,CORSICA,https://images.planefinder.net/api/logo/CCM/w/256,http://en.wikipedia.org/wiki/Air_Corsica
Air Côte d'Ivoire,HF,VRE,TU,13,28,COTE DIVOIRE,https://images.planefinder.net/api/logo/VRE/w/256,https://en.wikipedia.org/wiki/Air_C%C3%B4te_d%27Ivoire
Air Creebec,YN,CRQ,C,22,15,CREE,https://images.planefinder.net/api/logo/CRQ/w/256,http://en.wikipedia.org/wiki/Air_Creebec
Air Deccan,DN,DKN,VT,1,23,AIR DECCAN,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Air_Deccan
Air Djibouti,DJ,DJU,J2,1,4,AIR DJIB,https://images.planefinder.net/api/logo/DJU/w/256,https://en.wikipedia.org/wiki/Air_Djibouti
Air Do,HD,ADO,JA,12,11,AIR DO,https://images.planefinder.net/api/logo/ADO/w/256,http://en.wikipedia.org/wiki/Air_Do
Air Dolomiti,EN,DLA,I,28,30,DOLOMITI,https://images.planefinder.net/api/logo/DLA/w/256,http://en.wikipedia.org/wiki/Air_Dolomiti
Air Europa,UX,AEA,EC,52,60,EUROPA,https://images.planefinder.net/api/logo/AEA/w/256,http://en.wikipedia.org/wiki/Air_Europa
Air Europa Express,X5,OVA,EC,8,0,AERONOVA,https://images.planefinder.net/api/logo/OVA/w/256,https://en.wikipedia.org/wiki/Air_Europa_Express
Air Excel,-,XLL,5H,0,0,TINGA TINGA,https://images.planefinder.net/api/logo/XLL/w/256,https://en.wikipedia.org/wiki/Air_Excel
Air Flamenco,F4,WAF,,10,3,FLAMENCO,https://images.planefinder.net/api/logo/WAF/w/256,https://en.wikipedia.org/wiki/Air_Flamenco
Air France,AF,AFR,F,223,196,AIRFRANS,https://images.planefinder.net/api/logo/AFR/w/256,http://en.wikipedia.org/wiki/Air_France
Air France Hop,A5,HOP,F,38,0,AIR HOP,https://images.planefinder.net/api/logo/HOP/w/256,http://en.wikipedia.org/wiki/HOP!
Air Ghana,-,GHN,9G,3,0,AIR GHANA,https://images.planefinder.net/api/logo/GHN/w/256,http://www.airghana.com/
Air Greenland,GL,GRL,OY,31,63,GREENLAND,https://images.planefinder.net/api/logo/GRL/w/256,http://en.wikipedia.org/wiki/Air_Greenland
Air Guilin,GT,CGH,B,9,38,WELKIN,https://images.planefinder.net/api/logo/CGH/w/256,https://en.wikipedia.org/wiki/Air_Guilin
Air Haifa,E2,HFA,4X,6,9,AIR HAIFA,https://images.planefinder.net/api/logo/HFA/w/256,https://en.wikipedia.org/wiki/Air_Haifa
Air Hamburg,-,AHO,D,0,0,AIR HAMBURG,https://images.planefinder.net/api/logo/AHO/w/256,https://en.wikipedia.org/wiki/Air_Hamburg
Air Hong Kong,LD,AHK,B-H,14,15,AIR HONG KONG,https://images.planefinder.net/api/logo/AHK/w/256,http://en.wikipedia.org/wiki/Air_Hong_Kong
Air Horizont,HT,HAT,9H,5,1,SKY RUNNER,https://images.planefinder.net/api/logo/HAT/w/256,https://en.wikipedia.org/wiki/Air_Horizont
Air Iceland Connect,NY,FXI,TF,0,0,FAXI,https://images.planefinder.net/api/logo/FXI/w/256,http://en.wikipedia.org/wiki/Air_Iceland
Air Incheon,KJ,AIH,HL,0,8,AIR INCHEON,https://images.planefinder.net/api/logo/AIH/w/256,https://en.wikipedia.org/wiki/Air_Incheon
Air India,AI,AIC,VT,187,88,AIRINDIA,https://images.planefinder.net/api/logo/AIC/w/256,http://en.wikipedia.org/wiki/Air_India
Air India Express,IX,AXB,VT,105,61,EXPRESSINDIA,https://images.planefinder.net/api/logo/AXB/w/256,http://en.wikipedia.org/wiki/Air_India_Express
Air Inuit,3H,AIE,C,32,20,INUIT,https://images.planefinder.net/api/logo/AIE/w/256,http://en.wikipedia.org/wiki/Air_Inuit
Air Italy,IG,ISS,I,0,0,AIR ITALY,https://images.planefinder.net/api/logo/ISS/w/256,https://en.wikipedia.org/wiki/Air_Italy
Air Japan,NQ,AJX,JA,0,0,AIR JAPAN,https://images.planefinder.net/api/logo/AJX/w/256,http://en.wikipedia.org/wiki/Air_Japan
Air KBZ,K7,KBZ,XY,0,0,JADE AIR,https://images.planefinder.net/api/logo/KBZ/w/256,http://en.wikipedia.org/wiki/Air_KBZ
Air Kiribati,IK,AKL,T3,5,20,KIRIBATI,https://images.planefinder.net/api/logo/AKL/w/256,http://en.wikipedia.org/wiki/Air_Kiribati
Air Koryo,JS,KOR,P,9,4,AIR KORYO,https://images.planefinder.net/api/logo/KOR/w/256,http://en.wikipedia.org/wiki/Air_Koryo
Air Liaison,Q9,LIZ,C,0,8,,https://images.planefinder.net/api/logo/LIZ/w/256,http://www.air-liaison.net/
Air Libya,7Q,TLR,5A,8,9,AIR LIBYA,https://images.planefinder.net/api/logo/TLR/w/256,http://en.wikipedia.org/wiki/Air_Libya
Air Loyauté,-,RLY,F-O,4,0,,https://images.planefinder.net/api/logo/RLY/w/256,https://fr.wikipedia.org/wiki/Air_Loyaut%C3%A9
Air Macau,NX,AMU,B-M,24,31,AIR MACAO,https://images.planefinder.net/api/logo/AMU/w/256,http://en.wikipedia.org/wiki/Air_Macau
Air Madagascar,MD,MDG,5R,3,11,AIR MADAGASCAR,https://images.planefinder.net/api/logo/MDG/w/256,http://en.wikipedia.org/wiki/Air_Madagascar
Air Manus,ZM,MBB,TC,1,0,AIR MANAS,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,https://en.wikipedia.org/wiki/Air_Manas
Air Marshall Islands,CW,MRS,V7,0,0,MARSHALL ISLANDS,https://images.planefinder.net/api/logo/MRS/w/256,http://en.wikipedia.org/wiki/Air_Marshall_Islands
Air Mauritius,MK,MAU,3B,11,14,AIRMAURITIUS,https://images.planefinder.net/api/logo/MAU/w/256,http://en.wikipedia.org/wiki/Air_Mauritius
Air Mediterranean,MV,MAR,SX,3,0,HELLASMED,https://images.planefinder.net/api/logo/MAR/w/256,https://en.wikipedia.org/wiki/Air_Mediterranean
Air Moana,NM,NTR,F-O,4,10,,https://images.planefinder.net/api/logo/NTR/w/256,https://www.airmoana.com/
Air Moldova,9U,MLD,ER,0,0,AIR MOLDOVA,https://images.planefinder.net/api/logo/MLD/w/256,http://en.wikipedia.org/wiki/Air_Moldova
Air Montenegro,4O,MNE,40,3,16,MOUNT EAGLE,https://images.planefinder.net/api/logo/MNE/w/256,https://en.wikipedia.org/wiki/Air_Montenegro
Air New Zealand,NZ,ANZ,ZK,115,49,NEW ZEALAND,https://images.planefinder.net/api/logo/ANZ/w/256,http://en.wikipedia.org/wiki/Air_New_Zealand
Air Niamey,A7,AWN,,0,2,AIR NIAMEY,https://planefinder.net/build/assets/no-airline-icon-DMPRAOBm.svg,http://en.wikipedia.org/wiki/Air_Niamey
Air Niugini,PX,ANG,P2,19,30,NIUGINI,https://images.planefinder.net/api/logo/ANG/w/256,http://en.wikipedia.org/wiki/Air_Niugini
Air North,4N,ANT,C,11,13,AIR NORTH,https://images.planefinder.net/api/logo/ANT/w/256,http://en.wikipedia.org/wiki/Air_North
Air Nostrum,YW,ANE,EC,44,55,AIR NOSTRUM,https://images.planefinder.net/api/logo/ANE/w/256,http://en.wikipedia.org/wiki/Air_Nostrum
Air Panama,7P,PST,HP,7,5,AIR PANAMA,https://images.planefinder.net/api/logo/PST/w/256,http://en.wikipedia.org/wiki/Air_Panama
Air Peace,P4,APK,5N,20,23,PEACE BIRD,https://images.planefinder.net/api/logo/APK/w/256,https://en.wikipedia.org/wiki/Air_Peace
Air Rarotonga,GZ,RAR,ZK,3,3,RORATONGA,https://images.planefinder.net/api/logo/RAR/w/256,http://en.wikipedia.org/wiki/Air_Rarotonga
Air Saint-Pierre,PJ,SPM,F-O,2,5,SAINT PIERRE,https://images.planefinder.net/api/logo/SPM/w/256,http://en.wikipedia.org/wiki/Air_Saint-Pierre
Air Samarkand,9S,UZS,UK,1,8,SAMARKAND,https://images.planefinder.net/api/logo/UZS/w/256,https://en.wikipedia.org/wiki/Air_Samarkand
Air Senegal,HC,SZN,6V,4,17,,https://images.planefinder.net/api/logo/SZN/w/256,https://en.wikipedia.org/wiki/Air_Senegal
Air Seoul,RS,ASV,HL,6,12,AIR SEOUL,https://images.planefinder.net/api/logo/ASV/w/256,https://en.wikipedia.org/wiki/Air_Seoul
Air Serbia,JU,ASL,YU,31,93,AIR SERBIA,https://images.planefinder.net/api/logo/ASL/w/256,http://en.wikipedia.org/wiki/Air_Serbia
