id,name,legal_name,trading_name,iata_code,icao_code,prefix,callsign,fleet_size,destinations_count,logo_url,wikipedia_url,website_url,hubs,alliance,employees,headquarters,founded,status_bucket,country_code,key_personnel,detailed_destinations
4407,Somon Air,NULL,NULL,SZ,SMR,EY,SOMON AIR,8,23,https://images.planefinder.net/api/logo/SMR/w/256,http://en.wikipedia.org/wiki/Somon_Air,www .somonair .com,"Dushanbe International Airport; Dushanbe, Khujand",,,Asia,2007; February 2008,active,SA,Abdulkosim Valiev (CEO),China: Ürümqi (URC) — Ürümqi Tianshan International Airport; Georgia: Tbilisi (TBS) — Tbilisi International Airport; Germany: Munich (MUC) — Munich Airport; India: Delhi (DEL) — Indira Gandhi International Airport; Iran: Tehran (IKA) — Imam Khomeini International Airport; Kazakhstan: Almaty (ALA) — Almaty International Airport; Kyrgyzstan: Bishkek (BSZ) — Manas International Airport; Pakistan: Islamabad (ISB) — Islamabad International Airport; Qatar: Doha (DOH) — Hamad International Airport; Khanty-Mansiysk: Khanty-Mansiysk Airport — Terminated; Krasnodar: Krasnodar International Airport — Terminated; Makhachkala: Uytash Airport — Terminated; Nizhnevartovsk: Nizhnevartovsk Airport — Terminated; Orenburg: Orenburg Tsentralny Airport — Terminated; Tyumen: Roshchino Airport — Terminated; Saudi Arabia: Jeddah (JED) — King Abdulaziz International Airport; Tajikistan: Dushanbe (DYU) — Dushanbe International Airport; Khujand: Khujand Airport — Focus city; Turkey: Istanbul (IST) — Istanbul Airport; United Arab Emirates: Dubai (DXB) — Dubai International Airport
4408,Sonair,NULL,NULL,-,SOR,D2,LUPUS,15,0,https://images.planefinder.net/api/logo/AYY/w/256,https://en.wikipedia.org/wiki/Aeronaves_TSM,www.aeronavestsm.com,Quatro de Fevereiro Airport,,,Asia,10 Oct 79,active,SA,Viktor Peters (CEO); Sergey Ivanovich Sumbayev (General Director); Marwan Traboulsi (CEO); Guillaume Faury (CEO); René Obermann (chairman),
144,Sonangol,NULL,NULL,,,,,,,,,,,,,Other,,active,AO,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
1004,Sonnig,NULL,NULL,,,,,,,,,,,,,Europe,,active,CH,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4674,Sorens Aero,NULL,NULL,,,,,,,,,,,,,Europe,,active,SM,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3674,Sosoliso,NULL,NULL,,,,,,,,,,,,,Africa,,active,NG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4409,Sounds Air,NULL,NULL,S8,SDA,ZK,SOUNDSAIR,9,5,https://images.planefinder.net/api/logo/SDA/w/256,https://en.wikipedia.org/wiki/Sounds_Air,soundsair .com,Wellington Airport,,,Asia,1986,active,SA,Cliff Marchant (Founder),Blenheim (BHE) — Woodbourne Airport; Nelson (NSN) — Nelson Airport; Paraparaumu (PPQ) — Kapiti Coast Airport; Picton (PCN) — Picton Aerodrome; Wellington (WLG) — Wellington International Airport
5455,South African Airlink,NULL,NULL,,,,,,,,,,,,,Africa,,active,ZA,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4410,South African Airways,NULL,NULL,SA,SAA,ZS,SPRINGBOK,18,18,https://images.planefinder.net/api/logo/SAA/w/256,http://en.wikipedia.org/wiki/South_African_Airways,flysaa .com,O. R. Tambo International Airport; Cape Town International Airport,Star Alliance,,Asia,24 July 1929 ( 1929-07-24 ) ; (as Union Airways ),active,SA,Matshela Seshibe (Acting CEO); Lindsay Olitzki (CFO); Sedzani Faith Mudau (Chairwoman),"Sydney: Sydney Airport — Terminated; Gaborone: Sir Seretse Khama International Airport — Seasonal; Selebi-Phikwe: Selebi-Phikwe Airport — Terminated; Democratic Republic of the Congo: Kinshasa (FIH) — N'djili Airport; Munich: Munich Airport — Terminated; Ghana: Accra (ACC) — Accra International Airport; Rome: Rome Fiumicino Airport — Terminated; Ivory Coast: Abidjan (ABJ) — Félix-Houphouët-Boigny International Airport; Lilongwe: Lilongwe International Airport — Terminated; Mauritius: Port Louis (MRU) — Sir Seewoosagur Ramgoolam International Airport; Pointe-Noire: Pointe-Noire Airport — Terminated; Bloemfontein: Bram Fischer International Airport — Terminated; East London: King Phalo Airport — Terminated; George: George Airport — Terminated; Hoedspruit: Hoedspruit Airport — Terminated; Johannesburg: O. R. Tambo International Airport — Hub; Kimberley: Kimberley Airport — Terminated; Margate: Margate Airport — Terminated; Mmabatho: Mahikeng Airport — Terminated; Nelspruit: Nelspruit Airport — Terminated; Phalaborwa: Hendrik Van Eck Airport — Terminated; Pietermaritzburg: Pietermaritzburg Airport — Terminated; Pietersburg: AFB Pietersburg — Terminated; Plettenberg Bay: Plettenberg Bay Airport — Terminated; Richards Bay: Richards Bay Airport — Terminated; Skukuza: Skukuza Airport — Terminated; Sun City: Pilanesberg International Airport — Terminated; Ulundi: Ulundi Airport — Terminated; Umtata: Mthatha Airport — Terminated; Upington: Upington Airport — Terminated; Madrid: Adolfo Suárez Madrid–Barajas Airport — Terminated; Tanzania: Dar es Salaam (DAR) — Julius Nyerere International Airport; Miami: Miami International Airport — Terminated; New York City: John F. Kennedy International Airport — Terminated; Washington, D.C.: Washington Dulles International Airport — Terminated; Ndola: Ndola Airport — Terminated"
113,South Airlines,NULL,NULL,,,,,,,,,,,,,Asia,,active,AM,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
412,South Asian Airlines,NULL,NULL,,,,,,,,,,,,,Asia,,active,BD,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
2247,South Pacific Airlines,NULL,NULL,,,,,,,,,,,,,Other,,active,HK,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3828,South Seas Airways,NULL,NULL,,,,,,,,,,,,,Oceania,,active,NZ,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
4714,South Supreme Airlines,NULL,NULL,,,,,,,,,,,,,Other,,active,SS,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
3952,South West Air,NULL,NULL,,,,,,,,,,,,,Oceania,,active,PG,"Faisal Al-Turki, (CEO, Saudi Arabia); Karim Baky (CEO, Egypt)","Tallinn, Estonia (TLL); Helsinki, Finland (HEL); Riga, Latvia (RIX)"
