Model,Make,Max Range nm,Cruise Speed kts,Capacity,Purchase Price,enhanced_manufacturer,enhanced_model,enhanced_iata_code,enhanced_icao_code,enhanced_type,enhanced_wtc,enhanced_engine_type,enhanced_engine_count,enhanced_thrust_per_engine_kn,enhanced_wingspan_m,enhanced_length_m,enhanced_height_m,enhanced_empty_weight_kg,enhanced_mtow_kg,enhanced_mzfw_kg,enhanced_max_payload_kg,enhanced_typical_c_seats,enhanced_typical_y_seats,enhanced_max_capacity,enhanced_max_range_nm,enhanced_cruise_speed_mach,enhanced_max_speed,enhanced_service_ceiling_ft,enhanced_min_takeoff_length_ft,enhanced_min_landing_length_ft,enhanced_surface_compatibility,enhanced_list_price_usd,enhanced_op_cost_per_hour,enhanced_lease_rate_monthly,enhanced_residual_value_trend,enhanced_carbon_intensity,enhanced_fuel_type,enhanced_noise_chapter,enhanced_saf_compatible,enhanced_production_start,enhanced_production_end,enhanced_total_built,enhanced_mro_availability,enhanced_cargo_volume_m3,enhanced_cockpit_crew,enhanced_exit_limit,enhanced_tail_height,enhanced_wing_area_m2,enhanced_fuselage_width_m,enhanced_cabin_width_m,enhanced_operating_empty_weight_kg,enhanced_fuel_capacity_l,enhanced_ceiling_ft,enhanced_range_nm,enhanced_takeoff_distance_ft,enhanced_powerplant,enhanced_avionics
480B,Enstrom,303,112,3,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F-28F,Enstrom,214,102,2,580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabri G2,Guimbal Helicopters,300,100,1,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Jet,Honda Aircraft,726,422,6,3100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Jet Elite,Honda Aircraft,920,422,5,6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Jet Elite II,Honda Aircraft,1103,419,5,7200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra SP,IAI,2330,460,7,800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-MAX,Kaman,260,100,0,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A109 C,Leonardo Helicopters,219,154,7,925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A109 K2,Leonardo Helicopters,290,152,7,950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A109A,Leonardo Helicopters,270,154,7,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW109 Grand,Leonardo Helicopters,412,155,7,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW109 GrandNew,Leonardo Helicopters,378,155,7,6300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW109 Mk II,Leonardo Helicopters,270,154,7,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW109 Power,Leonardo Helicopters,440,156,7,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW109 Trekker,Leonardo Helicopters,378,155,7,4900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW119 Ke,Leonardo Helicopters,480,140,7,3900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW119 Koala,Leonardo Helicopters,264,136,7,465000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW119 Kx,Leonardo Helicopters,448,131,7,3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin 300/IIIC,M7 Aerospace,1290,295,6,775000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlin IIIA,M7 Aerospace,1445,283,6,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro 23,M7 Aerospace,534,295,8,986000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro III,M7 Aerospace,1170,280,8,725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7-235C,Maule Air Inc.,217,148,3,217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 500C,MD Helicopters,275,130,4,190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 500D,MD Helicopters,235,139,4,580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 500E,MD Helicopters,215,135,4,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 500ER,MD Helicopters,215,135,4,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 520N,MD Helicopters,173,123,4,2605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 530F,MD Helicopters,0,134,4,2050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD 600N,MD Helicopters,255,134,6,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20C Ranger,Mooney,609,160,3,88500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20J MSE/Allegro,Mooney,609,168,3,200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20K Encore,Mooney,874,176,3,245000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20M Bravo DX,Mooney,656,217,3,290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20M Bravo GX,Mooney,656,217,3,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20R Ovation,Mooney,803,187,3,225000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20R Ovation 2 DX,Mooney,803,194,3,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20R Ovation 2 GX,Mooney,0,194,3,325000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20R Ovation 3,Mooney,803,194,3,560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20S Eagle,Mooney,739,178,3,195000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20S Eagle 2,Mooney,739,178,3,205000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20TN Acclaim Type S,Mooney,277,242,3,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400XTi,Nextant Aerospace,1527,460,7,3400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G90XT,Nextant Aerospace,0,280,5,2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6X,Piper,0,155,5,305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XT,Piper,0,172,5,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer DX,Piper,484,133,3,543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer III PA 28,Piper,484,133,3,275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer LX,Piper,513,133,3,481000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aztec-D/E PA23,Piper,578,-,5,155000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne 400 LS,Piper,1140,349,6,1150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne I,Piper,780,252,5,495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne IA,Piper,653,261,5,505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne II,Piper,720,283,5,540000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne III,Piper,997,286,6,725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne IIXL,Piper,769,275,5,675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M500,Piper,481,260,5,2550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M600,Piper,633,274,5,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo PA 31,Piper,757,226,7,285000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saratoga II HP PA32,Piper,225,166,5,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saratoga II TC PA 32,Piper,117,194,5,470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca V PA 34,Piper,466,204,5,1030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior III PA 28,Piper,666,117,3,280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R22 Beta II,Robinson,161,96,1,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44 Cadet,Robinson,268,113,1,495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44 Raven I,Robinson,268,113,3,527000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44 Raven II,Robinson,268,117,3,615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R66 Turbine,Robinson,265,130,4,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-300C,Schweizer,195,86,2,315000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-300CBi,Schweizer,215,80,2,260000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-333,Schweizer,253,105,3,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotts Bell 47G-3B,Scotts Helicopter,199,90,2,119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS350 SD1,Soloy,395,126,6,881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS350 SD2,Soloy,340,133,6,2815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2006T,Tecnam,119,146,3,415000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supervan 900,Texas Turbines,618,197,9,1625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500S Shrike,Twin Commander,463,187,6,188000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680FL,Twin Commander,1036,209,6,112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690A,Twin Commander,820,285,5,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690B,Twin Commander,820,285,5,475000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690B Renaissance,Twin Commander,0,300,5,475000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Twin Commander,875,334,5,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Twin Commander,875,333,5,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Twin Commander,735,299,5,675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHC 2 Turbine Beaver,Viking Air,550,153,8,1320555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHC 3 Turbine Otter,Viking Air,748,160,10,1495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHC 6-300 Twin Otter,Viking Air,520,182,10,3450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHC 6-400 Twin Otter,Viking Air,108,185,19,8290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
