Model_ID,Source_URL,Bibliography
bell407,https://www.airliners.net/aircraft-data/bell-407/79,Airliners.net
bell412,https://www.airliners.net/aircraft-data/bell-412/75,Airliners.net
bell427,https://www.airliners.net/aircraft-data/bell-427/80,Airliners.net
bell430,https://www.airliners.net/aircraft-data/bell-430/78,Airliners.net
bell47,https://www.airliners.net/aircraft-data/bell-47/70,Airliners.net
bellagustaba609,https://www.airliners.net/aircraft-data/bell-agusta-ba-609/82,Airliners.net
berievbe200,https://www.airliners.net/aircraft-data/beriev-be-200/84,Airliners.net
berievbe3032,https://www.airliners.net/aircraft-data/beriev-be-3032/83,Airliners.net
boeing707,https://www.airliners.net/aircraft-data/boeing-707/87,Airliners.net
boeing717,https://www.airliners.net/aircraft-data/boeing-717/111,Airliners.net
boeing720,https://www.airliners.net/aircraft-data/boeing-720/88,Airliners.net
boeing727100,https://www.airliners.net/aircraft-data/boeing-727-100/89,Airliners.net
boeing727200,https://www.airliners.net/aircraft-data/boeing-727-200/90,Airliners.net
boeing737100200,https://www.airliners.net/aircraft-data/boeing-737-100200/91,Airliners.net
boeing737300,https://www.airliners.net/aircraft-data/boeing-737-300/92,Airliners.net
boeing737400,https://www.airliners.net/aircraft-data/boeing-737-400/93,Airliners.net
boeing737500,https://www.airliners.net/aircraft-data/boeing-737-500/94,Airliners.net
boeing737600700,https://www.airliners.net/aircraft-data/boeing-737-600700/95,Airliners.net
boeing737700800bbjbbj2,https://www.airliners.net/aircraft-data/boeing-737-700800-bbjbbj2/108,Airliners.net
boeing737800900,https://www.airliners.net/aircraft-data/boeing-737-800900/96,Airliners.net
boeing747100200,https://www.airliners.net/aircraft-data/boeing-747-100-200/97,Airliners.net
boeing747300,https://www.airliners.net/aircraft-data/boeing-747-300/99,Airliners.net
boeing747400,https://www.airliners.net/aircraft-data/boeing-747-400/100,Airliners.net
boeing747sp,https://www.airliners.net/aircraft-data/boeing-747sp/98,Airliners.net
boeing757200,https://www.airliners.net/aircraft-data/boeing-757-200/101,Airliners.net
boeing757300,https://www.airliners.net/aircraft-data/boeing-757-300/102,Airliners.net
boeing767200,https://www.airliners.net/aircraft-data/boeing-767-200/103,Airliners.net
boeing767300,https://www.airliners.net/aircraft-data/boeing-767-300/104,Airliners.net
boeing767400,https://www.airliners.net/aircraft-data/boeing-767-400/105,Airliners.net
boeing777200,https://www.airliners.net/aircraft-data/boeing-777-200/106,Airliners.net
boeing777300,https://www.airliners.net/aircraft-data/boeing-777-300/107,Airliners.net
boeing7878dreamliner,https://www.airliners.net/aircraft-data/boeing-787-8-dreamliner/407,Airliners.net
boeingb17flyingfortress,https://www.airliners.net/aircraft-data/boeing-b-17-flying-fortress/391,Airliners.net
boeingc97stratofreighter,https://www.airliners.net/aircraft-data/boeing-c-97-stratofreighter/86,Airliners.net
boeingcommercialchinook,https://www.airliners.net/aircraft-data/boeing-commercial-chinook/118,Airliners.net
boeingmdexplorer,https://www.airliners.net/aircraft-data/boeing-md-explorer/116,Airliners.net
boeingstearman,https://www.airliners.net/aircraft-data/boeing-stearman/85,Airliners.net
boeingvertolkawasakikv107,https://www.airliners.net/aircraft-data/boeing-vertol-kawasaki-kv-107/117,Airliners.net
bombardierbd100challenger300,https://www.airliners.net/aircraft-data/bombardier-bd-100-challenger-300/129,Airliners.net
bombardierbd700globalexpress,https://www.airliners.net/aircraft-data/bombardier-bd-700-global-express/124,Airliners.net
bombardierlearjet45,https://www.airliners.net/aircraft-data/bombardier-learjet-45/127,Airliners.net
bombardierlearjet5560,https://www.airliners.net/aircraft-data/bombardier-learjet-55-60/128,Airliners.net
brantlyb2305,https://www.airliners.net/aircraft-data/brantly-b2-305/130,Airliners.net
bristol170freighter,https://www.airliners.net/aircraft-data/bristol-170-freighter/132,Airliners.net
britishaerospaceatp,https://www.airliners.net/aircraft-data/british-aerospace-atp/58,Airliners.net
britishaerospaceavrorj7085100,https://www.airliners.net/aircraft-data/british-aerospace-avro-rj7085100/47,Airliners.net
britishaerospacebae146,https://www.airliners.net/aircraft-data/british-aerospace-bae-146/45,Airliners.net
britishaerospacejetstream31super31,https://www.airliners.net/aircraft-data/british-aerospace-jetstream-31super-31/55,Airliners.net
britishaerospacejetstream41,https://www.airliners.net/aircraft-data/british-aerospace-jetstream-41/56,Airliners.net
brittennormanbn2islander,https://www.airliners.net/aircraft-data/britten-norman-bn-2-islander/131,Airliners.net
brittennormanbn2amk3trislander,https://www.airliners.net/aircraft-data/britten-norman-bn-2a-mk3-trislander/134,Airliners.net
canadaircl215415,https://www.airliners.net/aircraft-data/canadair-cl-215-415/119,Airliners.net
canadaircl44yukon,https://www.airliners.net/aircraft-data/canadair-cl-44-yukon/133,Airliners.net
canadaircl600challenger600,https://www.airliners.net/aircraft-data/canadair-cl-600-challenger-600/135,Airliners.net
canadaircl600challenger601604,https://www.airliners.net/aircraft-data/canadair-cl-600-challenger-601-604/123,Airliners.net
canadaircl600regionaljetcrj100200,https://www.airliners.net/aircraft-data/canadair-cl-600-regional-jet-crj-100-200/125,Airliners.net
canadaircl600regionaljetcrj700,https://www.airliners.net/aircraft-data/canadair-cl-600-regional-jet-crj-700/126,Airliners.net
