code,meaning
I,International
D,Domestic
E,East
N,North
S,South or Satellite
W,West
L,Budget/Low Cost
U,Shuttle
M,"Main, Central etc."
H,Charter
R,Regional/Commuter
Z,"Other. (Z has been assigned to all other terminal identifications such as Marine, Inter-Island etc.)"
