reject_reason
ACTION IDENTIFIER INVALID
ACV CODE INVALID
AIRCRAFT TYPE INVALID
AIRLINE DESIGNATOR INVALID
AIRLINE DESIGNATOR IS REQUIRED
DATE DISCREPANCY INVALID
DATE INVALID
DATE OF ARRIVAL INVALID
DATE OF DEPARTURE INVALID
DATE VARIATION INVALID
DAYS OF OPERATION INVALID
DAYS/DATES OVERLAPPING
DEI 2/3/4/5/9 AIRLINE DESIGNATOR INVALID
DEI 7 INVALID
DEI 7 WITH INVALID CLASS
DEI 710/711 INVALID
DEI 8 CODE INVALID
DEI 8 CONFLICT
DEI 8 TRAFFIC RESTRICTION TYPE INVALID
DEI 10 AND 50 NOT ALLOWED ON SAME LEG
DEI 98/99 CONFLICT
DEI 113/114/115 IS REQUIRED
DEI 127 IS REQUIRED
DEI 201 INVALID
DEI 501 CONFLICT
DEI 502 CONFLICT
DEI 503 CODE INVALID
DEI 504 CODE INVALID
DEI 505 CODE INVALID
DEI DUPLICATION
DEI FORMAT ERROR
DEI IS REQUIRED
DEI NOT ALLOWED IN SEGMENT INFORMATION
DEI NOT ALLOWED ON FIRST LEG
DEI NOT ALLOWED ON SEGMENT
DEI NUMBER INVALID
DEI SEGMENT/LEG INVALID
DEI TEXT IS REQUIRED
DEI WITH NIL NOT ALLOWED
EQUIPMENT CHANGE NOT ALLOWED
EQUIPMENT CHANGE USED TOO MANY TIMES
EQUIPMENT DATA IS REQUIRED
FLIGHT ARRIVAL — ONLY ONE PER AIRPORT PER DAY
FLIGHT DEPARTURE — ONLY ONE PER AIRPORT PER DAY
FLIGHT DESIGNATOR IS REQUIRED
FLIGHT DOES NOT OPERATE FOR DATE AND FREQUENCY
FLIGHT NUMBER INVALID
FLIGHT/DATE LIMITED TO ONE OCCURRENCE
INTERNAL PROCESSING ERROR — PLEASE RESUBMIT
LEG CHANGE NOT ALLOWED
LEG DATA CANNOT BE COMPLETELEY DELETED
LEG DATA CONFLICT WITH EXISTING SCHEDULE
LEG DATA INVALID
LEG DATA IS REQUIRED
LEG NUMBER GREATER THAN MAXIMUM ALLOWED
MESSAGE FUNCTION INVALID
MESSAGE SEQUENCE REFERENCE INVALID
ON-TIME PERFORMANCE INVALID
ON-TIME PERFORMANCE INDICATOR FOR DELAYS & CANCELLATIONS INVALID
OPERATIONAL SUFFIX INVALID
PERIOD — FREQUENCY RATE INVALID
PERIOD OF OPERATION INVALID
PERIOD OF SCHEDULE VALIDITY INVALID
PERIOD OUTSIDE SYSTEM DATA RANGE
PERIOD/FREQUENCY CONFLICT WITH EXISTING
PERIOD/FREQUENCY NOT ALLOWED
PRBD DUPLICATION
PRBD INVALID
PRBD/PRBM OR ACV DO NOT MATCH
PRBM INVALID
REPEAT REQUEST — UPDATING IN PROGRESS
RTNS NOT USED PROPERLY
SECONDARY ACTION IDENTIFIER INVALID
SECURE FLIGHT INDICATOR INVALID
SERVICE TYPE CODE INVALID
STATION CODE INVALID
STATION OF ARRIVAL INVALID
STATION OF DEPARTURE DIFFERS FROM PREVIOUS ARRIVAL
STATION OF DEPARTURE INVALID
TERMINAL CODE INVALID
TIME INVALID
TIME MODE INVALID
TIME OF ARRIVAL INVALID
TIME OF DEPARTURE EARLIER THAN PREVIOUS ARRIVAL
TIME OF DEPARTURE INVALID
UNAUTHORISED TO AMEND THIS FLIGHT
UTC/LT VARIATION INVALID
XASM NOT USED PROPERLY
