code,meaning
B,Breakfast
C,Alcoholic Beverages — Complimentary
D,Dinner
F,Food for Purchase
G,Food and Beverages for Purchase
H,Hot Meal
K,Continental Breakfast
L,Lunch
M,Meal (to be used as a generalization if no specific meal is intended)
N,No Meal Service
O,Cold Meal
P,Alcoholic Beverages for Purchase
R,Refreshments — Complimentary
S,Snack or Brunch
V,Refreshments for Purchase
