IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
75F,B752,Boeing,757 Freighter,Boeing 757 Freighter,757 Freighter,,2J,Passenger,,In Service
75M,B752,Boeing,757 Mixed,Boeing 757 Mixed,757 Mixed,,2J,Passenger,,In Service
75T,B753,Boeing,757-300 (winglets),Boeing 757-300 (winglets),757-300 (winglets),,2J,Passenger,,In Service
75W,B752,Boeing,757-200 (winglets),Boeing 757-200 (winglets),757-200 (winglets),,2J,Passenger,,In Service
762,B762,Boeing,767-200,Boeing 767-200,767-200,,2J,Passenger,H,In Service
763,B763,Boeing,767-300,Boeing 767-300,767-300,,2J,Passenger,H,In Service
764,B764,Boeing,767-400,Boeing 767-400,767-400,,2J,Passenger,H,In Service
767,,Boeing,767,Boeing 767,767,,,Passenger,H,In Service
76F,,Boeing,767 Freighter,Boeing 767 Freighter,767 Freighter,,,Passenger,,In Service
76V,B763,Boeing,767-300 (winglets) Freighter,Boeing 767-300 (winglets) Freighter,767-300 (winglets) Freighter,,2J,Passenger,,In Service
76W,B763,Boeing,767-300 (winglets),Boeing 767-300 (winglets),767-300 (winglets),,2J,Passenger,,In Service
76X,B762,Boeing,767-200 Freighter,Boeing 767-200 Freighter,767-200 Freighter,,2J,Passenger,,In Service
76Y,B763,Boeing,767-300 Freighter,Boeing 767-300 Freighter,767-300 Freighter,,2J,Passenger,,In Service
772,B77L,Boeing,777-200,Boeing 777-200,777-200,,2J,Passenger,H,In Service
773,B773,Boeing,777-300,Boeing 777-300,777-300,,2J,Passenger,H,In Service
777,,Boeing,777,Boeing 777,777,,,Passenger,H,In Service
77F,,Boeing,777 Freighter,Boeing 777 Freighter,777 Freighter,,,Passenger,,In Service
77L,B772,Boeing,777-200LR,Boeing 777-200LR,777-200LR,,2J,Passenger,H,In Service
77W,B77W,Boeing,777-300ER,Boeing 777-300ER,777-300ER,,2J,Passenger,H,In Service
77X,B772,Boeing,777-200F Freighter,Boeing 777-200F Freighter,777-200F Freighter,,2J,Passenger,,In Service
781,B78X,Boeing,787-10 pax,Boeing 787-10 pax,787-10 pax,,2J,Passenger,,In Service
783,B783,Boeing,787-3,Boeing 787-3,787-3,,2J,Passenger,,In Service
787,,Boeing,787,Boeing 787,787,,,Passenger,H,In Service
788,B788,Boeing,787-8,Boeing 787-8,787-8,,2J,Passenger,H,In Service
789,B789,Boeing,787-9,Boeing 787-9,787-9,,2J,Passenger,H,In Service
7M7,B37M,Boeing,737 MAX 7 pax,Boeing 737 MAX 7 pax,737 MAX 7 pax,,2J,Passenger,M,In Service
7M8,B38M,Boeing,737 MAX 8 pax,Boeing 737 MAX 8 pax,737 MAX 8 pax,,2J,Passenger,M,In Service
7M9,B39M,Boeing,737 MAX 9 pax,Boeing 737 MAX 9 pax,737 MAX 9 pax,,2J,Passenger,M,In Service
7MJ,B3XM,Boeing,737 MAX 10 pax,Boeing 737 MAX 10 pax,737 MAX 10 pax,,2J,Passenger,,In Service
A22,AN22,Antonov,An-22,Antonov An-22,An-22,,4T,Passenger,,In Service
A26,AN26,Antonow,/ Antonov An-26,Antonow / Antonov An-26,/ Antonov An-26,,2T,Passenger,,In Service
A28,AN28,Antonow,/ Antonov An-28 / PZL Mielec M-28,Antonow / Antonov An-28 / PZL Mielec M-28,/ Antonov An-28 / PZL Mielec M-28,,2T,Passenger,,In Service
A30,AN30,Antonow,/ Antonov An-30,Antonow / Antonov An-30,/ Antonov An-30,,2T,Passenger,,In Service
A32,AN32,Antonow,/ Antonov An-32,Antonow / Antonov An-32,/ Antonov An-32,,2T,Passenger,,In Service
A38,AN38,Antonov,An-38,Antonov An-38,An-38,,2T,Passenger,,In Service
A40,A140,Antonow,/ Antonov An-140,Antonow / Antonov An-140,/ Antonov An-140,,2T,Passenger,,In Service
A4F,A124,Antonow,/ Antonov An-124,Antonow / Antonov An-124,/ Antonov An-124,,4J,Passenger,,In Service
A58,ZZZZ,Antonov,An-158,Antonov An-158,An-158,,2J,Passenger,,In Service
A5F,A225,Antonov,An-225,Antonov An-225,An-225,,6J,Passenger,,In Service
A81,A148,Antonov,An-148-100,Antonov An-148-100,An-148-100,,2J,Passenger,,In Service
AB2,,Airbus,A300B2,Airbus A300B2,A300B2,,,Passenger,,In Service
AB3,,Airbus,A300,Airbus A300,A300,,,Passenger,H,In Service
AB4,A30B,Airbus,A300B2/B4/C4,Airbus A300B2/B4/C4,A300B2/B4/C4,,2J,Passenger,,In Service
AB6,A306,Airbus,A300-600,Airbus A300-600,A300-600,,2J,Passenger,H,In Service
ABB,A3ST,Airbus,A300-600ST Beluga,Airbus A300-600ST Beluga,A300-600ST Beluga,,2J,Passenger,H,In Service
ABF,,Airbus,A300F,Airbus A300F,A300F,,,Passenger,,In Service
ABM,,Airbus,A300-600 Mixed Configuration,Airbus A300-600 Mixed Configuration,A300-600 Mixed Configuration,,,Passenger,,In Service
ABX,A30B,Airbus,A300C4/F4 Freighter,Airbus A300C4/F4 Freighter,A300C4/F4 Freighter,,2J,Passenger,,In Service
ABY,A306,Airbus,A300-600F,Airbus A300-600F,A300-600F,,2J,Passenger,,In Service
ACD,,Rockwell,Commander/Turbo Commander,Rockwell Commander/Turbo Commander,Commander/Turbo Commander,,,Passenger,,In Service
ACP,*,Rockwell,Commander,Rockwell Commander,Commander,,2P,Passenger,,In Service
ACT,*,Rockwell,Turbo Commander,Rockwell Turbo Commander,Turbo Commander,,2T,Passenger,,In Service
AGH,A109,Agusta,/ AgustaWestland A-109,Agusta / AgustaWestland A-109,/ AgustaWestland A-109,,H,Passenger,,In Service
ALM,,Ayres,LM-200 Loadmaster,Ayres LM-200 Loadmaster,LM-200 Loadmaster,,,Passenger,,In Service
AMD,,Dassault,FALCON 10 / 20 / 50,Dassault FALCON 10 / 20 / 50,FALCON 10 / 20 / 50,,,Passenger,,In Service
AN2,,Antonov,An-2,Antonov An-2,An-2,,,Passenger,,In Service
AN4,AN24,Antonow,/ Antonov An-24,Antonow / Antonov An-24,/ Antonov An-24,,2T,Passenger,M,In Service
AN6,,Antonow,/ Antonov An-26 / An-30 / An-32,Antonow / Antonov An-26 / An-30 / An-32,/ Antonov An-26 / An-30 / An-32,,,Passenger,,In Service
AN7,AN72,Antonow,/ Antonov An-72 / An-74,Antonow / Antonov An-72 / An-74,/ Antonov An-72 / An-74,,2J,Passenger,,In Service
ANF,AN12,Antonow,/ Antonov An-12,Antonow / Antonov An-12,/ Antonov An-12,,4T,Passenger,M,In Service
APF,ZZZZ,BAe,ATP Freighter,BAe ATP Freighter,ATP Freighter,,2T,Passenger,,In Service
APH,*,Eurocopter,SA330 Puma / AS332 Super Puma,Eurocopter SA330 Puma / AS332 Super Puma,SA330 Puma / AS332 Super Puma,,H,Passenger,,In Service
AR1,RJ1H,BAe,Avro RJ100,BAe Avro RJ100,Avro RJ100,,4J,Passenger,M,In Service
AR7,RJ70,BAe,Avro RJ70,BAe Avro RJ70,Avro RJ70,,4J,Passenger,M,In Service
AR8,RJ85,BAe,Avro RJ85,BAe Avro RJ85,Avro RJ85,,4J,Passenger,M,In Service
ARJ,,BAe,Avro RJ70 / RJ85 / RJ100,BAe Avro RJ70 / RJ85 / RJ100,Avro RJ70 / RJ85 / RJ100,,,Passenger,,In Service
ARX,,Avro,RJX85 / RJX100,Avro RJX85 / RJX100,RJX85 / RJX100,,,Passenger,,In Service
AT4,AT43,ATR,ATR 42-300 / 320,ATR ATR 42-300 / 320,ATR 42-300 / 320,,2T,Passenger,M,In Service
AT5,AT45,ATR,ATR 42-500,ATR ATR 42-500,ATR 42-500,,2T,Passenger,M,In Service
AT7,AT72,ATR,ATR 72,ATR ATR 72,ATR 72,,2T,Passenger,M,In Service
ATD,AT44,ATR,ATR 42-400,ATR ATR 42-400,ATR 42-400,,2T,Passenger,,In Service
ATF,AT72,ATR,ATR 72 Freighter,ATR ATR 72 Freighter,ATR 72 Freighter,,2T,Passenger,,In Service
ATP,ATP,BAe,ATP,BAe ATP,ATP,,2T,Passenger,M,In Service
ATR,,ATR,ATR 42 / ATR 72,ATR ATR 42 / ATR 72,ATR 42 / ATR 72,,,Passenger,M,In Service
ATZ,*,ATR,ATR 42 Freighter,ATR ATR 42 Freighter,ATR 42 Freighter,,2T,Passenger,,In Service
AWH,A139,AgustaWestland,AW139,AgustaWestland AW139,AW139,,2T,Passenger,,In Service
AX1,RX1H,Avro,RJX100,Avro RJX100,RJX100,,,Passenger,,In Service
AX8,RX85,Avro,RJX85,Avro RJX85,RJX85,,,Passenger,,In Service
B11,,BAC,One Eleven,BAC One Eleven,One Eleven,,,Passenger,,In Service
B12,BA11,BAC,One Eleven 200,BAC One Eleven 200,One Eleven 200,,2J,Passenger,,In Service
B13,BA11,BAC,One Eleven 300,BAC One Eleven 300,One Eleven 300,,2J,Passenger,,In Service
B14,BA11,BAC,One Eleven 400/47,BAC One Eleven 400/47,One Eleven 400/47,,2J,Passenger,,In Service
B15,BA11,BAC,One Eleven 500,BAC One Eleven 500,One Eleven 500,,2J,Passenger,,In Service
B72,B720,Boeing,720B,Boeing 720B,720B,,4J,Passenger,,In Service
BE1,,Beechcraft,1900/1900C/1900D,Beechcraft 1900/1900C/1900D,1900/1900C/1900D,,,Passenger,,In Service
BE2,*,Beechcraft,Beech twin piston,Beechcraft Beech twin piston,Beech twin piston,,2P,Passenger,,In Service
BE4,BE40,Beechcraft,Beechcraft 400,Beechcraft Beechcraft 400,Beechcraft 400,,2J,Passenger,,In Service
BE9,BE99,Beechcraft,Beechcraft C99,Beechcraft Beechcraft C99,Beechcraft C99,,2T,Passenger,,In Service
BEC,,Beechcraft,Beech light aircraft,Beechcraft Beech light aircraft,Beech light aircraft,,,Passenger,,In Service
BEF,B190,Beechcraft,Beechcraft 1900 Freighter,Beechcraft Beechcraft 1900 Freighter,Beechcraft 1900 Freighter,,2T,Passenger,,In Service
BEH,B190,Beechcraft,1900D,Beechcraft 1900D,1900D,,2T,Passenger,L,In Service
BEP,*,Beechcraft,Beech singe piston,Beechcraft Beech singe piston,Beech singe piston,,1P,Passenger,,In Service
BES,B190,Beechcraft,1900/1900C,Beechcraft 1900/1900C,1900/1900C,,2T,Passenger,,In Service
BET,*,Beechcraft,Beech twin turboprop,Beechcraft Beech twin turboprop,Beech twin turboprop,,2T,Passenger,,In Service
BH2,*,Bell,Helicopter Bell Helicopters,Bell Helicopter Bell Helicopters,Helicopter Bell Helicopters,,H,Passenger,,In Service
BNI,BN2P,Britten,Norman BN-2A/B Islander,Britten Norman BN-2A/B Islander,Norman BN-2A/B Islander,,2P,Passenger,,In Service
BNT,TRIS,Britten,Norman BN-2A Mk III Trislander,Britten Norman BN-2A Mk III Trislander,Norman BN-2A Mk III Trislander,,3P,Passenger,,In Service
BTA,ZZZZ,Business,Turbo-Prop Aircraft,Business Turbo-Prop Aircraft,Turbo-Prop Aircraft,,2T,Passenger,,In Service
BUS,0000,Surface,Equipment Bus,Surface Equipment Bus,Equipment Bus,,S,Passenger,,In Service
C27,AJ27,Comac,ARJ21-700,Comac ARJ21-700,ARJ21-700,,2J,Passenger,,In Service
C9B,,Canadair,CRJ 900NG,Canadair CRJ 900NG,CRJ 900NG,,,Passenger,,In Service
CCJ,CL60,Canadair,Challenger,Canadair Challenger,Challenger,,2J,Passenger,M,In Service
CCX,GLEX,Bombardier,Global Express,Bombardier Global Express,Global Express,,2J,Passenger,M,In Service
CD2,NOMA,GAF,N22B / N24A Nomad,GAF N22B / N24A Nomad,N22B / N24A Nomad,,2T,Passenger,,In Service
CJ1,*,Cessna,500/501/525 Citation,Cessna 500/501/525 Citation,500/501/525 Citation,,2J,Passenger,,In Service
CJ2,*,Cessna,550/551/552 Citation,Cessna 550/551/552 Citation,550/551/552 Citation,,2J,Passenger,,In Service
CJ5,*,Cessna,560 Citation,Cessna 560 Citation,560 Citation,,2J,Passenger,,In Service
CJ6,*,Cessna,650 Citation,Cessna 650 Citation,650 Citation,,2J,Passenger,,In Service
CJ8,*,Cessna,680 Citation,Cessna 680 Citation,680 Citation,,2J,Passenger,,In Service
CJL,*,Cessna,560 XL/XLS Citation,Cessna 560 XL/XLS Citation,560 XL/XLS Citation,,2J,Passenger,,In Service
CJM,C510,Cessna,510 Mustang Citation,Cessna 510 Mustang Citation,510 Mustang Citation,,2J,Passenger,,In Service
CL3,CL30,Bombardier,Challenger 300,Bombardier Challenger 300,Challenger 300,,2J,Passenger,,In Service
CL4,,Canadair,CL-44,Canadair CL-44,CL-44,,,Passenger,,In Service
CN1,*,Cessna,Cessna single piston engine,Cessna Cessna single piston engine,Cessna single piston engine,,1P,Passenger,L,In Service
CN2,*,Cessna,Cessna twin piston engines,Cessna Cessna twin piston engines,Cessna twin piston engines,,2P,Passenger,,In Service
CN7,C750,Cessna,750 Citation X,Cessna 750 Citation X,750 Citation X,,2J,Passenger,,In Service
CNA,,Cessna,Cessna light aircraft,Cessna Cessna light aircraft,Cessna light aircraft,,,Passenger,,In Service
CNC,*,Cessna,Cessna single turboprop engine,Cessna Cessna single turboprop engine,Cessna single turboprop engine,,1T,Passenger,,In Service
CNF,*,Cessna,208B Freighter,Cessna 208B Freighter,208B Freighter,,2T,Passenger,,In Service
CNJ,*,Cessna,Citation,Cessna Citation,Citation,,2J,Passenger,L,In Service
CNT,*,Cessna,Cessna twin turboprop engines,Cessna Cessna twin turboprop engines,Cessna twin turboprop engines,,2T,Passenger,,In Service
CR1,CRJ1,Canadair,CRJ 100,Canadair CRJ 100,CRJ 100,,2J,Passenger,M,In Service
CR2,CRJ2,Canadair,CRJ 200,Canadair CRJ 200,CRJ 200,,2J,Passenger,M,In Service
CR7,CRJ7,Canadair,CRJ 700,Canadair CRJ 700,CRJ 700,,2J,Passenger,M,In Service
CR9,CRJ9,Canadair,CRJ 900,Canadair CRJ 900,CRJ 900,,2J,Passenger,M,In Service
CRA,CRJ9,Canadair,CRJ 705,Canadair CRJ 705,CRJ 705,,2J,Passenger,,In Service
CRF,ZZZZ,Canadair,CRJ Freighter,Canadair CRJ Freighter,CRJ Freighter,,2J,Passenger,,In Service
CRJ,,Canadair,CRJ,Canadair CRJ,CRJ,,,Passenger,,In Service
CRK,CRJX,Canadair,CRJ 1000,Canadair CRJ 1000,CRJ 1000,,2J,Passenger,M,In Service
CRV,,Sud-Est,SE.210 Caravelle,Sud-Est SE.210 Caravelle,SE.210 Caravelle,,,Passenger,M,In Service
CS1,ZZZZ,Bombardier,CSeries CS100,Bombardier CSeries CS100,CSeries CS100,,2J,Passenger,M,In Service
CS2,C212,CASA,212 Aviocar,CASA 212 Aviocar,212 Aviocar,,2T,Passenger,,In Service
CS3,ZZZZ,Bombardier,CS300,Bombardier CS300,CS300,,2J,Passenger,M,In Service
CS5,CN35,Airtech,CN-235,Airtech CN-235,CN-235,,2T,Passenger,,In Service
CV2,CVLP,Convair,CV-240,Convair CV-240,CV-240,,2P,Passenger,,In Service
CV4,CVLP,Convair,CV-440 Metropolitan,Convair CV-440 Metropolitan,CV-440 Metropolitan,,2P,Passenger,,In Service
CV5,CVLT,Convair,CV-580,Convair CV-580,CV-580,,2T,Passenger,,In Service
CV6,,Convair,CV-600/640,Convair CV-600/640,CV-600/640,,,Passenger,,In Service
CVF,,Convair,CV-240 / 440 / 580 / 600 / 640 Freighter,Convair CV-240 / 440 / 580 / 600 / 640 Freighter,CV-240 / 440 / 580 / 600 / 640 Freighter,,,Passenger,,In Service
CVR,,Convair,CV-240 / 440 / 580 / 600 / 640,Convair CV-240 / 440 / 580 / 600 / 640,CV-240 / 440 / 580 / 600 / 640,,,Passenger,,In Service
CVV,CVLP,Convair,CV-240 Freighter,Convair CV-240 Freighter,CV-240 Freighter,,2P,Passenger,,In Service
CVX,CVLP,Convair,CV-440 Freighter,Convair CV-440 Freighter,CV-440 Freighter,,2P,Passenger,,In Service
CVY,CVLT,Convair,CV-580 / 600 / 640 Freighter,Convair CV-580 / 600 / 640 Freighter,CV-580 / 600 / 640 Freighter,,2T,Passenger,,In Service
CWC,C46,Curtiss,C-46 Commando,Curtiss C-46 Commando,C-46 Commando,,2P,Passenger,,In Service
D10,,McDonnell,Douglas DC-10,McDonnell Douglas DC-10,Douglas DC-10,,,Passenger,H,In Service
D11,DC10,McDonnell,Douglas DC-10-10/15,McDonnell Douglas DC-10-10/15,Douglas DC-10-10/15,,3J,Passenger,,In Service
D14,,McDonnell,Douglas DC-10-40,McDonnell Douglas DC-10-40,Douglas DC-10-40,,,Passenger,,In Service
D1C,DC10,McDonnell,Douglas DC-10-30/40,McDonnell Douglas DC-10-30/40,Douglas DC-10-30/40,,3J,Passenger,,In Service
D1F,,McDonnell,Douglas DC-10 Freighter,McDonnell Douglas DC-10 Freighter,Douglas DC-10 Freighter,,,Passenger,,In Service
D1M,DC10,McDonnell,Douglas DC-10 Combi,McDonnell Douglas DC-10 Combi,Douglas DC-10 Combi,,3J,Passenger,,In Service
D1X,DC10,McDonnell,Douglas DC-10-10 Freighter,McDonnell Douglas DC-10-10 Freighter,Douglas DC-10-10 Freighter,,3J,Passenger,,In Service
D1Y,DC10,McDonnell,Douglas DC-10-30 / 40 Freighter,McDonnell Douglas DC-10-30 / 40 Freighter,Douglas DC-10-30 / 40 Freighter,,3J,Passenger,,In Service
D20,F2TH,Dassault,Falcon 2000/2000DX,Dassault Falcon 2000/2000DX,Falcon 2000/2000DX,,2J,Passenger,M,In Service
D28,D228,Dornier,Do 228,Dornier Do 228,Do 228,,2T,Passenger,L,In Service
D2L,F2TH,Dassault,Falcon 2000EX/EASY/LX,Dassault Falcon 2000EX/EASY/LX,Falcon 2000EX/EASY/LX,,2J,Passenger,,In Service
D38,D328,Dornier,Do 328,Dornier Do 328,Do 328,,2T,Passenger,M,In Service
D3F,DC3,Douglas,DC-3 Freighter,Douglas DC-3 Freighter,DC-3 Freighter,,2P,Passenger,L,In Service
D42,DA42,Diamond,Aircraft DA42 Twin Star,Diamond Aircraft DA42 Twin Star,Aircraft DA42 Twin Star,,2P,Passenger,,In Service
D4X,DH8D,De,Havilland Canada-Bombardier DHC-8-400 Dash 8Q Freighter,De Havilland Canada-Bombardier DHC-8-400 Dash 8Q Freighter,Havilland Canada-Bombardier DHC-8-400 Dash 8Q Freighter,,2T,Passenger,,In Service
D6F,DC6,Douglas,DC-6A/B/C Freighter,Douglas DC-6A/B/C Freighter,DC-6A/B/C Freighter,,4P,Passenger,,In Service
D85,,Douglas,DC-8-50,Douglas DC-8-50,DC-8-50,,,Passenger,,In Service
D86,,Douglas,DC-8-61,Douglas DC-8-61,DC-8-61,,,Passenger,,In Service
D87,,Douglas,DC-8-71,Douglas DC-8-71,DC-8-71,,,Passenger,,In Service
D8A,,Douglas,DC-8-63,Douglas DC-8-63,DC-8-63,,,Passenger,,In Service
D8B,,Douglas,DC-8-73,Douglas DC-8-73,DC-8-73,,,Passenger,,In Service
D8F,,Douglas,DC-8 Freighter,Douglas DC-8 Freighter,DC-8 Freighter,,,Passenger,,In Service
D8L,DC86,Douglas,DC-8-62,Douglas DC-8-62,DC-8-62,,4J,Passenger,,In Service
D8M,DC86,Douglas,DC-8 Combi,Douglas DC-8 Combi,DC-8 Combi,,4J,Passenger,,In Service
D8Q,DC87,Douglas,DC-8-72,Douglas DC-8-72,DC-8-72,,4J,Passenger,,In Service
D8T,DC85,Douglas,DC-8-50 Freighter,Douglas DC-8-50 Freighter,DC-8-50 Freighter,,4J,Passenger,,In Service
D8X,DC86,Douglas,DC-8-61 / 62 / 63 Freighter,Douglas DC-8-61 / 62 / 63 Freighter,DC-8-61 / 62 / 63 Freighter,,4J,Passenger,,In Service
D8Y,DC87,Douglas,DC-8-71 / 72 / 73 Freighter,Douglas DC-8-71 / 72 / 73 Freighter,DC-8-71 / 72 / 73 Freighter,,4J,Passenger,,In Service
D91,DC91,Douglas,DC-9-10,Douglas DC-9-10,DC-9-10,,2J,Passenger,,In Service
D92,DC92,Douglas,DC-9-20,Douglas DC-9-20,DC-9-20,,2J,Passenger,,In Service
D93,DC93,Douglas,DC-9-30,Douglas DC-9-30,DC-9-30,,2J,Passenger,,In Service
D94,DC94,Douglas,DC-9-40,Douglas DC-9-40,DC-9-40,,2J,Passenger,,In Service
D95,DC95,Douglas,DC-9-50,Douglas DC-9-50,DC-9-50,,2J,Passenger,,In Service
D9C,DC93,Douglas,DC-9-30 Freighter,Douglas DC-9-30 Freighter,DC-9-30 Freighter,,2J,Passenger,,In Service
D9D,DC94,Douglas,DC-9-40 Freighter,Douglas DC-9-40 Freighter,DC-9-40 Freighter,,2J,Passenger,,In Service
D9F,,Douglas,DC-9 Freighter,Douglas DC-9 Freighter,DC-9 Freighter,,,Passenger,,In Service
D9L,F900,Dassault,Falcon 900LX,Dassault Falcon 900LX,Falcon 900LX,,3J,Passenger,,In Service
D9X,DC91,Douglas,DC-9-10 Freighter,Douglas DC-9-10 Freighter,DC-9-10 Freighter,,2J,Passenger,,In Service
DC3,DC3,Douglas,DC-3,Douglas DC-3,DC-3,,2P,Passenger,,In Service
DC4,DC4,Douglas,DC-4,Douglas DC-4,DC-4,,4P,Passenger,,In Service
DC6,DC6,Douglas,DC6A/B,Douglas DC6A/B,DC6A/B,,4P,Passenger,,In Service
DC8,,Douglas,DC-8,Douglas DC-8,DC-8,,,Passenger,,In Service
DC9,,Douglas,DC-9,Douglas DC-9,DC-9,,,Passenger,,In Service
DF1,FA10,Dassault,Falcon 10/100,Dassault Falcon 10/100,Falcon 10/100,,2J,Passenger,,In Service
DF2,FA20,Dassault,Falcon 10 / 100 / 20 / 200 / 2000,Dassault Falcon 10 / 100 / 20 / 200 / 2000,Falcon 10 / 100 / 20 / 200 / 2000,,2J,Passenger,,In Service
DF3,,Dassault,Falcon 50 / 900,Dassault Falcon 50 / 900,Falcon 50 / 900,,,Passenger,,In Service
DF5,FA50,Dassault,Falcon 50/50EX,Dassault Falcon 50/50EX,Falcon 50/50EX,,3J,Passenger,,In Service
DF7,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,Falcon 7X,,3J,Passenger,,In Service
DF9,F900,Dassault,Falcon 900/900B/900C/900DX/900EX/EASY,Dassault Falcon 900/900B/900C/900DX/900EX/EASY,Falcon 900/900B/900C/900DX/900EX/EASY,,3J,Passenger,,In Service
DFL,,Dassault,Falcon,Dassault Falcon,Falcon,,,Passenger,,In Service
DH1,DH8A,De,Havilland Canada-Bombardier DHC-8-100 Dash 8 / 8Q,De Havilland Canada-Bombardier DHC-8-100 Dash 8 / 8Q,Havilland Canada-Bombardier DHC-8-100 Dash 8 / 8Q,,2T,Passenger,M,In Service
DH2,DH8B,De,Havilland Canada-Bombardier DHC-8-200 Dash 8 / 8Q,De Havilland Canada-Bombardier DHC-8-200 Dash 8 / 8Q,Havilland Canada-Bombardier DHC-8-200 Dash 8 / 8Q,,2T,Passenger,M,In Service
DH3,DH8C,De,Havilland Canada-Bombardier DHC-8-300 Dash 8 / 8Q,De Havilland Canada-Bombardier DHC-8-300 Dash 8 / 8Q,Havilland Canada-Bombardier DHC-8-300 Dash 8 / 8Q,,2T,Passenger,M,In Service
DH4,DH8D,De,Havilland Canada-Bombardier DHC-8-400 Dash 8Q,De Havilland Canada-Bombardier DHC-8-400 Dash 8Q,Havilland Canada-Bombardier DHC-8-400 Dash 8Q,,2T,Passenger,M,In Service
DH7,DHC7,De,Havilland Canada DHC-7 Dash 7,De Havilland Canada DHC-7 Dash 7,Havilland Canada DHC-7 Dash 7,,4T,Passenger,M,In Service
DH8,,De,Havilland Canada-Bombardier DHC-8 Dash 8,De Havilland Canada-Bombardier DHC-8 Dash 8,Havilland Canada-Bombardier DHC-8 Dash 8,,,Passenger,,In Service
DHB,,De,Havilland Canada DHC-2 Beaver / Turbo Beaver,De Havilland Canada DHC-2 Beaver / Turbo Beaver,Havilland Canada DHC-2 Beaver / Turbo Beaver,,,Passenger,,In Service
DHC,DHC4,De,Havilland Canada DHC-4 Caribou,De Havilland Canada DHC-4 Caribou,Havilland Canada DHC-4 Caribou,,2P,Passenger,L,In Service
DHD,DOVE,De,Havilland DH.104 Dove,De Havilland DH.104 Dove,Havilland DH.104 Dove,,2P,Passenger,,In Service
DHF,0000,De,Havilland-Bombardier DHC-8 Freighter,De Havilland-Bombardier DHC-8 Freighter,Havilland-Bombardier DHC-8 Freighter,,00,Passenger,,In Service
DHH,HERN,De,Havilland DH.114 Heron,De Havilland DH.114 Heron,Havilland DH.114 Heron,,4P,Passenger,,In Service
DHL,DH3T,De,Havilland Canada DHC-3 Turbo Otter,De Havilland Canada DHC-3 Turbo Otter,Havilland Canada DHC-3 Turbo Otter,,1T,Passenger,,In Service
DHO,,De,Havilland Canada DHC-3 Otter / Turbo Otter,De Havilland Canada DHC-3 Otter / Turbo Otter,Havilland Canada DHC-3 Otter / Turbo Otter,,,Passenger,,In Service
DHP,DHC2,De,Havilland Canada DHC-2 Beaver,De Havilland Canada DHC-2 Beaver,Havilland Canada DHC-2 Beaver,,1P,Passenger,,In Service
DHR,DH2T,De,Havilland Canada DHC-2 Turbo-Beaver,De Havilland Canada DHC-2 Turbo-Beaver,Havilland Canada DHC-2 Turbo-Beaver,,1T,Passenger,,In Service
DHS,DHC3,De,Havilland Canada DHC-3 Otter,De Havilland Canada DHC-3 Otter,Havilland Canada DHC-3 Otter,,1P,Passenger,,In Service
DHT,DHC6,De,Havilland Canada DHC-6 Twin Otter,De Havilland Canada DHC-6 Twin Otter,Havilland Canada DHC-6 Twin Otter,,2T,Passenger,L,In Service
E70,E170,Embraer,EMB 170 / EMB 175,Embraer EMB 170 / EMB 175,EMB 170 / EMB 175,,2J,Passenger,M,In Service
E75,E170,Embraer,EMB 175,Embraer EMB 175,EMB 175,,2J,Passenger,M,In Service
E90,E190,Embraer,EMB 190 / EMB 195,Embraer EMB 190 / EMB 195,EMB 190 / EMB 195,,2J,Passenger,M,In Service
E95,E190,Embraer,EMB 195,Embraer EMB 195,EMB 195,,2J,Passenger,M,In Service
EA5,EA50,Eclipse,Eclipse 500,Eclipse Eclipse 500,Eclipse 500,,2J,Passenger,,In Service
EC3,EC30,Eurocopter,EC130,Eurocopter EC130,EC130,,H,Passenger,,In Service
EM2,E120,Embraer,EMB 120 Brasilia,Embraer EMB 120 Brasilia,EMB 120 Brasilia,,2T,Passenger,M,In Service
EMB,E110,Embraer,EMB 110 Bandeirante,Embraer EMB 110 Bandeirante,EMB 110 Bandeirante,,2T,Passenger,L,In Service
EMJ,,Embraer,EMB 170 / EMB 190,Embraer EMB 170 / EMB 190,EMB 170 / EMB 190,,,Passenger,,In Service
EP1,E50P,Embraer,EMB-500 Phenom 100,Embraer EMB-500 Phenom 100,EMB-500 Phenom 100,,2J,Passenger,,In Service
EP3,E55P,Embraer,EMB-505 Phenom 300,Embraer EMB-505 Phenom 300,EMB-505 Phenom 300,,2J,Passenger,,In Service
ER3,E135,Embraer,ERJ 135,Embraer ERJ 135,ERJ 135,,2J,Passenger,,In Service
ER4,E145,Embraer,ERJ 145,Embraer ERJ 145,ERJ 145,,2J,Passenger,M,In Service
ERD,E135,Embraer,ERJ 140,Embraer ERJ 140,ERJ 140,,2J,Passenger,,In Service
ERJ,,Embraer,ERJ 135 / ERJ 140 / ERJ 145,Embraer ERJ 135 / ERJ 140 / ERJ 145,ERJ 135 / ERJ 140 / ERJ 145,,,Passenger,,In Service
F21,F28,Fokker,F28 Fellowship 1000,Fokker F28 Fellowship 1000,F28 Fellowship 1000,,2J,Passenger,M,In Service
F22,F28,Fokker,F28 Fellowship 2000,Fokker F28 Fellowship 2000,F28 Fellowship 2000,,2J,Passenger,,In Service
F23,F28,Fokker,F28 Fellowship 3000,Fokker F28 Fellowship 3000,F28 Fellowship 3000,,2J,Passenger,,In Service
