IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
M95,,McDonnell,Douglas MD-95,McDonnell Douglas MD-95,Douglas MD-95,,,Passenger,,In Service
MA6,AN24,Xian,MA-60,Xian MA-60,MA-60,,2T,Passenger,,In Service
MBH,B105,MBB,Bo 105,MBB Bo 105,Bo 105,,H,Passenger,,In Service
MD9,EXPL,MD,Helicopters MD900 Explorer,MD Helicopters MD900 Explorer,Helicopters MD900 Explorer,,H,Passenger,,In Service
MIH,MI8,Mil,Mi-8 / Mi-17 / Mi-171 / Mil-172,Mil Mi-8 / Mi-17 / Mi-171 / Mil-172,Mi-8 / Mi-17 / Mi-171 / Mil-172,,H,Passenger,,In Service
MU2,MU2,Mitsubishi,Mu-2,Mitsubishi Mu-2,Mu-2,,2T,Passenger,,In Service
ND2,,Nord,/ SNCAN N.262,Nord / SNCAN N.262,/ SNCAN N.262,,,Passenger,L,In Service
NDC,S601,Aerospatiale,/ SNIAS SN.601 Corvette,Aerospatiale / SNIAS SN.601 Corvette,/ SNIAS SN.601 Corvette,,2J,Passenger,,In Service
NDE,*,Eurocopter,AS350 Ecureuil / AS355 Ecureuil 2,Eurocopter AS350 Ecureuil / AS355 Ecureuil 2,AS350 Ecureuil / AS355 Ecureuil 2,,H,Passenger,,In Service
NDH,*,Eurocopter,SA365C / SA365N Dauphin 2,Eurocopter SA365C / SA365N Dauphin 2,SA365C / SA365N Dauphin 2,,H,Passenger,,In Service
P18,P180,Piaggio,Aero P180 Avanti II,Piaggio Aero P180 Avanti II,Aero P180 Avanti II,,2T,Passenger,,In Service
PA1,*,Piper,Piper single piston engine,Piper Piper single piston engine,Piper single piston engine,,1P,Passenger,,In Service
PA2,*,Piper,Piper twin piston engines,Piper Piper twin piston engines,Piper twin piston engines,,2P,Passenger,L,In Service
PAG,,Piper,Piper light aircraft,Piper Piper light aircraft,Piper light aircraft,,,Passenger,,In Service
PAT,*,Piper,Piper twin turboprop engines,Piper Piper twin turboprop engines,Piper twin turboprop engines,,2T,Passenger,,In Service
PL2,PC12,Pilatus,PC-12,Pilatus PC-12,PC-12,,1T,Passenger,L,In Service
PL6,PC6T,Pilatus,PC-6 Turbo Porter,Pilatus PC-6 Turbo Porter,PC-6 Turbo Porter,,1T,Passenger,,In Service
PN6,P68,Partenavia,P.68,Partenavia P.68,P.68,,2P,Passenger,,In Service
PRI,PRM1,Hawker-Beechcraft,Hawker 390 Premier 1/1A,Hawker-Beechcraft Hawker 390 Premier 1/1A,Hawker 390 Premier 1/1A,,2J,Passenger,,In Service
RFS,0000,Surface,Equipment-Road Feeder Service (Truck),Surface Equipment-Road Feeder Service (Truck),Equipment-Road Feeder Service (Truck),,S,Passenger,,In Service
S20,SB20,Saab,2000,Saab 2000,2000,,2T,Passenger,M,In Service
S58,S58T,Sikorsky,S-58T,Sikorsky S-58T,S-58T,,H,Passenger,,In Service
S61,S61,Sikorsky,S-61,Sikorsky S-61,S-61,,H,Passenger,M,In Service
S76,S76,Sikorsky,S-76,Sikorsky S-76,S-76,,H,Passenger,L,In Service
SF3,SF34,Saab,SF340A/B,Saab SF340A/B,SF340A/B,,2T,Passenger,M,In Service
SFB,SF34,Saab,SF340B,Saab SF340B,SF340B,,2T,Passenger,,In Service
SFF,SF34,Saab,SF340 Freighter,Saab SF340 Freighter,SF340 Freighter,,2T,Passenger,,In Service
SH3,SH33,Shorts,SD.330,Shorts SD.330,SD.330,,2T,Passenger,L,In Service
SH6,SH36,Shorts,SD.360,Shorts SD.360,SD.360,,2T,Passenger,L,In Service
SHB,,Shorts,SC-5 Belfast,Shorts SC-5 Belfast,SC-5 Belfast,,,Passenger,,In Service
